key,status,bib_title,bib_year,bib_doi,matched_doi,matched_title,matched_year,matched_container,title_similarity,verified_url,evidence
Cooley689851,verified_doi_crossref,A novel metric reveals previously unrecognized distortion in dimensionality reduction of scRNA-seq data,2022,10.1101/689851,10.1101/689851,A novel metric reveals previously unrecognized distortion in the analysis of scRNA-seq data,2019,,0.866,https://doi.org/10.1101/689851,Crossref DOI resolved; title_similarity=0.866
JMLR:v22:20-1061,verified_url,"Understanding How Dimension Reduction Tools Work: An Empirical Approach to Deciphering t-SNE, UMAP, TriMap, and PaCMAP for Data Visualization",2021,,,,,,0.000,http://jmlr.org/papers/v22/20-1061.html,URL resolved status=200
NIPS2002_6150ccc6,verified_url,Stochastic Neighbor Embedding,2002,,,,,,0.000,https://proceedings.neurips.cc/paper_files/paper/2002/file/6150ccc6069bea6b5716254057a194ef-Paper.pdf,URL resolved status=200
aibar_scenic_2017,verified_doi_crossref,SCENIC: single-cell regulatory network inference and clustering,2017,10.1038/nmeth.4463,10.1038/nmeth.4463,SCENIC: single-cell regulatory network inference and clustering,2017,Nature Methods,1.000,https://doi.org/10.1038/nmeth.4463,Crossref DOI resolved; title_similarity=1.000
amid_trimap_2022,verified_doi_resolver,TriMap: Large-scale Dimensionality Reduction Using Triplets,2022,10.48550/arXiv.1910.00204,10.48550/arXiv.1910.00204,,,,0.000,https://arxiv.org/abs/1910.00204,DOI resolver status=200
amodio_exploring_2019,verified_doi_crossref,Exploring single-cell data with deep multitasking neural networks,2019,10.1038/s41592-019-0576-7,10.1038/s41592-019-0576-7,Exploring single-cell data with deep multitasking neural networks,2019,Nature Methods,1.000,https://doi.org/10.1038/s41592-019-0576-7,Crossref DOI resolved; title_similarity=1.000
aranganayagi_clustering_2007,verified_doi_crossref,Clustering Categorical Data Using Silhouette Coefficient as a Relocating Measure,2007,10.1109/ICCIMA.2007.328,10.1109/iccima.2007.328,Clustering Categorical Data Using Silhouette Coefficient as a Relocating Measure,2007,International Conference on Computational Intelligence and Multimedia Applications (ICCIMA 2007),1.000,https://doi.org/10.1109/iccima.2007.328,Crossref DOI resolved; title_similarity=1.000
becht_dimensionality_2019,verified_doi_crossref,Dimensionality reduction for visualizing single-cell data using UMAP,2019,10.1038/nbt.4314,10.1038/nbt.4314,Dimensionality reduction for visualizing single-cell data using UMAP,2018,Nature Biotechnology,1.000,https://doi.org/10.1038/nbt.4314,Crossref DOI resolved; title_similarity=1.000
blondel_fast_2008,verified_doi_crossref,Fast unfolding of communities in large networks,2008,10.1088/1742-5468/2008/10/P10008,10.1088/1742-5468/2008/10/p10008,Fast unfolding of communities in large networks,2008,Journal of Statistical Mechanics: Theory and Experiment,1.000,https://doi.org/10.1088/1742-5468/2008/10/p10008,Crossref DOI resolved; title_similarity=1.000
cao_joint_2018,verified_doi_crossref,Joint profiling of chromatin accessibility and gene expression in thousands of single cells,2018,10.1126/science.aau0730,10.1126/science.aau0730,Joint profiling of chromatin accessibility and gene expression in thousands of single cells,2018,Science,1.000,https://doi.org/10.1126/science.aau0730,Crossref DOI resolved; title_similarity=1.000
