Method,score,perturbation_axis
DRA,0.1875914892994396,celltype_number
DREAM,0.18110349991318148,celltype_number
EDGE,0.4188429835647847,celltype_number
GLMPCA,0.4885715914178216,celltype_number
PCA,0.5061927877835251,celltype_number
PHATE,0.749372778976643,celltype_number
PaCMAP,0.19480143473012945,celltype_number
ParametricUMAP200,0.6889981054014409,celltype_number
ParametricUMAP50,0.6711739473124514,celltype_number
SAUCIE,0.12849531735280711,celltype_number
SCDRHA,0.5049396402344675,celltype_number
SIMLR,0.750278846631177,celltype_number
SPDR,0.8100189879941458,celltype_number
SQuaD_MDS,0.42260270267531574,celltype_number
SQuaD_MDS_hybrid,0.5445099283314345,celltype_number
SSNMDI,0.1777065006922351,celltype_number
TSNE,0.8056197974930152,celltype_number
TriMap,0.8252921848601374,celltype_number
UMAP,0.6422903630249431,celltype_number
VAE,0.761322953186834,celltype_number
VASC,0.37511999142285457,celltype_number
ZIFA,0.45042179521533726,celltype_number
ivis,0.22181234781823309,celltype_number
pCMF,0.15721238140260074,celltype_number
scGAE,0.1515441051291794,celltype_number
scGBM,0.4703381460364417,celltype_number
scScope,0.18433281553317615,celltype_number
scvis,0.18372384072648745,celltype_number
tGPLVM,0.18441439879532004,celltype_number
