Method,score,perturbation_axis
DRA,0.14193032800154154,de_prob
DREAM,0.4949174840828475,de_prob
EDGE,0.6944008778792343,de_prob
GLMPCA,0.7020876304536972,de_prob
PCA,0.7168465228064798,de_prob
PHATE,0.7579157810107363,de_prob
PaCMAP,0.15195403328335283,de_prob
ParametricUMAP200,0.756296372650777,de_prob
ParametricUMAP50,0.7603356369454606,de_prob
SAUCIE,0.12805013548788097,de_prob
SCDRHA,0.6181902576222604,de_prob
SIMLR,0.779467033975275,de_prob
SPDR,0.7926978560829233,de_prob
SQuaD_MDS,0.49572672673903445,de_prob
SQuaD_MDS_hybrid,0.7107259411962823,de_prob
SSNMDI,0.1221004681041323,de_prob
TSNE,0.7750038308639234,de_prob
TriMap,0.8097433296149926,de_prob
UMAP,0.6901080755128179,de_prob
VAE,0.7531423067743244,de_prob
VASC,0.2392720919935177,de_prob
ZIFA,0.7122775690719275,de_prob
ivis,0.6317294930547971,de_prob
pCMF,0.11010967394982836,de_prob
scGAE,0.4754572927288455,de_prob
scGBM,0.6785472695245313,de_prob
scScope,0.32373249231364326,de_prob
scvis,0.14438206406810639,de_prob
tGPLVM,0.6700873729382745,de_prob
