Method,score,perturbation_axis
DRA,0.11764188135416494,de_strength
DREAM,0.6141487135099762,de_strength
EDGE,0.6764602885499007,de_strength
GLMPCA,0.7159939504426038,de_strength
PCA,0.7475051254619544,de_strength
PHATE,0.7724421003249077,de_strength
PaCMAP,0.13779598164806092,de_strength
ParametricUMAP200,0.7520968063937081,de_strength
ParametricUMAP50,0.743718282616802,de_strength
SAUCIE,0.1372795516988535,de_strength
SCDRHA,0.6701787456676113,de_strength
SIMLR,0.7800808996620665,de_strength
SPDR,0.8089075695904608,de_strength
SQuaD_MDS,0.6156485803006898,de_strength
SQuaD_MDS_hybrid,0.7132448423612087,de_strength
SSNMDI,0.09924217644668412,de_strength
TSNE,0.7733923785576687,de_strength
TriMap,0.8205474864344582,de_strength
UMAP,0.6963852222777615,de_strength
VAE,0.7733515150444907,de_strength
VASC,0.22780276960947132,de_strength
ZIFA,0.7494171728222515,de_strength
ivis,0.6855678435255076,de_strength
pCMF,0.3030845589041862,de_strength
scGAE,0.43966630300619636,de_strength
scGBM,0.7112248120683613,de_strength
scScope,0.553084679125307,de_strength
scvis,0.44258468494519143,de_strength
tGPLVM,0.6692129522502144,de_strength
