Method,score,perturbation_axis
DRA,0.15157026646268204,dropout
DREAM,0.2134687825421119,dropout
EDGE,0.5626324737591465,dropout
GLMPCA,0.6283380253013339,dropout
PCA,0.6179425051771087,dropout
PHATE,0.6941392720671452,dropout
PaCMAP,0.15811522408327397,dropout
ParametricUMAP200,0.7544444382933462,dropout
ParametricUMAP50,0.7268938881124171,dropout
SAUCIE,0.1425288163931026,dropout
SCDRHA,0.4334723283056567,dropout
SIMLR,0.7406136202267539,dropout
SPDR,0.7894464974567726,dropout
SQuaD_MDS,0.47522986544180795,dropout
SQuaD_MDS_hybrid,0.6926905434634683,dropout
SSNMDI,0.12834897573148427,dropout
TSNE,0.7235148382366041,dropout
TriMap,0.8094005723587481,dropout
UMAP,0.7363175599173759,dropout
VAE,0.6514191590973684,dropout
VASC,0.19772589837738774,dropout
ZIFA,0.673999358565281,dropout
ivis,0.5182357373670781,dropout
pCMF,0.15615897310928542,dropout
scGAE,0.2673444803659,dropout
scGBM,0.631828944810057,dropout
scScope,0.21673386488980845,dropout
scvis,0.18798753019540282,dropout
tGPLVM,0.3417613703557104,dropout
