Method,score,perturbation_axis
DRA,0.147953049652695,batch_number
DREAM,0.257775928128298,batch_number
EDGE,0.6190506010744925,batch_number
GLMPCA,0.5976497439306158,batch_number
PCA,0.6370603464473887,batch_number
PHATE,0.7599223856597612,batch_number
PaCMAP,0.18342081116611753,batch_number
ParametricUMAP200,0.7416583278510961,batch_number
ParametricUMAP50,0.7330460013240457,batch_number
SAUCIE,0.12116654272533492,batch_number
SCDRHA,0.5809405170466084,batch_number
SIMLR,0.7423980902247473,batch_number
SPDR,0.8324435837852139,batch_number
SQuaD_MDS,0.45941854237980084,batch_number
SQuaD_MDS_hybrid,0.6438542896333982,batch_number
SSNMDI,0.14752810678542222,batch_number
TSNE,0.8165936552708422,batch_number
TriMap,0.8365248105593526,batch_number
UMAP,0.7220519657722203,batch_number
VAE,0.7068323376386827,batch_number
VASC,0.24094011462369572,batch_number
ZIFA,0.6306609855427232,batch_number
ivis,0.43414914980206837,batch_number
pCMF,0.10994831884637044,batch_number
scGAE,0.20814699631111172,batch_number
scGBM,0.6129803794053647,batch_number
scScope,0.14588706352384234,batch_number
scvis,0.17519261007841963,batch_number
tGPLVM,0.6462262035048215,batch_number
