Method,score,perturbation_axis
DRA,0.10078535804025493,batch_strength
DREAM,0.368884767479779,batch_strength
EDGE,0.6387207073474909,batch_strength
GLMPCA,0.44653118479175485,batch_strength
PCA,0.6433135268166096,batch_strength
PHATE,0.7671821605766802,batch_strength
PaCMAP,0.21741113080924648,batch_strength
ParametricUMAP200,0.7777005639449414,batch_strength
ParametricUMAP50,0.7749758923737213,batch_strength
SAUCIE,0.2685471531336302,batch_strength
SCDRHA,0.5822961329173291,batch_strength
SIMLR,0.8242509485181703,batch_strength
SPDR,0.8177397470383436,batch_strength
SQuaD_MDS,0.46973625799816876,batch_strength
SQuaD_MDS_hybrid,0.710928808185965,batch_strength
SSNMDI,0.21242091630693732,batch_strength
TSNE,0.780537852726464,batch_strength
TriMap,0.801842373144161,batch_strength
UMAP,0.759190084739045,batch_strength
VAE,0.7376971924369837,batch_strength
VASC,0.46031295296881647,batch_strength
ZIFA,0.6138883905653001,batch_strength
ivis,0.4331397983287862,batch_strength
pCMF,0.31329591486769387,batch_strength
scGAE,0.3050483666065271,batch_strength
scGBM,0.6245526577221584,batch_strength
scScope,0.3483898456811489,batch_strength
scvis,0.5199001047311467,batch_strength
tGPLVM,0.4592160902056647,batch_strength
