method_id,level,domain,metric,score
VASC,component,Structure,local,0.5075645495937986
VASC,component,Structure,global,0.6367106437112424
VASC,component,Clustering,kmeans,0.5964052983154925
VASC,component,Clustering,louvain,0.4803515729959036
VASC,component,Clustering,spectral,0.5560627043271175
VASC,component,Efficiency,runtime_score,0.4060811215200675
VASC,component,Efficiency,memory_score,0.955671222448901
VASC,component,Stability,cell_number,0.2236982651178752
VASC,component,Stability,gene_number,0.25569608156061274
VASC,component,Stability,celltype_number,0.37511999142285457
VASC,component,Stability,dropout,0.19772589837738774
VASC,component,Stability,batch_number,0.24094011462369572
VASC,component,Stability,batch_strength,0.46031295296881647
VASC,component,Stability,de_prob,0.2392720919935177
VASC,component,Stability,de_strength,0.22780276960947132
VASC,component,Stability,out,0.23078435309374043
VASC,domain_mean,Structure,domain_mean,0.5721375966525205
VASC,domain_mean,Clustering,domain_mean,0.5442731918795044
VASC,domain_mean,Efficiency,domain_mean,0.6808761719844842
VASC,domain_mean,Stability,domain_mean,0.2723725020853302
VASC,profile_contribution,Structure,n_over_16_times_domain_mean,0.07151719958156506
VASC,profile_contribution,Clustering,n_over_16_times_domain_mean,0.10205122347740708
VASC,profile_contribution,Efficiency,n_over_16_times_domain_mean,0.08510952149806053
VASC,profile_contribution,Stability,n_over_16_times_domain_mean,0.15320953242299823
VASC,profile_mean,all_displayed_components,overall_mean,0.4118874769800309
