method_id,max_abs_score_delta,rank_span,equal_weight_score,equal_weight_rank
PCA,0.047123551245002004,1.0,0.6657548517014871,8.0
GLMPCA,0.047141665510805675,6.0,0.6494584276874026,10.0
pCMF,0.17460967963748963,1.0,0.3048144314445394,24.0
ZIFA,0.029941461883131515,1.0,0.6401960460227428,11.0
scGBM,0.0442948248161521,6.0,0.6612292952743584,9.0
SSNMDI,0.14722125763891242,1.0,0.2588247155943185,25.0
tGPLVM,0.054903735927766706,8.0,0.5392288988298692,16.0
VAE,0.06910925755196196,7.0,0.6687609749941713,7.0
scvis,0.2166506939048639,9.0,0.40274561621643334,21.0
VASC,0.17937639629318658,5.0,0.4118874769800309,20.0
SAUCIE,0.2454312764020668,6.0,0.3389765317041786,22.0
scScope,0.14545882446510383,3.0,0.41889938065824317,19.0
SCDRHA,0.019261627837153794,3.0,0.5706008716857678,13.0
scGAE,0.17253825660936573,5.0,0.42107262842470494,18.0
DREAM,0.13609937508488462,1.0,0.4426571028170286,17.0
DRA,0.14164786215410657,1.0,0.2533899982627054,26.0
UMAP,0.03540948486900308,1.0,0.7020324184648239,5.0
SIMLR,0.12044263774075081,16.0,0.6763450593541998,6.0
PHATE,0.038300196349487114,1.0,0.7234169814967952,4.0
EDGE,0.055725754169670294,10.0,0.5835930721157682,12.0
SPDR,0.06851219408782228,6.0,0.7400553279056139,3.0
IVIS,0.10171927687246829,7.0,0.5626180617269411,14.0
PaCMAP,0.18832824737816517,2.0,0.31555770927861587,23.0
t-SNE,0.03599836736492301,1.0,0.7411426175706313,2.0
TriMap,0.05118921215436467,0.0,0.7681472501279613,1.0
SQuaD-MDS,0.09850790980360502,6.0,0.5622242072080099,15.0
