method_id,family,domain,domain_score,component_count,weighted_contribution,overall_mean,selection_rank,selection_rule
PCA,linear/probabilistic,Clustering,0.5116164503969935,3,0.09592808444943629,0.6657548517014871,8,top eight methods by equal-weight overall profile score
PCA,linear/probabilistic,Efficiency,0.9956197104165021,2,0.12445246380206276,0.6657548517014871,8,top eight methods by equal-weight overall profile score
PCA,linear/probabilistic,Robustness,0.6573082294351082,9,0.36973587905724836,0.6657548517014871,8,top eight methods by equal-weight overall profile score
PCA,linear/probabilistic,Structure,0.6051073951419175,2,0.07563842439273968,0.6657548517014871,8,top eight methods by equal-weight overall profile score
VAE,deep generative/autoencoder,Clustering,0.4497858847933864,3,0.08433485339875994,0.6687609749941713,7,top eight methods by equal-weight overall profile score
VAE,deep generative/autoencoder,Efficiency,0.9376267236093938,2,0.11720334045117423,0.6687609749941713,7,top eight methods by equal-weight overall profile score
VAE,deep generative/autoencoder,Robustness,0.7225126197568086,9,0.40641334861320483,0.6687609749941713,7,top eight methods by equal-weight overall profile score
VAE,deep generative/autoencoder,Structure,0.4864754602482591,2,0.06080943253103239,0.6687609749941713,7,top eight methods by equal-weight overall profile score
SIMLR,graph/diffusion,Clustering,0.5743281802256255,3,0.10768653379230478,0.6763450593541998,6,top eight methods by equal-weight overall profile score
SIMLR,graph/diffusion,Efficiency,0.5149092226903486,2,0.06436365283629357,0.6763450593541998,6,top eight methods by equal-weight overall profile score
SIMLR,graph/diffusion,Robustness,0.7700226664858948,9,0.4331377498983158,0.6763450593541998,6,top eight methods by equal-weight overall profile score
SIMLR,graph/diffusion,Structure,0.5692569826182844,2,0.07115712282728555,0.6763450593541998,6,top eight methods by equal-weight overall profile score
UMAP,graph/diffusion,Clustering,0.5536128218837818,3,0.1038024041032091,0.7020324184648239,5,top eight methods by equal-weight overall profile score
UMAP,graph/diffusion,Efficiency,0.9498988125478451,2,0.11873735156848064,0.7020324184648239,5,top eight methods by equal-weight overall profile score
UMAP,graph/diffusion,Robustness,0.7160710452646509,9,0.40278996296136615,0.7020324184648239,5,top eight methods by equal-weight overall profile score
UMAP,graph/diffusion,Structure,0.6136215986541438,2,0.07670269983176797,0.7020324184648239,5,top eight methods by equal-weight overall profile score
PHATE,graph/diffusion,Clustering,0.5574494639823524,3,0.10452177449669108,0.7234169814967952,4,top eight methods by equal-weight overall profile score
PHATE,graph/diffusion,Efficiency,0.9869825514802221,2,0.12337281893502776,0.7234169814967952,4,top eight methods by equal-weight overall profile score
PHATE,graph/diffusion,Robustness,0.7449275722773635,9,0.419021759406017,0.7234169814967952,4,top eight methods by equal-weight overall profile score
PHATE,graph/diffusion,Structure,0.6120050292724762,2,0.07650062865905953,0.7234169814967952,4,top eight methods by equal-weight overall profile score
SPDR,graph/diffusion,Clustering,0.5681647481056861,3,0.10653089026981613,0.7400553279056139,3,top eight methods by equal-weight overall profile score
SPDR,graph/diffusion,Efficiency,0.8747438660426983,2,0.10934298325533728,0.7400553279056139,3,top eight methods by equal-weight overall profile score
SPDR,graph/diffusion,Robustness,0.79334258997392,9,0.44625520686033004,0.7400553279056139,3,top eight methods by equal-weight overall profile score
SPDR,graph/diffusion,Structure,0.6234099801610434,2,0.07792624752013043,0.7400553279056139,3,top eight methods by equal-weight overall profile score
t-SNE,metric/structure-aware,Clustering,0.5911209840330466,3,0.11083518450619623,0.7411426175706313,2,top eight methods by equal-weight overall profile score
t-SNE,metric/structure-aware,Efficiency,0.9920806155752389,2,0.12401007694690486,0.7411426175706313,2,top eight methods by equal-weight overall profile score
t-SNE,metric/structure-aware,Robustness,0.7691413477433492,9,0.4326420081056339,0.7411426175706313,2,top eight methods by equal-weight overall profile score
t-SNE,metric/structure-aware,Structure,0.5892427840951704,2,0.0736553480118963,0.7411426175706313,2,top eight methods by equal-weight overall profile score
TriMap,metric/structure-aware,Clustering,0.5804182075393122,3,0.10882841391362102,0.7681472501279613,1,top eight methods by equal-weight overall profile score
TriMap,metric/structure-aware,Efficiency,0.9873750998655186,2,0.12342188748318983,0.7681472501279613,1,top eight methods by equal-weight overall profile score
TriMap,metric/structure-aware,Robustness,0.8079610818035783,9,0.45447810851451276,0.7681472501279613,1,top eight methods by equal-weight overall profile score
TriMap,metric/structure-aware,Structure,0.6513507217331012,2,0.08141884021663764,0.7681472501279613,1,top eight methods by equal-weight overall profile score
