param_group,param_value,cells,genes,sparsity_pct,n_batches,n_groups,size_mb,dataset_type,atlas_layer,dataset_label
default,default,2000.0,3000.0,46.7,1.0,5.0,68.0,simulated,manuscript_100_dataset_atlas,default_default
batch,0.2,2000.0,3000.0,46.5,2.0,5.0,68.0,simulated,manuscript_100_dataset_atlas,batch_0.2
batch,0.4,2000.0,3000.0,49.0,2.0,5.0,66.0,simulated,manuscript_100_dataset_atlas,batch_0.4
batch,0.6,2000.0,3000.0,52.3,2.0,5.0,63.0,simulated,manuscript_100_dataset_atlas,batch_0.6
batch,0.8,2000.0,3000.0,55.9,2.0,5.0,60.0,simulated,manuscript_100_dataset_atlas,batch_0.8
batch,1.0,2000.0,3000.0,60.1,2.0,5.0,57.0,simulated,manuscript_100_dataset_atlas,batch_1.0
batch,2,2000.0,3000.0,46.6,2.0,5.0,68.0,simulated,manuscript_100_dataset_atlas,batch_2
batch,4,2000.0,3000.0,46.8,4.0,5.0,68.0,simulated,manuscript_100_dataset_atlas,batch_4
batch,6,2000.0,3000.0,47.0,6.0,5.0,68.0,simulated,manuscript_100_dataset_atlas,batch_6
batch,8,2000.0,3000.0,46.3,8.0,5.0,68.0,simulated,manuscript_100_dataset_atlas,batch_8
batch,10,2000.0,3000.0,46.6,10.0,5.0,68.0,simulated,manuscript_100_dataset_atlas,batch_10
cell,100,100.0,3000.0,43.0,1.0,5.0,4.0,simulated,manuscript_100_dataset_atlas,cell_100
cell,500,500.0,3000.0,45.8,1.0,5.0,18.0,simulated,manuscript_100_dataset_atlas,cell_500
cell,1k,1000.0,3000.0,47.0,1.0,5.0,34.0,simulated,manuscript_100_dataset_atlas,cell_1k
cell,5k,5000.0,3000.0,47.0,1.0,5.0,169.0,simulated,manuscript_100_dataset_atlas,cell_5k
cell,1w,10000.0,3000.0,46.9,1.0,5.0,337.0,simulated,manuscript_100_dataset_atlas,cell_1w
cell,2w,20000.0,3000.0,46.9,1.0,5.0,674.0,simulated,manuscript_100_dataset_atlas,cell_2w
cell,3w,30000.0,3000.0,47.6,1.0,5.0,1002.0,simulated,manuscript_100_dataset_atlas,cell_3w
cell,4w,40000.0,3000.0,47.6,1.0,5.0,1335.0,simulated,manuscript_100_dataset_atlas,cell_4w
cell,5w,50000.0,3000.0,46.1,1.0,5.0,1700.0,simulated,manuscript_100_dataset_atlas,cell_5w
celltype,7,2000.0,3000.0,46.9,1.0,7.0,68.0,simulated,manuscript_100_dataset_atlas,celltype_7
celltype,9,2000.0,3000.0,46.2,1.0,9.0,68.0,simulated,manuscript_100_dataset_atlas,celltype_9
celltype,11,2000.0,3000.0,46.1,1.0,11.0,68.0,simulated,manuscript_100_dataset_atlas,celltype_11
celltype,13,2000.0,3000.0,46.0,1.0,13.0,69.0,simulated,manuscript_100_dataset_atlas,celltype_13
celltype,15,2000.0,3000.0,45.6,1.0,15.0,69.0,simulated,manuscript_100_dataset_atlas,celltype_15
de,0.2,2000.0,3000.0,45.0,1.0,5.0,69.0,simulated,manuscript_100_dataset_atlas,de_0.2
de,0.4,2000.0,3000.0,48.0,1.0,5.0,67.0,simulated,manuscript_100_dataset_atlas,de_0.4
de,0.6,2000.0,3000.0,50.5,1.0,5.0,65.0,simulated,manuscript_100_dataset_atlas,de_0.6
de,0.8,2000.0,3000.0,53.5,1.0,5.0,62.0,simulated,manuscript_100_dataset_atlas,de_0.8
de,1.0,2000.0,3000.0,55.2,1.0,5.0,61.0,simulated,manuscript_100_dataset_atlas,de_1.0
de_prob,0.05,2000.0,3000.0,46.0,1.0,5.0,69.0,simulated,manuscript_100_dataset_atlas,de_prob_0.05
de_prob,0.15,2000.0,3000.0,46.4,1.0,5.0,68.0,simulated,manuscript_100_dataset_atlas,de_prob_0.15
de_prob,0.20,2000.0,3000.0,47.2,1.0,5.0,68.0,simulated,manuscript_100_dataset_atlas,de_prob_0.20
de_prob,0.25,2000.0,3000.0,46.7,1.0,5.0,68.0,simulated,manuscript_100_dataset_atlas,de_prob_0.25
de_prob,0.30,2000.0,3000.0,46.7,1.0,5.0,68.0,simulated,manuscript_100_dataset_atlas,de_prob_0.30
dropout,-1,2000.0,3000.0,54.7,1.0,5.0,61.0,simulated,manuscript_100_dataset_atlas,dropout_-1
dropout,0,2000.0,3000.0,62.2,1.0,5.0,55.0,simulated,manuscript_100_dataset_atlas,dropout_0
dropout,1,2000.0,3000.0,71.2,1.0,5.0,47.0,simulated,manuscript_100_dataset_atlas,dropout_1
dropout,2,2000.0,3000.0,81.3,1.0,5.0,39.0,simulated,manuscript_100_dataset_atlas,dropout_2
dropout,3,2000.0,3000.0,88.6,1.0,5.0,33.0,simulated,manuscript_100_dataset_atlas,dropout_3
gene,5k,2000.0,3000.0,32.4,1.0,5.0,80.0,simulated,manuscript_100_dataset_atlas,gene_5k
gene,2w,2000.0,3000.0,59.3,1.0,5.0,58.0,simulated,manuscript_100_dataset_atlas,gene_2w
gene,3w,2000.0,3000.0,65.6,1.0,5.0,52.0,simulated,manuscript_100_dataset_atlas,gene_3w
gene,4w,2000.0,3000.0,70.1,1.0,5.0,49.0,simulated,manuscript_100_dataset_atlas,gene_4w
gene,5w,2000.0,3000.0,73.9,1.0,5.0,45.0,simulated,manuscript_100_dataset_atlas,gene_5w
out,0.1,2000.0,3000.0,52.7,1.0,5.0,63.0,simulated,manuscript_100_dataset_atlas,out_0.1
out,0.2,2000.0,3000.0,56.9,1.0,5.0,59.0,simulated,manuscript_100_dataset_atlas,out_0.2
out,0.3,2000.0,3000.0,54.8,1.0,5.0,61.0,simulated,manuscript_100_dataset_atlas,out_0.3
out,0.4,2000.0,3000.0,49.2,1.0,5.0,66.0,simulated,manuscript_100_dataset_atlas,out_0.4
out,0.5,2000.0,3000.0,42.9,1.0,5.0,71.0,simulated,manuscript_100_dataset_atlas,out_0.5
