method_raw,method_id,parent_method,metric,value,dataset_category,dataset_id,topology_table,source_file
VASC,VASC,VASC,knn_10,0.88,benchmarker,Baron_mouse,dr1,metric\topo\benchmarker\Baron_mouse\dr1.csv
ZIFA,ZIFA,ZIFA,knn_10,0.797,benchmarker,Baron_mouse,dr1,metric\topo\benchmarker\Baron_mouse\dr1.csv
DRA,DRA,DRA,knn_10,0.445,benchmarker,Baron_mouse,dr1,metric\topo\benchmarker\Baron_mouse\dr1.csv
DREAM,DREAM,DREAM,knn_10,0.73,benchmarker,Baron_mouse,dr1,metric\topo\benchmarker\Baron_mouse\dr1.csv
scvis,scvis,scvis,knn_10,0.952,benchmarker,Baron_mouse,dr1,metric\topo\benchmarker\Baron_mouse\dr1.csv
VAE,VAE,VAE,knn_10,0.976,benchmarker,Baron_mouse,dr1,metric\topo\benchmarker\Baron_mouse\dr1.csv
UMAP,UMAP,UMAP,knn_10,0.949,benchmarker,Baron_mouse,dr1,metric\topo\benchmarker\Baron_mouse\dr1.csv
EDGE,EDGE,EDGE,knn_10,0.775,benchmarker,Baron_mouse,dr1,metric\topo\benchmarker\Baron_mouse\dr1.csv
GLMPCA,GLMPCA,GLMPCA,knn_10,0.895,benchmarker,Baron_mouse,dr1,metric\topo\benchmarker\Baron_mouse\dr1.csv
ivis,IVIS,IVIS,knn_10,0.947,benchmarker,Baron_mouse,dr1,metric\topo\benchmarker\Baron_mouse\dr1.csv
PaCMAP,PaCMAP,PaCMAP,knn_10,0.406,benchmarker,Baron_mouse,dr1,metric\topo\benchmarker\Baron_mouse\dr1.csv
pCMF,pCMF,pCMF,knn_10,0.593,benchmarker,Baron_mouse,dr1,metric\topo\benchmarker\Baron_mouse\dr1.csv
PHATE,PHATE,PHATE,knn_10,0.957,benchmarker,Baron_mouse,dr1,metric\topo\benchmarker\Baron_mouse\dr1.csv
SAUCIE,SAUCIE,SAUCIE,knn_10,0.663,benchmarker,Baron_mouse,dr1,metric\topo\benchmarker\Baron_mouse\dr1.csv
SCDRHA,SCDRHA,SCDRHA,knn_10,0.893,benchmarker,Baron_mouse,dr1,metric\topo\benchmarker\Baron_mouse\dr1.csv
scGAE,scGAE,scGAE,knn_10,0.871,benchmarker,Baron_mouse,dr1,metric\topo\benchmarker\Baron_mouse\dr1.csv
scGBM,scGBM,scGBM,knn_10,0.866,benchmarker,Baron_mouse,dr1,metric\topo\benchmarker\Baron_mouse\dr1.csv
scScope,scScope,scScope,knn_10,0.96,benchmarker,Baron_mouse,dr1,metric\topo\benchmarker\Baron_mouse\dr1.csv
tGPLVM,tGPLVM,tGPLVM,knn_10,0.602,benchmarker,Baron_mouse,dr1,metric\topo\benchmarker\Baron_mouse\dr1.csv
TriMap,TriMap,TriMap,knn_10,0.977,benchmarker,Baron_mouse,dr1,metric\topo\benchmarker\Baron_mouse\dr1.csv
PCA,PCA,PCA,knn_10,0.763,benchmarker,Baron_mouse,dr1,metric\topo\benchmarker\Baron_mouse\dr1.csv
TSNE,t-SNE,t-SNE,knn_10,0.975,benchmarker,Baron_mouse,dr1,metric\topo\benchmarker\Baron_mouse\dr1.csv
