Method,score,perturbation_axis
DRA,0.18192140756381064,cell_number
DREAM,0.38687099649410356,cell_number
EDGE,0.5604993384057282,cell_number
GLMPCA,0.573507819771753,cell_number
PCA,0.616455363476588,cell_number
PHATE,0.6429055983048865,cell_number
PaCMAP,0.20716733564441836,cell_number
ParametricUMAP200,0.6303658965654847,cell_number
ParametricUMAP50,0.6283996262676835,cell_number
SAUCIE,0.17108629442177975,cell_number
SCDRHA,0.41690026332038693,cell_number
SIMLR,0.6463512875046347,cell_number
SPDR,0.6548306863329899,cell_number
SQuaD_MDS,0.4671226861085856,cell_number
SQuaD_MDS_hybrid,0.5859103199246436,cell_number
SSNMDI,0.18103315080339952,cell_number
TSNE,0.6542926573754787,cell_number
TriMap,0.6792621235375167,cell_number
UMAP,0.6089159144944561,cell_number
VAE,0.5682655393870434,cell_number
VASC,0.2236982651178752,cell_number
ZIFA,0.6097001344232774,cell_number
ivis,0.46835337027800855,cell_number
pCMF,0.16923663777801776,cell_number
scGAE,0.2211997949101027,cell_number
scGBM,0.5899547568751836,cell_number
scScope,0.41454710450142856,cell_number
scvis,0.2117396279888581,cell_number
tGPLVM,0.5456419161647857,cell_number
