Method,score,perturbation_axis
DRA,0.1373449176630851,gene_number
DREAM,0.32354365539750424,gene_number
EDGE,0.7081746564497402,gene_number
GLMPCA,0.6860977816362185,gene_number
PCA,0.701153535610611,gene_number
PHATE,0.7826248320961792,gene_number
PaCMAP,0.13346851203555413,gene_number
ParametricUMAP200,0.7985198591680097,gene_number
ParametricUMAP50,0.7893697997555895,gene_number
SAUCIE,0.12149123537701847,gene_number
SCDRHA,0.6076885877464806,gene_number
SIMLR,0.8339158577271562,gene_number
SPDR,0.8167994271478541,gene_number
SQuaD_MDS,0.47546509032920614,gene_number
SQuaD_MDS_hybrid,0.748958522340797,gene_number
SSNMDI,0.12449866194647397,gene_number
TSNE,0.7935450983057611,gene_number
TriMap,0.8492088931577124,gene_number
UMAP,0.792892252378319,gene_number
VAE,0.7811840722340656,gene_number
VASC,0.25569608156061274,gene_number
ZIFA,0.6921109775991681,gene_number
ivis,0.5682257415122134,gene_number
pCMF,0.1088272467791159,gene_number
scGAE,0.35651502566120746,gene_number
scGBM,0.6689837489050527,gene_number
scScope,0.4129631334843422,gene_number
scvis,0.1524726425462599,gene_number
tGPLVM,0.6642416244269096,gene_number
