Method,score,perturbation_axis
DRA,0.12223625124792861,out
DREAM,0.19050447221126238,out
EDGE,0.7636360011990888,out
GLMPCA,0.7102303077266148,out
PCA,0.729304351335709,out
PHATE,0.7778432414793324,out
PaCMAP,0.1375871884602335,out
ParametricUMAP200,0.8096875837300024,out
ParametricUMAP50,0.7981544137033384,out
SAUCIE,0.11412480393273258,out
SCDRHA,0.6115848129216148,out
SIMLR,0.8328474139030719,out
SPDR,0.8171989543365763,out
SQuaD_MDS,0.48951204427424494,out
SQuaD_MDS_hybrid,0.783944644767925,out
SSNMDI,0.10599468005971195,out
TSNE,0.7997720208603856,out
TriMap,0.8398279625651262,out
UMAP,0.7964879692649194,out
VAE,0.7693985020114843,out
VASC,0.23078435309374043,out
ZIFA,0.7226385548239901,out
ivis,0.3903141357484999,out
pCMF,0.09318841990132903,out
scGAE,0.15696349483771505,out
scGBM,0.6949116817668466,out
scScope,0.1522116556157649,out
scvis,0.0901725833339809,out
tGPLVM,0.7216531420957536,out
