Method,Dataset,knn_10,knn_20,knn_30,svm,nkr_10,nkr_20,nkr_30,aji_10,aji_20,aji_30,random_triplet,spearman,k-nearest,centroid_distance,AUC,Qlocal,Qglobal,T_10,T_20,T_30,C_10,C_20,C_30,kmax,ARI,NMI,SIL,COMP,HOMO,perturbation_axis
DRA,cell_100,0.19,0.28,0.26,0.24,0.082,0.187,0.279,0.045,0.101,0.159,0.476,-0.05,0.2,0.608,0.49,0.013,0.495,0.506,0.527,0.532,0.523,0.506,0.504,2.0,0.01,0.06,0.38,0.06,0.05,cell_number
DREAM,cell_100,0.39,0.39,0.43,0.36,0.138,0.297,0.435,0.083,0.175,0.283,0.648,0.508,0.2,0.265,0.597,0.291,0.802,0.618,0.67,0.709,0.721,0.731,0.75,39.0,0.06,0.14,0.38,0.16,0.12,cell_number
EDGE,cell_100,0.42,0.46,0.47,0.46,0.128,0.242,0.342,0.07,0.139,0.207,0.556,0.144,0.4,0.533,0.534,0.309,0.802,0.575,0.593,0.606,0.575,0.594,0.601,53.0,0.05,0.14,0.32,0.14,0.14,cell_number
GLMPCA,cell_100,0.72,0.74,0.73,0.74,0.148,0.328,0.447,0.085,0.189,0.281,0.69,0.475,0.0,0.085,0.6,0.264,0.772,0.655,0.699,0.705,0.722,0.748,0.762,33.0,0.45,0.55,0.38,0.56,0.55,cell_number
PCA,cell_100,0.83,0.89,0.87,0.88,0.15,0.312,0.403,0.089,0.183,0.247,0.648,0.334,0.0,0.047,0.585,0.313,0.809,0.662,0.689,0.662,0.69,0.717,0.734,44.0,0.81,0.89,0.61,0.91,0.87,cell_number
PHATE,cell_100,0.76,0.72,0.65,0.75,0.211,0.322,0.397,0.12,0.191,0.239,0.56,0.198,0.2,0.614,0.557,0.186,0.639,0.629,0.627,0.627,0.775,0.711,0.661,18.0,0.53,0.61,0.4,0.6,0.61,cell_number
PaCMAP,cell_100,0.19,0.24,0.25,0.24,0.114,0.225,0.323,0.066,0.13,0.2,0.576,0.087,0.0,0.757,0.519,0.198,0.696,0.534,0.553,0.568,0.545,0.58,0.586,35.0,-0.02,0.04,0.49,0.04,0.04,cell_number
ParametricUMAP200,cell_100,0.89,0.89,0.82,0.89,0.18,0.27,0.345,0.092,0.142,0.194,0.566,0.077,0.0,0.396,0.532,0.138,0.595,0.618,0.614,0.61,0.612,0.578,0.553,14.0,0.72,0.75,0.44,0.74,0.75,cell_number
ParametricUMAP50,cell_100,0.9,0.91,0.78,0.91,0.176,0.279,0.354,0.091,0.149,0.205,0.572,0.096,0.0,0.402,0.536,0.14,0.6,0.633,0.622,0.615,0.605,0.589,0.567,14.0,0.54,0.66,0.41,0.66,0.67,cell_number
SAUCIE,cell_100,0.17,0.22,0.26,0.3,0.084,0.179,0.275,0.051,0.116,0.185,0.49,0.037,0.8,0.564,0.509,0.424,1.003,0.521,0.553,0.569,0.309,0.411,0.473,83.0,-0.01,0.04,0.39,0.05,0.04,cell_number
SCDRHA,cell_100,0.38,0.31,0.23,0.26,0.118,0.226,0.348,0.065,0.132,0.217,0.56,0.212,0.4,0.639,0.535,0.253,0.756,0.545,0.577,0.589,0.599,0.623,0.647,43.0,-0.0,0.08,0.55,0.08,0.07,cell_number
SIMLR,cell_100,0.95,0.92,0.85,0.95,0.148,0.301,0.405,0.089,0.178,0.251,0.602,0.219,0.0,0.253,0.562,0.185,0.676,0.671,0.661,0.66,0.642,0.667,0.657,23.0,0.89,0.89,0.72,0.9,0.89,cell_number
SPDR,cell_100,0.44,0.41,0.33,0.32,0.216,0.409,0.575,0.155,0.309,0.454,0.738,0.618,0.2,0.658,0.665,0.392,0.851,0.628,0.705,0.777,0.813,0.862,0.889,39.0,-0.02,0.08,0.62,0.09,0.07,cell_number
SQuaD_MDS,cell_100,0.61,0.63,0.65,0.63,0.135,0.327,0.479,0.088,0.211,0.319,0.702,0.547,0.0,0.079,0.617,0.318,0.827,0.649,0.704,0.736,0.76,0.8,0.818,40.0,0.36,0.44,0.29,0.44,0.44,cell_number
SQuaD_MDS_hybrid,cell_100,0.52,0.54,0.52,0.52,0.153,0.322,0.453,0.088,0.2,0.301,0.662,0.429,0.2,0.272,0.598,0.331,0.802,0.603,0.656,0.682,0.763,0.79,0.8,42.0,0.06,0.16,0.33,0.16,0.16,cell_number
SSNMDI,cell_100,0.26,0.18,0.22,0.28,0.106,0.19,0.287,0.055,0.104,0.167,0.54,-0.055,0.2,0.222,0.486,0.056,0.53,0.504,0.524,0.529,0.471,0.492,0.507,10.0,-0.01,0.04,0.51,0.04,0.04,cell_number
TSNE,cell_100,0.88,0.9,0.78,0.89,0.233,0.341,0.397,0.119,0.188,0.235,0.568,0.206,0.0,0.365,0.564,0.165,0.618,0.657,0.65,0.626,0.697,0.688,0.682,12.0,0.69,0.72,0.4,0.72,0.72,cell_number
TriMap,cell_100,0.87,0.83,0.73,0.76,0.212,0.395,0.574,0.133,0.263,0.412,0.718,0.694,0.2,0.216,0.669,0.368,0.857,0.714,0.764,0.81,0.818,0.85,0.881,37.0,0.08,0.31,0.56,0.41,0.26,cell_number
UMAP,cell_100,0.65,0.63,0.6,0.66,0.157,0.252,0.332,0.081,0.135,0.195,0.546,0.055,0.0,0.377,0.522,0.129,0.59,0.575,0.583,0.577,0.595,0.581,0.576,15.0,0.28,0.4,0.35,0.4,0.41,cell_number
VAE,cell_100,0.18,0.23,0.23,0.2,0.101,0.188,0.299,0.052,0.101,0.179,0.506,-0.028,0.4,0.539,0.489,0.16,0.653,0.508,0.515,0.544,0.508,0.519,0.524,33.0,-0.01,0.04,0.47,0.04,0.04,cell_number
ZIFA,cell_100,0.86,0.84,0.87,0.87,0.149,0.308,0.397,0.085,0.174,0.245,0.616,0.291,0.0,0.104,0.581,0.286,0.787,0.659,0.679,0.648,0.687,0.715,0.733,40.0,0.81,0.89,0.67,0.9,0.87,cell_number
ivis,cell_100,0.28,0.31,0.4,0.31,0.092,0.214,0.31,0.05,0.118,0.181,0.564,0.008,0.4,0.626,0.502,0.107,0.599,0.507,0.54,0.56,0.581,0.557,0.539,20.0,0.04,0.08,0.38,0.08,0.07,cell_number
pCMF,cell_100,0.24,0.19,0.15,0.28,0.089,0.179,0.313,0.046,0.105,0.193,0.548,0.175,0.2,0.371,0.509,0.397,0.935,0.505,0.523,0.568,0.52,0.576,0.6,77.0,-0.02,0.06,-0.87,0.08,0.05,cell_number
