component_x,component_y,spearman_r
local,local,1.0
global,local,0.7148717948717949
kmeans,local,0.852991452991453
louvain,local,0.9104273504273505
spectral,local,0.8885470085470085
runtime_score,local,0.107008547008547
memory_score,local,0.12205128205128205
cell_number,local,0.6704273504273505
gene_number,local,0.6635897435897435
celltype_number,local,0.6492307692307693
dropout,local,0.7244444444444444
batch_number,local,0.6341880341880342
batch_strength,local,0.775042735042735
de_prob,local,0.6205128205128205
de_strength,local,0.6704273504273505
out,local,0.589059829059829
local,global,0.7148717948717949
global,global,1.0
kmeans,global,0.6382905982905983
louvain,global,0.584957264957265
spectral,global,0.6396581196581197
runtime_score,global,0.23692307692307693
memory_score,global,0.38051282051282054
cell_number,global,0.427008547008547
gene_number,global,0.3176068376068376
celltype_number,global,0.3764102564102564
dropout,global,0.4064957264957265
batch_number,global,0.3292307692307692
batch_strength,global,0.4584615384615385
de_prob,global,0.34564102564102567
de_strength,global,0.40717948717948715
out,global,0.26427350427350427
local,kmeans,0.852991452991453
global,kmeans,0.6382905982905983
kmeans,kmeans,1.0
louvain,kmeans,0.9637606837606838
spectral,kmeans,0.9644444444444444
runtime_score,kmeans,0.11863247863247864
memory_score,kmeans,0.13914529914529913
cell_number,kmeans,0.770940170940171
gene_number,kmeans,0.7169230769230769
celltype_number,kmeans,0.692991452991453
dropout,kmeans,0.7702564102564102
batch_number,kmeans,0.6758974358974359
batch_strength,kmeans,0.7736752136752136
de_prob,kmeans,0.721025641025641
de_strength,kmeans,0.7524786324786324
out,kmeans,0.6635897435897435
local,louvain,0.9104273504273505
global,louvain,0.584957264957265
kmeans,louvain,0.9637606837606838
louvain,louvain,1.0
spectral,louvain,0.9671794871794872
runtime_score,louvain,0.12341880341880342
memory_score,louvain,0.09675213675213676
cell_number,louvain,0.7593162393162393
gene_number,louvain,0.731965811965812
celltype_number,louvain,0.6820512820512821
dropout,louvain,0.7941880341880342
batch_number,louvain,0.6827350427350427
batch_strength,louvain,0.7798290598290598
de_prob,louvain,0.7094017094017094
de_strength,louvain,0.7422222222222222
out,louvain,0.6738461538461539
local,spectral,0.8885470085470085
global,spectral,0.6396581196581197
kmeans,spectral,0.9644444444444444
louvain,spectral,0.9671794871794872
spectral,spectral,1.0
runtime_score,spectral,0.174017094017094
memory_score,spectral,0.18085470085470085
cell_number,spectral,0.7435897435897436
gene_number,spectral,0.692991452991453
celltype_number,spectral,0.6615384615384615
dropout,spectral,0.7593162393162393
batch_number,spectral,0.6574358974358975
batch_strength,spectral,0.736068376068376
de_prob,spectral,0.6875213675213675
de_strength,spectral,0.7333333333333333
out,spectral,0.6198290598290598
local,runtime_score,0.107008547008547
global,runtime_score,0.23692307692307693
