method_id,scenario,profile_score,profile_rank,equal_weight_score,equal_weight_rank,score_delta_from_equal,rank_delta_from_equal
PCA,equal weight,0.6657548517014871,8.0,0.6657548517014871,8.0,0.0,0.0
GLMPCA,equal weight,0.6494584276874026,10.0,0.6494584276874026,10.0,0.0,0.0
pCMF,equal weight,0.3048144314445394,24.0,0.3048144314445394,24.0,0.0,0.0
ZIFA,equal weight,0.6401960460227428,11.0,0.6401960460227428,11.0,0.0,0.0
scGBM,equal weight,0.6612292952743584,9.0,0.6612292952743584,9.0,0.0,0.0
SSNMDI,equal weight,0.2588247155943185,25.0,0.2588247155943185,25.0,0.0,0.0
tGPLVM,equal weight,0.5392288988298692,16.0,0.5392288988298692,16.0,0.0,0.0
VAE,equal weight,0.6687609749941713,7.0,0.6687609749941713,7.0,0.0,0.0
scvis,equal weight,0.40274561621643334,21.0,0.40274561621643334,21.0,0.0,0.0
VASC,equal weight,0.4118874769800309,20.0,0.4118874769800309,20.0,0.0,0.0
SAUCIE,equal weight,0.3389765317041786,22.0,0.3389765317041786,22.0,0.0,0.0
scScope,equal weight,0.41889938065824317,19.0,0.41889938065824317,19.0,0.0,0.0
SCDRHA,equal weight,0.5706008716857678,13.0,0.5706008716857678,13.0,0.0,0.0
scGAE,equal weight,0.42107262842470494,18.0,0.42107262842470494,18.0,0.0,0.0
DREAM,equal weight,0.4426571028170286,17.0,0.4426571028170286,17.0,0.0,0.0
DRA,equal weight,0.2533899982627054,26.0,0.2533899982627054,26.0,0.0,0.0
UMAP,equal weight,0.7020324184648239,5.0,0.7020324184648239,5.0,0.0,0.0
SIMLR,equal weight,0.6763450593541998,6.0,0.6763450593541998,6.0,0.0,0.0
PHATE,equal weight,0.7234169814967952,4.0,0.7234169814967952,4.0,0.0,0.0
EDGE,equal weight,0.5835930721157682,12.0,0.5835930721157682,12.0,0.0,0.0
SPDR,equal weight,0.7400553279056139,3.0,0.7400553279056139,3.0,0.0,0.0
IVIS,equal weight,0.5626180617269411,14.0,0.5626180617269411,14.0,0.0,0.0
PaCMAP,equal weight,0.31555770927861587,23.0,0.31555770927861587,23.0,0.0,0.0
t-SNE,equal weight,0.7411426175706313,2.0,0.7411426175706313,2.0,0.0,0.0
TriMap,equal weight,0.7681472501279613,1.0,0.7681472501279613,1.0,0.0,0.0
SQuaD-MDS,equal weight,0.5622242072080099,15.0,0.5622242072080099,15.0,0.0,0.0
PCA,minus structure,0.67441877406714,8.0,0.6657548517014871,8.0,0.008663922365652943,0.0
GLMPCA,minus structure,0.6577232308260834,10.0,0.6494584276874026,10.0,0.008264803138680832,0.0
pCMF,minus structure,0.28178587029183316,24.0,0.3048144314445394,24.0,-0.02302856115270624,0.0
ZIFA,minus structure,0.6509966035274829,11.0,0.6401960460227428,11.0,0.010800557504740071,0.0
scGBM,minus structure,0.6690084373419178,9.0,0.6612292952743584,9.0,0.007779142067559475,0.0
SSNMDI,minus structure,0.25296242656273793,26.0,0.2588247155943185,25.0,-0.005862289031580592,1.0
tGPLVM,minus structure,0.5511558025878195,15.0,0.5392288988298692,16.0,0.011926903757950247,-1.0
VAE,minus structure,0.6948017628150158,6.0,0.6687609749941713,7.0,0.026040787820844513,-1.0
scvis,minus structure,0.3643948008930729,21.0,0.40274561621643334,21.0,-0.03835081532336043,0.0
VASC,minus structure,0.3889946027411038,20.0,0.4118874769800309,20.0,-0.022892874238927108,0.0
SAUCIE,minus structure,0.31167282674667657,23.0,0.3389765317041786,22.0,-0.027303704957502006,1.0
scScope,minus structure,0.4073973072639764,18.0,0.41889938065824317,19.0,-0.011502073394266787,-1.0
SCDRHA,minus structure,0.5647576801488163,13.0,0.5706008716857678,13.0,-0.005843191536951453,0.0
scGAE,minus structure,0.40230138910760577,19.0,0.42107262842470494,18.0,-0.018771239317099175,1.0
DREAM,minus structure,0.4328058344729639,17.0,0.4426571028170286,17.0,-0.00985126834406469,0.0
DRA,minus structure,0.2535493780724335,25.0,0.2533899982627054,26.0,0.00015937980972807742,-1.0
UMAP,minus structure,0.7146625355806354,5.0,0.7020324184648239,5.0,0.012630117115811523,0.0
SIMLR,minus structure,0.691643356030759,7.0,0.6763450593541998,6.0,0.015298296676559242,1.0
PHATE,minus structure,0.739332974671698,4.0,0.7234169814967952,4.0,0.015915993174902776,0.0
EDGE,minus structure,0.5950100862533849,12.0,0.5835930721157682,12.0,0.011417014137616754,0.0
SPDR,minus structure,0.7567189490119812,3.0,0.7400553279056139,3.0,0.01666362110636732,0.0
IVIS,minus structure,0.5613424727214422,14.0,0.5626180617269411,14.0,-0.001275589005498845,0.0
PaCMAP,minus structure,0.3133445593234822,22.0,0.31555770927861587,23.0,-0.002213149955133664,-1.0
t-SNE,minus structure,0.7628425937814114,2.0,0.7411426175706313,2.0,0.021699976210780125,0.0
TriMap,minus structure,0.7848324684700841,1.0,0.7681472501279613,1.0,0.016685218342122887,0.0
SQuaD-MDS,minus structure,0.5478050864774444,16.0,0.5622242072080099,15.0,-0.014419120730565504,1.0
PCA,minus clustering,0.7013252520025242,7.0,0.6657548517014871,8.0,0.035570400301037086,-1.0
GLMPCA,minus clustering,0.6685475245716747,10.0,0.6494584276874026,10.0,0.019089096884272072,0.0
pCMF,minus clustering,0.30221196131012296,24.0,0.3048144314445394,24.0,-0.002602470134416446,0.0
ZIFA,minus clustering,0.6679901372321315,11.0,0.6401960460227428,11.0,0.027794091209388694,0.0
scGBM,minus clustering,0.679958395130133,9.0,0.6612292952743584,9.0,0.018729099855774645,0.0
SSNMDI,minus clustering,0.25845628004986637,26.0,0.2588247155943185,25.0,-0.0003684355444521503,1.0
tGPLVM,minus clustering,0.5893112551103356,13.0,0.5392288988298692,16.0,0.05008235628046631,-3.0
VAE,minus clustering,0.7192936881174294,6.0,0.6687609749941713,7.0,0.05053271312325813,-1.0
scvis,minus clustering,0.36813018298324535,21.0,0.40274561621643334,21.0,-0.034615433233188,0.0
VASC,minus clustering,0.3813369273878448,20.0,0.4118874769800309,20.0,-0.030550549592186116,0.0
SAUCIE,minus clustering,0.3360001492443931,22.0,0.3389765317041786,22.0,-0.002976382459785487,0.0
scScope,minus clustering,0.4320137021385888,18.0,0.41889938065824317,19.0,0.013114321480345636,-1.0
SCDRHA,minus clustering,0.5892355572125353,14.0,0.5706008716857678,13.0,0.018634685526767503,1.0
scGAE,minus clustering,0.40543962024864666,19.0,0.42107262842470494,18.0,-0.015633008176058283,1.0
DREAM,minus clustering,0.44170544120140853,17.0,0.4426571028170286,17.0,-0.0009516616156200475,0.0
DRA,minus clustering,0.27539660804235155,25.0,0.2533899982627054,26.0,0.022006609779646136,-1.0
UMAP,minus clustering,0.7362830945989105,5.0,0.7020324184648239,5.0,0.03425067613408661,0.0
SIMLR,minus clustering,0.6998874160761782,8.0,0.6763450593541998,6.0,0.023542356721978464,2.0
PHATE,minus clustering,0.7617171778462823,4.0,0.7234169814967952,4.0,0.038300196349487114,0.0
EDGE,minus clustering,0.6086914191356245,12.0,0.5835930721157682,12.0,0.02509834701985636,0.0
SPDR,minus clustering,0.7797223847825203,2.0,0.7400553279056139,3.0,0.039667056876906415,-1.0
IVIS,minus clustering,0.5705897032998607,16.0,0.5626180617269411,14.0,0.00797164157291963,2.0
PaCMAP,minus clustering,0.3197822127858286,23.0,0.31555770927861587,23.0,0.004224503507212707,0.0
t-SNE,minus clustering,0.7757629945408433,3.0,0.7411426175706313,2.0,0.03462037697021203,1.0
TriMap,minus clustering,0.8114693368791881,1.0,0.7681472501279613,1.0,0.04332208675122684,0.0
SQuaD-MDS,minus clustering,0.5887104793000995,15.0,0.5622242072080099,15.0,0.026486272092089536,0.0
PCA,minus efficiency,0.6186313004564851,8.0,0.6657548517014871,8.0,-0.047123551245002004,0.0
GLMPCA,minus efficiency,0.6023167621765969,11.0,0.6494584276874026,10.0,-0.047141665510805675,1.0
pCMF,minus efficiency,0.2429547321890304,23.0,0.3048144314445394,24.0,-0.06185969925550899,-1.0
ZIFA,minus efficiency,0.6102545841396113,10.0,0.6401960460227428,11.0,-0.029941461883131515,-1.0
scGBM,minus efficiency,0.6169344704582063,9.0,0.6612292952743584,9.0,-0.0442948248161521,0.0
SSNMDI,minus efficiency,0.1914184945262916,25.0,0.2588247155943185,25.0,-0.06740622106802693,0.0
tGPLVM,minus efficiency,0.48432516290210254,16.0,0.5392288988298692,16.0,-0.054903735927766706,0.0
VAE,minus efficiency,0.6303515823348539,7.0,0.6687609749941713,7.0,-0.03840939265931742,0.0
scvis,minus efficiency,0.3649139868753222,20.0,0.40274561621643334,21.0,-0.03783162934111112,-1.0
VASC,minus efficiency,0.37346052055082335,18.0,0.4118874769800309,20.0,-0.03842695642920757,-2.0
SAUCIE,minus efficiency,0.2463283821733052,22.0,0.3389765317041786,22.0,-0.09264814953087339,0.0
scScope,minus efficiency,0.3454944575882085,21.0,0.41889938065824317,19.0,-0.07340492307003466,2.0
SCDRHA,minus efficiency,0.551339243848614,13.0,0.5706008716857678,13.0,-0.019261627837153794,0.0
scGAE,minus efficiency,0.3680911041720324,19.0,0.42107262842470494,18.0,-0.05298152425267255,1.0
DREAM,minus efficiency,0.38534236940458383,17.0,0.4426571028170286,17.0,-0.05731473341244475,0.0
DRA,minus efficiency,0.16197197829482413,26.0,0.2533899982627054,26.0,-0.09141801996788129,0.0
UMAP,minus efficiency,0.6666229335958208,6.0,0.7020324184648239,5.0,-0.03540948486900308,1.0
SIMLR,minus efficiency,0.6994073217347498,4.0,0.6763450593541998,6.0,0.02306226238055009,-2.0
PHATE,minus efficiency,0.6857647572134488,5.0,0.7234169814967952,4.0,-0.03765222428334647,1.0
EDGE,minus efficiency,0.5767333271159776,12.0,0.5835930721157682,12.0,-0.006859744999790585,0.0
SPDR,minus efficiency,0.7208141081717448,2.0,0.7400553279056139,3.0,-0.019241219733869053,-1.0
IVIS,minus efficiency,0.5056317736927805,14.0,0.5626180617269411,14.0,-0.056986288034160615,0.0
PaCMAP,minus efficiency,0.21968398228796943,24.0,0.31555770927861587,23.0,-0.09587372699064645,1.0
t-SNE,minus efficiency,0.7052943321414017,3.0,0.7411426175706313,2.0,-0.035848285429229576,1.0
TriMap,minus efficiency,0.7368289858797388,1.0,0.7681472501279613,1.0,-0.03131826424822248,0.0
SQuaD-MDS,minus efficiency,0.5027949775226898,15.0,0.5622242072080099,15.0,-0.05942922968532016,0.0
PCA,minus robustness,0.6766147946154027,7.0,0.6657548517014871,8.0,0.010859942913915677,-1.0
GLMPCA,minus robustness,0.6917609725037185,5.0,0.6494584276874026,10.0,0.0423025448163159,-5.0
pCMF,minus robustness,0.47942411108202904,24.0,0.3048144314445394,24.0,0.17460967963748963,0.0
ZIFA,minus robustness,0.6268602568192326,11.0,0.6401960460227428,11.0,-0.013335789203510195,0.0
scGBM,minus robustness,0.6994780467536768,3.0,0.6612292952743584,9.0,0.03824875147931839,-6.0
SSNMDI,minus robustness,0.40604597323323094,25.0,0.2588247155943185,25.0,0.14722125763891242,0.0
tGPLVM,minus robustness,0.5321724729343504,21.0,0.5392288988298692,16.0,-0.007056425895518803,5.0
VAE,minus robustness,0.5996517174422094,13.0,0.6687609749941713,7.0,-0.06910925755196196,6.0
scvis,minus robustness,0.6193963101212973,12.0,0.40274561621643334,21.0,0.2166506939048639,-9.0
VASC,minus robustness,0.5912638732732175,15.0,0.4118874769800309,20.0,0.17937639629318658,-5.0
SAUCIE,minus robustness,0.5844078081062454,17.0,0.3389765317041786,22.0,0.2454312764020668,-5.0
scScope,minus robustness,0.564358205123347,19.0,0.41889938065824317,19.0,0.14545882446510383,0.0
SCDRHA,minus robustness,0.5862032373128383,16.0,0.5706008716857678,13.0,0.015602365627070514,3.0
scGAE,minus robustness,0.5936108850340707,14.0,0.42107262842470494,18.0,0.17253825660936573,-4.0
DREAM,minus robustness,0.5787564779019132,18.0,0.4426571028170286,17.0,0.13609937508488462,1.0
DRA,minus robustness,0.395037860416812,26.0,0.2533899982627054,26.0,0.14164786215410657,0.0
UMAP,minus robustness,0.6839827554364747,6.0,0.7020324184648239,5.0,-0.018049663028349205,1.0
SIMLR,minus robustness,0.5559024216134489,20.0,0.6763450593541998,6.0,-0.12044263774075081,14.0
PHATE,minus robustness,0.6957605076360648,4.0,0.7234169814967952,4.0,-0.027656473860730446,0.0
EDGE,minus robustness,0.5278673179460979,22.0,0.5835930721157682,12.0,-0.055725754169670294,10.0
SPDR,minus robustness,0.6715431338177916,8.0,0.7400553279056139,3.0,-0.06851219408782228,5.0
IVIS,minus robustness,0.6643373385994094,9.0,0.5626180617269411,14.0,0.10171927687246829,-5.0
PaCMAP,minus robustness,0.503885956656781,23.0,0.31555770927861587,23.0,0.18832824737816517,0.0
t-SNE,minus robustness,0.7051442502057083,2.0,0.7411426175706313,2.0,-0.03599836736492301,0.0
TriMap,minus robustness,0.7169580379735966,1.0,0.7681472501279613,1.0,-0.05118921215436467,0.0
SQuaD-MDS,minus robustness,0.6607321170116149,10.0,0.5622242072080099,15.0,0.09850790980360502,-5.0
