method_id,family,domain,domain_score,component_count,weighted_contribution
PCA,linear/probabilistic,Clustering,0.5116164503969935,3,0.09592808444943629
PCA,linear/probabilistic,Efficiency,0.9956197104165021,2,0.12445246380206276
PCA,linear/probabilistic,Robustness,0.6573082294351082,9,0.36973587905724836
PCA,linear/probabilistic,Structure,0.6051073951419175,2,0.07563842439273968
VAE,deep generative/autoencoder,Clustering,0.4497858847933864,3,0.08433485339875994
VAE,deep generative/autoencoder,Efficiency,0.9376267236093938,2,0.11720334045117423
VAE,deep generative/autoencoder,Robustness,0.7225126197568086,9,0.40641334861320483
VAE,deep generative/autoencoder,Structure,0.4864754602482591,2,0.06080943253103239
SIMLR,graph/diffusion,Clustering,0.5743281802256255,3,0.10768653379230478
SIMLR,graph/diffusion,Efficiency,0.5149092226903486,2,0.06436365283629357
SIMLR,graph/diffusion,Robustness,0.7700226664858948,9,0.4331377498983158
SIMLR,graph/diffusion,Structure,0.5692569826182844,2,0.07115712282728555
UMAP,graph/diffusion,Clustering,0.5536128218837818,3,0.1038024041032091
UMAP,graph/diffusion,Efficiency,0.9498988125478451,2,0.11873735156848064
UMAP,graph/diffusion,Robustness,0.7160710452646509,9,0.40278996296136615
UMAP,graph/diffusion,Structure,0.6136215986541438,2,0.07670269983176797
PHATE,graph/diffusion,Clustering,0.5574494639823524,3,0.10452177449669108
PHATE,graph/diffusion,Efficiency,0.9869825514802221,2,0.12337281893502776
PHATE,graph/diffusion,Robustness,0.7449275722773635,9,0.419021759406017
PHATE,graph/diffusion,Structure,0.6120050292724762,2,0.07650062865905953
SPDR,graph/diffusion,Clustering,0.5681647481056861,3,0.10653089026981613
SPDR,graph/diffusion,Efficiency,0.8747438660426983,2,0.10934298325533728
SPDR,graph/diffusion,Robustness,0.79334258997392,9,0.44625520686033004
SPDR,graph/diffusion,Structure,0.6234099801610434,2,0.07792624752013043
t-SNE,metric/structure-aware,Clustering,0.5911209840330466,3,0.11083518450619623
t-SNE,metric/structure-aware,Efficiency,0.9920806155752389,2,0.12401007694690486
t-SNE,metric/structure-aware,Robustness,0.7691413477433492,9,0.4326420081056339
t-SNE,metric/structure-aware,Structure,0.5892427840951704,2,0.0736553480118963
TriMap,metric/structure-aware,Clustering,0.5804182075393122,3,0.10882841391362102
TriMap,metric/structure-aware,Efficiency,0.9873750998655186,2,0.12342188748318983
TriMap,metric/structure-aware,Robustness,0.8079610818035783,9,0.45447810851451276
TriMap,metric/structure-aware,Structure,0.6513507217331012,2,0.08141884021663764
