method_id,method_raw,parent_method,metric,value,raw_metric_value,dataset_category,dataset_id,dataset_dir,source,structure_table,metric_sample_n,distance_sample_n
DRA,DRA,DRA,nkr_10,0.013125,0.013125,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
DRA,DRA,DRA,aji_10,0.006944444444444444,0.006944444444444444,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
DRA,DRA,DRA,nkr_20,0.0268125,0.0268125,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
DRA,DRA,DRA,aji_20,0.013899542254805412,0.013899542254805412,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
DRA,DRA,DRA,nkr_30,0.037375,0.037375,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
DRA,DRA,DRA,aji_30,0.01932375320240988,0.01932375320240988,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
DRA,DRA,DRA,T_30,0.5057096863264855,0.5057096863264855,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
DRA,DRA,DRA,C_30,0.5130377181356307,0.5130377181356307,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
DRA,DRA,DRA,nh_30,0.41825,0.41825,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
DRA,DRA,DRA,random_triplet,0.5075,0.5075,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
DRA,DRA,DRA,spearman,2.1752865299619474e-05,2.1752865299619474e-05,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
DRA,DRA,DRA,Pearson,-0.03915553952481552,-0.03915553952481552,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
DRA,DRA,DRA,k-nearest,0.0,0.0,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
DRA,DRA,DRA,centroid_distance,0.15690755714206173,0.15690755714206173,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
EDGE,EDGE,EDGE,nkr_10,0.1355,0.1355,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
EDGE,EDGE,EDGE,aji_10,0.08028393121756125,0.08028393121756125,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
EDGE,EDGE,EDGE,nkr_20,0.19975,0.19975,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
EDGE,EDGE,EDGE,aji_20,0.12102998369510268,0.12102998369510268,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
EDGE,EDGE,EDGE,nkr_30,0.24454166666666666,0.24454166666666666,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
EDGE,EDGE,EDGE,aji_30,0.15087012217712448,0.15087012217712448,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
EDGE,EDGE,EDGE,T_30,0.7774072233267064,0.7774072233267064,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
EDGE,EDGE,EDGE,C_30,0.7407233267064282,0.7407233267064282,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
EDGE,EDGE,EDGE,nh_30,0.7144583333333334,0.7144583333333334,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
EDGE,EDGE,EDGE,random_triplet,0.5255,0.5255,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
EDGE,EDGE,EDGE,spearman,0.04957247407130036,0.04957247407130036,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
EDGE,EDGE,EDGE,Pearson,-0.02013700850530702,-0.02013700850530702,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
EDGE,EDGE,EDGE,k-nearest,0.2564102564102564,0.2564102564102564,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
EDGE,EDGE,EDGE,centroid_distance,0.6051411066762775,0.6051411066762775,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
GLMPCA,GLMPCA,GLMPCA,nkr_10,0.03825,0.03825,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
GLMPCA,GLMPCA,GLMPCA,aji_10,0.021144113347093225,0.021144113347093225,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
GLMPCA,GLMPCA,GLMPCA,nkr_20,0.0631875,0.0631875,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
GLMPCA,GLMPCA,GLMPCA,aji_20,0.03439629690272281,0.03439629690272281,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
GLMPCA,GLMPCA,GLMPCA,nkr_30,0.08554166666666667,0.08554166666666667,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
GLMPCA,GLMPCA,GLMPCA,aji_30,0.046594197844042895,0.046594197844042895,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
GLMPCA,GLMPCA,GLMPCA,T_30,0.6066182350342391,0.6066182350342391,DRA_large_real,Macosko,Macosko,structure_metric_raw,large_real_embedding_metric,800,500
