method_id,knn_10,knn_30,nkr_30,aji_30,T_30,C_30,nh_30,svm,panel,random_triplet,spearman,k-nearest,centroid_distance,AUC,Qglobal,Pearson,score,rank,C_10,C_20,Mrre_false_10,Mrre_false_20,Mrre_false_30,Mrre_missing_10,Mrre_missing_20,Mrre_missing_30,T_10,T_20,aji_10,aji_20,knn_20,nh_10,nh_20,nkr_10,nkr_20,source,method_raw,parent_method,metric,value,dataset_category,dataset_id,structure_table,raw_metric_value,structure_metric_class,family,family_label,local_score,global_score,structure_mean
scvis,0.865,0.831,0.2905,0.1745,0.9045000000000001,0.9245000000000001,0.7515000000000001,0.854,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMLR,0.879,0.821,0.419,0.255,0.795,0.767,0.764,0.856,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TriMap,0.8895,0.8574999999999999,0.263,0.1525,0.8454999999999999,0.8855,0.782,0.864,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPDR,0.878,0.8385,0.2845,0.16499999999999998,0.855,0.8935,0.7755000000000001,0.844,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-SNE,0.9205000000000001,0.8905000000000001,0.181,0.101,0.8015000000000001,0.854,0.829,0.89,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMAP,0.8725,0.8234999999999999,0.251,0.143,0.817,0.8995,0.7565,0.836,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHATE,0.8625,0.8165,0.219,0.1185,0.8154999999999999,0.885,0.7484999999999999,0.8374999999999999,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,0.8105,0.7765,0.2535,0.1455,0.8154999999999999,0.877,0.669,0.7995000000000001,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGBM,0.856,0.809,0.11399999999999999,0.0635,0.759,0.848,0.7355,0.8434999999999999,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,0.8345,0.8140000000000001,0.10500000000000001,0.059,0.753,0.844,0.7484999999999999,0.8345,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIS,0.798,0.7845,0.131,0.07100000000000001,0.7835000000000001,0.868,0.7095,0.795,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VASC,0.8505,0.806,0.0925,0.054,0.7215,0.8405,0.7415,0.832,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
