method_id,knn_10,knn_30,nkr_30,aji_30,T_30,C_30,nh_30,svm,panel,random_triplet,spearman,k-nearest,centroid_distance,AUC,Qglobal,Pearson,score,rank,C_10,C_20,Mrre_false_10,Mrre_false_20,Mrre_false_30,Mrre_missing_10,Mrre_missing_20,Mrre_missing_30,T_10,T_20,aji_10,aji_20,knn_20,nh_10,nh_20,nkr_10,nkr_20,source,method_raw,parent_method,metric,raw_metric_value,dataset_category,dataset_id,structure_table,structure_metric_class,family,family_label,local,global,overall_mean,median_rank,q1_rank,q3_rank,mean_structure_score,top3_fraction,dataset_instances,Local,Global,Cluster,local_rank,global_rank,rank_discordance,metric_median,metric_iqr,metric_range,n_metrics
PCA,0.857,0.8365,0.053,0.028,0.6895,0.813,0.765,0.856,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,0.865,0.849,0.0525,0.0275,0.6944999999999999,0.796,0.814,0.868,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pCMF,0.2625,0.293,0.015,0.008,0.528,0.5555000000000001,0.242,0.31,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIFA,0.8645,0.8405,0.0525,0.027,0.684,0.793,0.7735000000000001,0.866,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGBM,0.875,0.8714999999999999,0.0545,0.0285,0.6890000000000001,0.8154999999999999,0.826,0.8845000000000001,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,0.25,0.274,0.015,0.008,0.509,0.505,0.229,0.302,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,0.653,0.661,0.0465,0.024,0.642,0.7464999999999999,0.523,0.644,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAE,0.9315,0.9295,0.081,0.043,0.706,0.7665,0.89,0.926,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scvis,0.505,0.5055000000000001,0.034,0.0175,0.6405000000000001,0.819,0.418,0.532,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VASC,0.8505,0.806,0.0925,0.054,0.7215,0.8405,0.7415,0.832,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,0.3035,0.3455,0.019,0.01,0.5585,0.5175000000000001,0.264,0.364,a_local_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
