sample,x,y,method,annotation_label
0,-10.583262,17.858114,SPDR,b.cells
1,-14.911312,15.966384,SPDR,b.cells
2,-6.3002257,18.998396,SPDR,b.cells
3,-7.177749,19.97171,SPDR,b.cells
4,-7.281197,17.37971,SPDR,b.cells
5,-9.51899,15.276112,SPDR,b.cells
6,-8.433392,16.114468,SPDR,b.cells
7,-5.677747,22.523378,SPDR,b.cells
8,-10.126219,17.701918,SPDR,b.cells
9,-7.484364,18.115646,SPDR,b.cells
10,-8.781513,19.649874,SPDR,b.cells
11,-12.488652,25.850403,SPDR,b.cells
12,-8.337424,18.30405,SPDR,b.cells
13,-5.7178926,18.05379,SPDR,b.cells
14,-8.206868,15.551996,SPDR,b.cells
15,-13.642975,23.493963,SPDR,b.cells
16,-15.253345,16.938604,SPDR,b.cells
17,-9.196502,17.76902,SPDR,b.cells
18,-15.662643,16.7352,SPDR,b.cells
19,-10.740906,14.841833,SPDR,b.cells
20,-8.987694,15.573383,SPDR,b.cells
21,-10.169265,17.284185,SPDR,b.cells
22,-5.484215,16.605255,SPDR,b.cells
23,-13.570816,21.584305,SPDR,b.cells
24,-10.657563,16.52394,SPDR,b.cells
25,-9.928963,17.429058,SPDR,b.cells
26,-7.0889277,19.593227,SPDR,b.cells
27,-7.2399526,20.93568,SPDR,b.cells
28,-8.395213,19.685007,SPDR,b.cells
29,-6.203936,21.31897,SPDR,b.cells
30,-13.292492,18.402185,SPDR,b.cells
31,-11.53154,18.840014,SPDR,b.cells
32,-6.205197,13.849092,SPDR,b.cells
33,-8.435459,17.735098,SPDR,b.cells
34,-12.714407,21.390743,SPDR,b.cells
35,-11.090856,21.74262,SPDR,b.cells
36,-6.5218983,20.112713,SPDR,b.cells
37,-8.55836,17.69377,SPDR,b.cells
38,-11.099767,16.80389,SPDR,b.cells
39,-9.871609,16.1532,SPDR,b.cells
40,-6.4858866,19.770876,SPDR,b.cells
41,-13.838737,16.645735,SPDR,b.cells
42,-12.478088,18.305819,SPDR,b.cells
43,-10.445665,18.393248,SPDR,b.cells
44,-11.021424,18.972668,SPDR,b.cells
