parent_method,clustering_algorithm,median_ari,family,panel,metric,median_value,dataset_category,dataset_id,ari,ARI,NMI,pearson_r,appearances,fraction,n_top_three_slots,median_rank,q1_rank,q3_rank,top3_fraction,dataset_algorithm_tasks,eligible_task_count,kmeans,louvain,spectral,algorithm_range,algorithm_sd,n_algorithms,median_absolute_gap,q1_absolute_gap,q3_absolute_gap,task_count
PCA,kmeans,0.405,linear,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,kmeans,0.445,linear,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
pCMF,kmeans,0.1,linear,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIFA,kmeans,0.36,linear,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGBM,kmeans,0.45,linear,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,kmeans,0.01,linear,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,kmeans,0.04,linear,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAE,kmeans,0.27,deep,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
scvis,kmeans,0.46,deep,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
VASC,kmeans,0.43,deep,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,kmeans,0.10500000000000001,deep,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
scScope,kmeans,0.13,deep,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCDRHA,kmeans,0.305,deep,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGAE,kmeans,0.24,deep,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
DREAM,kmeans,0.24,deep,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRA,kmeans,0.0,deep,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMAP,kmeans,0.41000000000000003,graph,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMLR,kmeans,0.51,graph,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHATE,kmeans,0.47,graph,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE,kmeans,0.29500000000000004,graph,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPDR,kmeans,0.46499999999999997,graph,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIS,kmeans,0.325,metric,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,kmeans,0.01,metric,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-SNE,kmeans,0.435,metric,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
TriMap,kmeans,0.455,metric,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,kmeans,0.33999999999999997,metric,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA,spectral,0.25,linear,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,spectral,0.375,linear,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
pCMF,spectral,0.1,linear,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIFA,spectral,0.28500000000000003,linear,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGBM,spectral,0.42,linear,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,spectral,0.01,linear,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,spectral,0.05,linear,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAE,spectral,0.26,deep,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
scvis,spectral,0.39,deep,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
VASC,spectral,0.32,deep,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
