dataset_category,dataset_id,parent_method,clustering_algorithm,missing_metric_count
TI,pair-1,SIMLR,kmeans,5
TI,pair-1,SIMLR,louvain,5
TI,pair-1,SIMLR,spectral,5
TI,pair-2,SIMLR,kmeans,5
TI,pair-2,SIMLR,louvain,5
TI,pair-2,SIMLR,spectral,5
TI,pair-3,SIMLR,kmeans,5
TI,pair-3,SIMLR,louvain,5
TI,pair-3,SIMLR,spectral,5
TI,pair-4,SIMLR,kmeans,5
TI,pair-4,SIMLR,louvain,5
TI,pair-4,SIMLR,spectral,5
VASC,Baron,SIMLR,kmeans,5
VASC,Baron,SIMLR,louvain,5
VASC,Baron,SIMLR,spectral,5
scDesign3,CITE,SIMLR,kmeans,5
scDesign3,CITE,SIMLR,louvain,5
scDesign3,CITE,SIMLR,spectral,5
scDesign3,IFNB,SIMLR,kmeans,5
scDesign3,IFNB,SIMLR,louvain,5
scDesign3,IFNB,SIMLR,spectral,5
scDesign3,MOBSC,SIMLR,kmeans,5
scDesign3,MOBSC,SIMLR,louvain,5
scDesign3,MOBSC,SIMLR,spectral,5
scDesign3,SLIDE,SIMLR,kmeans,5
scDesign3,SLIDE,SIMLR,louvain,5
scDesign3,SLIDE,SIMLR,spectral,5
scDesign3,SLIDE,pCMF,kmeans,5
scDesign3,SLIDE,pCMF,louvain,5
scDesign3,SLIDE,pCMF,spectral,5
