method_raw,value,method_id,parent_method,dataset_category,dataset_id,clustering_algorithm,metric,family
ivis,0.37,IVIS,IVIS,benchmarker,Baron_mouse,kmeans,ARI,metric
scGAE,0.28,scGAE,scGAE,benchmarker,Baron_mouse,kmeans,ARI,deep
VASC,0.81,VASC,VASC,benchmarker,Baron_mouse,kmeans,ARI,deep
scGBM,0.33,scGBM,scGBM,benchmarker,Baron_mouse,kmeans,ARI,linear
SPDR,0.44,SPDR,SPDR,benchmarker,Baron_mouse,kmeans,ARI,graph
pCMF,0.22,pCMF,pCMF,benchmarker,Baron_mouse,kmeans,ARI,linear
SQuaD_MDS_hybrid,0.35,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,ARI,metric
SCDRHA,0.37,SCDRHA,SCDRHA,benchmarker,Baron_mouse,kmeans,ARI,deep
TSNE,0.34,t-SNE,t-SNE,benchmarker,Baron_mouse,kmeans,ARI,metric
UMAP,0.37,UMAP,UMAP,benchmarker,Baron_mouse,kmeans,ARI,graph
VAE,0.35,VAE,VAE,benchmarker,Baron_mouse,kmeans,ARI,deep
DREAM,0.2,DREAM,DREAM,benchmarker,Baron_mouse,kmeans,ARI,deep
ZIFA,0.26,ZIFA,ZIFA,benchmarker,Baron_mouse,kmeans,ARI,linear
SSNMDI,0.0,SSNMDI,SSNMDI,benchmarker,Baron_mouse,kmeans,ARI,linear
tGPLVM,0.14,tGPLVM,tGPLVM,benchmarker,Baron_mouse,kmeans,ARI,linear
SQuaD_MDS,0.32,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,ARI,metric
GLMPCA,0.33,GLMPCA,GLMPCA,benchmarker,Baron_mouse,kmeans,ARI,linear
PaCMAP,0.0,PaCMAP,PaCMAP,benchmarker,Baron_mouse,kmeans,ARI,metric
ParametricUMAP200,0.38,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,kmeans,ARI,graph
scScope,0.34,scScope,scScope,benchmarker,Baron_mouse,kmeans,ARI,deep
scvis,0.46,scvis,scvis,benchmarker,Baron_mouse,kmeans,ARI,deep
EDGE,0.19,EDGE,EDGE,benchmarker,Baron_mouse,kmeans,ARI,graph
TriMap,0.42,TriMap,TriMap,benchmarker,Baron_mouse,kmeans,ARI,metric
ParametricUMAP50,0.38,Parametric UMAP 50,UMAP,benchmarker,Baron_mouse,kmeans,ARI,graph
DRA,0.0,DRA,DRA,benchmarker,Baron_mouse,kmeans,ARI,deep
SIMLR,0.47,SIMLR,SIMLR,benchmarker,Baron_mouse,kmeans,ARI,graph
SAUCIE,0.11,SAUCIE,SAUCIE,benchmarker,Baron_mouse,kmeans,ARI,deep
PCA,0.52,PCA,PCA,benchmarker,Baron_mouse,kmeans,ARI,linear
PHATE,0.49,PHATE,PHATE,benchmarker,Baron_mouse,kmeans,ARI,graph
ivis,0.58,IVIS,IVIS,benchmarker,Baron_mouse,kmeans,COMP,metric
scGAE,0.51,scGAE,scGAE,benchmarker,Baron_mouse,kmeans,COMP,deep
VASC,0.72,VASC,VASC,benchmarker,Baron_mouse,kmeans,COMP,deep
scGBM,0.53,scGBM,scGBM,benchmarker,Baron_mouse,kmeans,COMP,linear
SPDR,0.65,SPDR,SPDR,benchmarker,Baron_mouse,kmeans,COMP,graph
pCMF,0.27,pCMF,pCMF,benchmarker,Baron_mouse,kmeans,COMP,linear
SQuaD_MDS_hybrid,0.56,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,COMP,metric
SCDRHA,0.61,SCDRHA,SCDRHA,benchmarker,Baron_mouse,kmeans,COMP,deep
TSNE,0.59,t-SNE,t-SNE,benchmarker,Baron_mouse,kmeans,COMP,metric
UMAP,0.58,UMAP,UMAP,benchmarker,Baron_mouse,kmeans,COMP,graph
VAE,0.6,VAE,VAE,benchmarker,Baron_mouse,kmeans,COMP,deep
DREAM,0.38,DREAM,DREAM,benchmarker,Baron_mouse,kmeans,COMP,deep
ZIFA,0.44,ZIFA,ZIFA,benchmarker,Baron_mouse,kmeans,COMP,linear
SSNMDI,0.03,SSNMDI,SSNMDI,benchmarker,Baron_mouse,kmeans,COMP,linear
tGPLVM,0.28,tGPLVM,tGPLVM,benchmarker,Baron_mouse,kmeans,COMP,linear
SQuaD_MDS,0.49,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,COMP,metric
GLMPCA,0.54,GLMPCA,GLMPCA,benchmarker,Baron_mouse,kmeans,COMP,linear
PaCMAP,0.03,PaCMAP,PaCMAP,benchmarker,Baron_mouse,kmeans,COMP,metric
ParametricUMAP200,0.58,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,kmeans,COMP,graph
scScope,0.57,scScope,scScope,benchmarker,Baron_mouse,kmeans,COMP,deep
scvis,0.61,scvis,scvis,benchmarker,Baron_mouse,kmeans,COMP,deep
EDGE,0.35,EDGE,EDGE,benchmarker,Baron_mouse,kmeans,COMP,graph
TriMap,0.62,TriMap,TriMap,benchmarker,Baron_mouse,kmeans,COMP,metric
ParametricUMAP50,0.59,Parametric UMAP 50,UMAP,benchmarker,Baron_mouse,kmeans,COMP,graph
DRA,0.02,DRA,DRA,benchmarker,Baron_mouse,kmeans,COMP,deep
SIMLR,0.64,SIMLR,SIMLR,benchmarker,Baron_mouse,kmeans,COMP,graph
SAUCIE,0.26,SAUCIE,SAUCIE,benchmarker,Baron_mouse,kmeans,COMP,deep
PCA,0.59,PCA,PCA,benchmarker,Baron_mouse,kmeans,COMP,linear
PHATE,0.63,PHATE,PHATE,benchmarker,Baron_mouse,kmeans,COMP,graph
ivis,0.86,IVIS,IVIS,benchmarker,Baron_mouse,kmeans,HOMO,metric
scGAE,0.76,scGAE,scGAE,benchmarker,Baron_mouse,kmeans,HOMO,deep
VASC,0.81,VASC,VASC,benchmarker,Baron_mouse,kmeans,HOMO,deep
scGBM,0.76,scGBM,scGBM,benchmarker,Baron_mouse,kmeans,HOMO,linear
SPDR,0.91,SPDR,SPDR,benchmarker,Baron_mouse,kmeans,HOMO,graph
pCMF,0.39,pCMF,pCMF,benchmarker,Baron_mouse,kmeans,HOMO,linear
SQuaD_MDS_hybrid,0.83,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,HOMO,metric
SCDRHA,0.8,SCDRHA,SCDRHA,benchmarker,Baron_mouse,kmeans,HOMO,deep
TSNE,0.87,t-SNE,t-SNE,benchmarker,Baron_mouse,kmeans,HOMO,metric
UMAP,0.83,UMAP,UMAP,benchmarker,Baron_mouse,kmeans,HOMO,graph
VAE,0.88,VAE,VAE,benchmarker,Baron_mouse,kmeans,HOMO,deep
DREAM,0.57,DREAM,DREAM,benchmarker,Baron_mouse,kmeans,HOMO,deep
ZIFA,0.61,ZIFA,ZIFA,benchmarker,Baron_mouse,kmeans,HOMO,linear
SSNMDI,0.04,SSNMDI,SSNMDI,benchmarker,Baron_mouse,kmeans,HOMO,linear
tGPLVM,0.39,tGPLVM,tGPLVM,benchmarker,Baron_mouse,kmeans,HOMO,linear
SQuaD_MDS,0.71,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,HOMO,metric
GLMPCA,0.78,GLMPCA,GLMPCA,benchmarker,Baron_mouse,kmeans,HOMO,linear
PaCMAP,0.04,PaCMAP,PaCMAP,benchmarker,Baron_mouse,kmeans,HOMO,metric
ParametricUMAP200,0.84,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,kmeans,HOMO,graph
scScope,0.82,scScope,scScope,benchmarker,Baron_mouse,kmeans,HOMO,deep
scvis,0.83,scvis,scvis,benchmarker,Baron_mouse,kmeans,HOMO,deep
EDGE,0.53,EDGE,EDGE,benchmarker,Baron_mouse,kmeans,HOMO,graph
TriMap,0.89,TriMap,TriMap,benchmarker,Baron_mouse,kmeans,HOMO,metric
ParametricUMAP50,0.84,Parametric UMAP 50,UMAP,benchmarker,Baron_mouse,kmeans,HOMO,graph
DRA,0.02,DRA,DRA,benchmarker,Baron_mouse,kmeans,HOMO,deep
SIMLR,0.88,SIMLR,SIMLR,benchmarker,Baron_mouse,kmeans,HOMO,graph
SAUCIE,0.38,SAUCIE,SAUCIE,benchmarker,Baron_mouse,kmeans,HOMO,deep
PCA,0.6,PCA,PCA,benchmarker,Baron_mouse,kmeans,HOMO,linear
PHATE,0.83,PHATE,PHATE,benchmarker,Baron_mouse,kmeans,HOMO,graph
ivis,0.69,IVIS,IVIS,benchmarker,Baron_mouse,kmeans,NMI,metric
scGAE,0.61,scGAE,scGAE,benchmarker,Baron_mouse,kmeans,NMI,deep
VASC,0.76,VASC,VASC,benchmarker,Baron_mouse,kmeans,NMI,deep
scGBM,0.62,scGBM,scGBM,benchmarker,Baron_mouse,kmeans,NMI,linear
SPDR,0.76,SPDR,SPDR,benchmarker,Baron_mouse,kmeans,NMI,graph
pCMF,0.32,pCMF,pCMF,benchmarker,Baron_mouse,kmeans,NMI,linear
SQuaD_MDS_hybrid,0.67,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,NMI,metric
SCDRHA,0.69,SCDRHA,SCDRHA,benchmarker,Baron_mouse,kmeans,NMI,deep
TSNE,0.71,t-SNE,t-SNE,benchmarker,Baron_mouse,kmeans,NMI,metric
UMAP,0.68,UMAP,UMAP,benchmarker,Baron_mouse,kmeans,NMI,graph
VAE,0.71,VAE,VAE,benchmarker,Baron_mouse,kmeans,NMI,deep
DREAM,0.46,DREAM,DREAM,benchmarker,Baron_mouse,kmeans,NMI,deep
ZIFA,0.51,ZIFA,ZIFA,benchmarker,Baron_mouse,kmeans,NMI,linear
SSNMDI,0.03,SSNMDI,SSNMDI,benchmarker,Baron_mouse,kmeans,NMI,linear
tGPLVM,0.32,tGPLVM,tGPLVM,benchmarker,Baron_mouse,kmeans,NMI,linear
SQuaD_MDS,0.58,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,NMI,metric
GLMPCA,0.64,GLMPCA,GLMPCA,benchmarker,Baron_mouse,kmeans,NMI,linear
PaCMAP,0.03,PaCMAP,PaCMAP,benchmarker,Baron_mouse,kmeans,NMI,metric
ParametricUMAP200,0.69,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,kmeans,NMI,graph
scScope,0.67,scScope,scScope,benchmarker,Baron_mouse,kmeans,NMI,deep
scvis,0.7,scvis,scvis,benchmarker,Baron_mouse,kmeans,NMI,deep
EDGE,0.42,EDGE,EDGE,benchmarker,Baron_mouse,kmeans,NMI,graph
TriMap,0.73,TriMap,TriMap,benchmarker,Baron_mouse,kmeans,NMI,metric
ParametricUMAP50,0.69,Parametric UMAP 50,UMAP,benchmarker,Baron_mouse,kmeans,NMI,graph
DRA,0.02,DRA,DRA,benchmarker,Baron_mouse,kmeans,NMI,deep
SIMLR,0.74,SIMLR,SIMLR,benchmarker,Baron_mouse,kmeans,NMI,graph
SAUCIE,0.31,SAUCIE,SAUCIE,benchmarker,Baron_mouse,kmeans,NMI,deep
PCA,0.6,PCA,PCA,benchmarker,Baron_mouse,kmeans,NMI,linear
PHATE,0.72,PHATE,PHATE,benchmarker,Baron_mouse,kmeans,NMI,graph
ivis,0.43,IVIS,IVIS,benchmarker,Baron_mouse,kmeans,SIL,metric
scGAE,0.56,scGAE,scGAE,benchmarker,Baron_mouse,kmeans,SIL,deep
VASC,0.67,VASC,VASC,benchmarker,Baron_mouse,kmeans,SIL,deep
scGBM,0.42,scGBM,scGBM,benchmarker,Baron_mouse,kmeans,SIL,linear
SPDR,0.65,SPDR,SPDR,benchmarker,Baron_mouse,kmeans,SIL,graph
pCMF,0.53,pCMF,pCMF,benchmarker,Baron_mouse,kmeans,SIL,linear
SQuaD_MDS_hybrid,0.51,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,SIL,metric
SCDRHA,0.68,SCDRHA,SCDRHA,benchmarker,Baron_mouse,kmeans,SIL,deep
TSNE,0.53,t-SNE,t-SNE,benchmarker,Baron_mouse,kmeans,SIL,metric
UMAP,0.6,UMAP,UMAP,benchmarker,Baron_mouse,kmeans,SIL,graph
VAE,0.5,VAE,VAE,benchmarker,Baron_mouse,kmeans,SIL,deep
DREAM,0.34,DREAM,DREAM,benchmarker,Baron_mouse,kmeans,SIL,deep
ZIFA,0.4,ZIFA,ZIFA,benchmarker,Baron_mouse,kmeans,SIL,linear
SSNMDI,0.6,SSNMDI,SSNMDI,benchmarker,Baron_mouse,kmeans,SIL,linear
tGPLVM,0.45,tGPLVM,tGPLVM,benchmarker,Baron_mouse,kmeans,SIL,linear
SQuaD_MDS,0.37,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,SIL,metric
GLMPCA,0.42,GLMPCA,GLMPCA,benchmarker,Baron_mouse,kmeans,SIL,linear
PaCMAP,0.71,PaCMAP,PaCMAP,benchmarker,Baron_mouse,kmeans,SIL,metric
ParametricUMAP200,0.69,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,kmeans,SIL,graph
scScope,0.54,scScope,scScope,benchmarker,Baron_mouse,kmeans,SIL,deep
scvis,0.46,scvis,scvis,benchmarker,Baron_mouse,kmeans,SIL,deep
EDGE,0.4,EDGE,EDGE,benchmarker,Baron_mouse,kmeans,SIL,graph
TriMap,0.63,TriMap,TriMap,benchmarker,Baron_mouse,kmeans,SIL,metric
ParametricUMAP50,0.64,Parametric UMAP 50,UMAP,benchmarker,Baron_mouse,kmeans,SIL,graph
DRA,0.48,DRA,DRA,benchmarker,Baron_mouse,kmeans,SIL,deep
SIMLR,0.59,SIMLR,SIMLR,benchmarker,Baron_mouse,kmeans,SIL,graph
SAUCIE,0.46,SAUCIE,SAUCIE,benchmarker,Baron_mouse,kmeans,SIL,deep
PCA,0.46,PCA,PCA,benchmarker,Baron_mouse,kmeans,SIL,linear
PHATE,0.53,PHATE,PHATE,benchmarker,Baron_mouse,kmeans,SIL,graph
ivis,0.17,IVIS,IVIS,benchmarker,Baron_mouse,louvain,ARI,metric
scGAE,0.12,scGAE,scGAE,benchmarker,Baron_mouse,louvain,ARI,deep
VASC,0.15,VASC,VASC,benchmarker,Baron_mouse,louvain,ARI,deep
scGBM,0.17,scGBM,scGBM,benchmarker,Baron_mouse,louvain,ARI,linear
SPDR,0.19,SPDR,SPDR,benchmarker,Baron_mouse,louvain,ARI,graph
pCMF,0.05,pCMF,pCMF,benchmarker,Baron_mouse,louvain,ARI,linear
SQuaD_MDS_hybrid,0.2,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,louvain,ARI,metric
SCDRHA,0.16,SCDRHA,SCDRHA,benchmarker,Baron_mouse,louvain,ARI,deep
TSNE,0.19,t-SNE,t-SNE,benchmarker,Baron_mouse,louvain,ARI,metric
UMAP,0.17,UMAP,UMAP,benchmarker,Baron_mouse,louvain,ARI,graph
VAE,0.17,VAE,VAE,benchmarker,Baron_mouse,louvain,ARI,deep
DREAM,0.11,DREAM,DREAM,benchmarker,Baron_mouse,louvain,ARI,deep
ZIFA,0.12,ZIFA,ZIFA,benchmarker,Baron_mouse,louvain,ARI,linear
SSNMDI,0.0,SSNMDI,SSNMDI,benchmarker,Baron_mouse,louvain,ARI,linear
tGPLVM,0.05,tGPLVM,tGPLVM,benchmarker,Baron_mouse,louvain,ARI,linear
SQuaD_MDS,0.13,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,louvain,ARI,metric
GLMPCA,0.17,GLMPCA,GLMPCA,benchmarker,Baron_mouse,louvain,ARI,linear
PaCMAP,0.0,PaCMAP,PaCMAP,benchmarker,Baron_mouse,louvain,ARI,metric
ParametricUMAP200,0.17,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,louvain,ARI,graph
scScope,0.2,scScope,scScope,benchmarker,Baron_mouse,louvain,ARI,deep
scvis,0.21,scvis,scvis,benchmarker,Baron_mouse,louvain,ARI,deep
EDGE,0.1,EDGE,EDGE,benchmarker,Baron_mouse,louvain,ARI,graph
TriMap,0.19,TriMap,TriMap,benchmarker,Baron_mouse,louvain,ARI,metric
ParametricUMAP50,0.2,Parametric UMAP 50,UMAP,benchmarker,Baron_mouse,louvain,ARI,graph
DRA,-0.0,DRA,DRA,benchmarker,Baron_mouse,louvain,ARI,deep
SIMLR,0.18,SIMLR,SIMLR,benchmarker,Baron_mouse,louvain,ARI,graph
SAUCIE,0.05,SAUCIE,SAUCIE,benchmarker,Baron_mouse,louvain,ARI,deep
PCA,0.12,PCA,PCA,benchmarker,Baron_mouse,louvain,ARI,linear
PHATE,0.19,PHATE,PHATE,benchmarker,Baron_mouse,louvain,ARI,graph
ivis,0.46,IVIS,IVIS,benchmarker,Baron_mouse,louvain,COMP,metric
scGAE,0.39,scGAE,scGAE,benchmarker,Baron_mouse,louvain,COMP,deep
VASC,0.42,VASC,VASC,benchmarker,Baron_mouse,louvain,COMP,deep
scGBM,0.43,scGBM,scGBM,benchmarker,Baron_mouse,louvain,COMP,linear
SPDR,0.48,SPDR,SPDR,benchmarker,Baron_mouse,louvain,COMP,graph
pCMF,0.2,pCMF,pCMF,benchmarker,Baron_mouse,louvain,COMP,linear
SQuaD_MDS_hybrid,0.46,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,louvain,COMP,metric
SCDRHA,0.44,SCDRHA,SCDRHA,benchmarker,Baron_mouse,louvain,COMP,deep
TSNE,0.48,t-SNE,t-SNE,benchmarker,Baron_mouse,louvain,COMP,metric
UMAP,0.44,UMAP,UMAP,benchmarker,Baron_mouse,louvain,COMP,graph
VAE,0.46,VAE,VAE,benchmarker,Baron_mouse,louvain,COMP,deep
DREAM,0.31,DREAM,DREAM,benchmarker,Baron_mouse,louvain,COMP,deep
ZIFA,0.34,ZIFA,ZIFA,benchmarker,Baron_mouse,louvain,COMP,linear
SSNMDI,0.04,SSNMDI,SSNMDI,benchmarker,Baron_mouse,louvain,COMP,linear
tGPLVM,0.21,tGPLVM,tGPLVM,benchmarker,Baron_mouse,louvain,COMP,linear
SQuaD_MDS,0.4,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,louvain,COMP,metric
GLMPCA,0.43,GLMPCA,GLMPCA,benchmarker,Baron_mouse,louvain,COMP,linear
PaCMAP,0.04,PaCMAP,PaCMAP,benchmarker,Baron_mouse,louvain,COMP,metric
ParametricUMAP200,0.44,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,louvain,COMP,graph
scScope,0.47,scScope,scScope,benchmarker,Baron_mouse,louvain,COMP,deep
scvis,0.47,scvis,scvis,benchmarker,Baron_mouse,louvain,COMP,deep
EDGE,0.3,EDGE,EDGE,benchmarker,Baron_mouse,louvain,COMP,graph
TriMap,0.48,TriMap,TriMap,benchmarker,Baron_mouse,louvain,COMP,metric
ParametricUMAP50,0.47,Parametric UMAP 50,UMAP,benchmarker,Baron_mouse,louvain,COMP,graph
DRA,0.02,DRA,DRA,benchmarker,Baron_mouse,louvain,COMP,deep
SIMLR,0.47,SIMLR,SIMLR,benchmarker,Baron_mouse,louvain,COMP,graph
SAUCIE,0.23,SAUCIE,SAUCIE,benchmarker,Baron_mouse,louvain,COMP,deep
PCA,0.34,PCA,PCA,benchmarker,Baron_mouse,louvain,COMP,linear
PHATE,0.47,PHATE,PHATE,benchmarker,Baron_mouse,louvain,COMP,graph
ivis,0.87,IVIS,IVIS,benchmarker,Baron_mouse,louvain,HOMO,metric
scGAE,0.79,scGAE,scGAE,benchmarker,Baron_mouse,louvain,HOMO,deep
VASC,0.82,VASC,VASC,benchmarker,Baron_mouse,louvain,HOMO,deep
scGBM,0.78,scGBM,scGBM,benchmarker,Baron_mouse,louvain,HOMO,linear
SPDR,0.94,SPDR,SPDR,benchmarker,Baron_mouse,louvain,HOMO,graph
pCMF,0.42,pCMF,pCMF,benchmarker,Baron_mouse,louvain,HOMO,linear
