dimension,median,q25,q75,n,metric,panel,method,median_ari,median_ari_2d,median_ari_50d,delta_50d_minus_2d,dataset_or_summary,pca50_minus_direct_ari,hvg_requested,source,work_package,dataset_id,seed,runtime_seconds,records,methods,median_sensitivity,family
2,0.01888014792772615,0.0002679981311362,0.07437948661339065,42.0,ARI,a,,,,,,,,,,,,,,,,,
5,0.0316193950564531,0.00018092774055140665,0.3949905683860834,42.0,ARI,a,,,,,,,,,,,,,,,,,
10,0.0569322290202622,0.0005698520964991999,0.7355931041228646,42.0,ARI,a,,,,,,,,,,,,,,,,,
20,0.09563245276317145,0.00017919870280243703,0.8110992514832337,42.0,ARI,a,,,,,,,,,,,,,,,,,
50,0.20604122363054264,0.0002078293720593583,0.8967541992338468,42.0,ARI,a,,,,,,,,,,,,,,,,,
2,0.5626371237315597,0.5221309456809073,0.7653838684232968,42.0,Trustworthiness,a,,,,,,,,,,,,,,,,,
5,0.6502823356357124,0.5758127526221539,0.801602331063384,42.0,Trustworthiness,a,,,,,,,,,,,,,,,,,
10,0.6870131065063528,0.6296158800204656,0.8202027588615332,42.0,Trustworthiness,a,,,,,,,,,,,,,,,,,
20,0.7056746653022938,0.6523824166453484,0.8296405447878471,42.0,Trustworthiness,a,,,,,,,,,,,,,,,,,
50,0.7229053850089537,0.6760778992922316,0.8454259909202025,42.0,Trustworthiness,a,,,,,,,,,,,,,,,,,
2,,,,,,b,PCA,0.7584362057003406,,,,,,,,,,,,,,,
2,,,,,,b,scGBM,0.6403619067897084,,,,,,,,,,,,,,,
2,,,,,,b,scVI,0.04244330048617935,,,,,,,,,,,,,,,
2,,,,,,b,GLMPCA,0.0070230241168056,,,,,,,,,,,,,,,
2,,,,,,b,SAUCIE,0.0026727642409573498,,,,,,,,,,,,,,,
2,,,,,,b,pCMF,-0.0001359798539076,,,,,,,,,,,,,,,
5,,,,,,b,PCA,1.0,,,,,,,,,,,,,,,
5,,,,,,b,scGBM,0.9478059044297746,,,,,,,,,,,,,,,
5,,,,,,b,scVI,0.25766404133870424,,,,,,,,,,,,,,,
5,,,,,,b,GLMPCA,0.01124620065740955,,,,,,,,,,,,,,,
5,,,,,,b,SAUCIE,0.00360508910284355,,,,,,,,,,,,,,,
5,,,,,,b,pCMF,-0.0003248664604163,,,,,,,,,,,,,,,
10,,,,,,b,PCA,1.0,,,,,,,,,,,,,,,
10,,,,,,b,scGBM,0.9907497950232238,,,,,,,,,,,,,,,
10,,,,,,b,scVI,0.6791359999067048,,,,,,,,,,,,,,,
10,,,,,,b,GLMPCA,0.01977590815176205,,,,,,,,,,,,,,,
10,,,,,,b,SAUCIE,0.0042122920164536,,,,,,,,,,,,,,,
10,,,,,,b,pCMF,0.0003231562995225,,,,,,,,,,,,,,,
20,,,,,,b,PCA,1.0,,,,,,,,,,,,,,,
20,,,,,,b,scGBM,0.979772642957419,,,,,,,,,,,,,,,
20,,,,,,b,scVI,0.750149419214142,,,,,,,,,,,,,,,
20,,,,,,b,GLMPCA,0.0584855898928085,,,,,,,,,,,,,,,
20,,,,,,b,SAUCIE,0.0036456588200717,,,,,,,,,,,,,,,
20,,,,,,b,pCMF,-0.00015267086409165,,,,,,,,,,,,,,,
50,,,,,,b,PCA,1.0,,,,,,,,,,,,,,,
50,,,,,,b,scGBM,0.4576393446316701,,,,,,,,,,,,,,,
50,,,,,,b,scVI,0.8774377236440094,,,,,,,,,,,,,,,
50,,,,,,b,GLMPCA,0.20297696060107073,,,,,,,,,,,,,,,
50,,,,,,b,SAUCIE,0.006283599695908901,,,,,,,,,,,,,,,
50,,,,,,b,pCMF,-0.00024066095964125,,,,,,,,,,,,,,,
,,,,,,c,PCA,,0.7584362057003406,1.0,0.24156379429965935,,,,,,,,,,,,
,,,,,,c,scGBM,,0.6403619067897084,0.4576393446316701,-0.18272256215803828,,,,,,,,,,,,
,,,,,,c,scVI,,0.04244330048617935,0.8774377236440094,0.83499442315783,,,,,,,,,,,,
,,,,,,c,GLMPCA,,0.0070230241168056,0.20297696060107073,0.19595393648426512,,,,,,,,,,,,
,,,,,,c,SAUCIE,,0.0026727642409573498,0.006283599695908901,0.003610835454951551,,,,,,,,,,,,
,,,,,,c,pCMF,,-0.0001359798539076,-0.00024066095964125,-0.00010468110573365,,,,,,,,,,,,
,,,,,,d,UMAP,,,,,dropout 0,0.5856837818741087,,,,,,,,,,
,,,,,,d,t-SNE,,,,,dropout 0,0.5285417551281215,,,,,,,,,,
,,,,,,d,PHATE,,,,,dropout 0,0.02171045970093044,,,,,,,,,,
,,,,,,d,PaCMAP,,,,,dropout 0,0.0054058201179938425,,,,,,,,,,
,,,,,,d,UMAP,,,,,15 types,0.9528351981024558,,,,,,,,,,
,,,,,,d,t-SNE,,,,,15 types,0.507034883180328,,,,,,,,,,
,,,,,,d,PHATE,,,,,15 types,0.004652929277455087,,,,,,,,,,
,,,,,,d,PaCMAP,,,,,15 types,0.0006568872859568087,,,,,,,,,,
,,,,,,d,UMAP,,,,,batch 1,0.2882619059933697,,,,,,,,,,
,,,,,,d,t-SNE,,,,,batch 1,0.1982874182908082,,,,,,,,,,
,,,,,,d,PHATE,,,,,batch 1,0.1107705160689019,,,,,,,,,,
,,,,,,d,PaCMAP,,,,,batch 1,0.0928662868409735,,,,,,,,,,
,,,,,,d,UMAP,,,,,50k genes,0.28708851824511494,,,,,,,,,,
,,,,,,d,t-SNE,,,,,50k genes,0.3075968271154169,,,,,,,,,,
,,,,,,d,PHATE,,,,,50k genes,0.003458572347272537,,,,,,,,,,
,,,,,,d,PaCMAP,,,,,50k genes,-0.002274367725662807,,,,,,,,,,
,,,,,,d,UMAP,,,,,11 types,0.8856729821866212,,,,,,,,,,
,,,,,,d,t-SNE,,,,,11 types,0.1975126718267638,,,,,,,,,,
,,,,,,d,PHATE,,,,,11 types,0.04969964112642766,,,,,,,,,,
,,,,,,d,PaCMAP,,,,,11 types,-0.002237696645604026,,,,,,,,,,
,,,,,,d,UMAP,,,,,7 types,0.06757686783354644,,,,,,,,,,
,,,,,,d,t-SNE,,,,,7 types,0.06922340312623165,,,,,,,,,,
,,,,,,d,PHATE,,,,,7 types,0.0033449455913994175,,,,,,,,,,
,,,,,,d,PaCMAP,,,,,7 types,-0.0012504261678866202,,,,,,,,,,
,,,,,,d,UMAP,,,,,5k genes,0.6949983697388857,,,,,,,,,,
,,,,,,d,t-SNE,,,,,5k genes,0.029308748121463224,,,,,,,,,,
,,,,,,d,PHATE,,,,,5k genes,0.000682223014805361,,,,,,,,,,
,,,,,,d,PaCMAP,,,,,5k genes,-0.007703951951964827,,,,,,,,,,
,,,,,,d,UMAP,,,,,default,0.019748705290681623,,,,,,,,,,
,,,,,,d,t-SNE,,,,,default,0.015286690736060815,,,,,,,,,,
