method_id,perturbation_axis,published_axis_score,recomputed_axis_score,abs_diff
PCA,cell_number,0.6038211197703784,0.6395739348370927,0.03575281506671424
GLMPCA,cell_number,0.5604109288696338,0.5816175438596491,0.021206614990015304
pCMF,cell_number,0.1411782380973407,0.2037894736842105,0.06261123558686979
ZIFA,cell_number,0.5968468533563878,0.6324962406015038,0.035649387245116015
scGBM,cell_number,0.5769744201453216,0.6054441102756892,0.028469690130367598
SSNMDI,cell_number,0.1525368911175403,0.2276290726817042,0.07509218156416392
tGPLVM,cell_number,0.530008274882307,0.5827629072681705,0.05275463238586353
VAE,cell_number,0.5558215913720532,0.5911709273182958,0.035349335946242566
scvis,cell_number,0.1850854847117535,0.2783047619047619,0.09321927719300838
SAUCIE,cell_number,0.1439438252657219,0.2397458646616541,0.09580203939593221
scScope,cell_number,0.3961535432226534,0.4472080200501253,0.051054476827471884
SCDRHA,cell_number,0.4028404218904555,0.4290263157894736,0.026185893899018098
scGAE,cell_number,0.1974263772119363,0.2566761904761904,0.0592498132642541
DREAM,cell_number,0.3664763951258211,0.4118090225563909,0.045332627430569816
DRA,cell_number,0.1535383598699765,0.2340375939849624,0.08049923411498591
UMAP,cell_number,0.5956482605983382,0.6329493734335839,0.03730111283524573
SIMLR,cell_number,0.6367869190209426,0.6451447368421053,0.008357817821162628
PHATE,cell_number,0.6312243922472263,0.6674972431077695,0.036272850860543215
EDGE,cell_number,0.5464203446354687,0.5840651629072681,0.03764481827179933
SPDR,cell_number,0.6460355725123851,0.6540892230576442,0.008053650545259083
IVIS,cell_number,0.4502708049824035,0.5070756892230577,0.05680488424065416
PaCMAP,cell_number,0.1795242350833878,0.2654380952380952,0.0859138601547074
t-SNE,cell_number,0.6450669752590636,0.662501253132832,0.01743427787376839
TriMap,cell_number,0.6716729903583395,0.6802501253132832,0.008577134954943721
SQuaD-MDS,cell_number,0.4490900524738895,0.4720556390977443,0.022965586623854783
PCA,gene_number,0.7001763037498774,0.6424736842105264,0.05770261953935096
GLMPCA,gene_number,0.6845245728826419,0.6152210526315789,0.06930352025106301
pCMF,gene_number,0.0979905853096566,0.219,0.1210094146903434
ZIFA,gene_number,0.6908678322810575,0.6339473684210526,0.05692046386000493
scGBM,gene_number,0.6668585133548699,0.6105789473684211,0.05627956598644879
SSNMDI,gene_number,0.1157900611119457,0.2379157894736842,0.12212572836173849
tGPLVM,gene_number,0.6634920964625806,0.6178000000000001,0.045692096462580434
VAE,gene_number,0.7807259917859365,0.6625578947368421,0.11816809704909437
scvis,gene_number,0.1444898949919613,0.2750947368421051,0.13060484185014382
SAUCIE,gene_number,0.1120970586575799,0.2361684210526315,0.1240713623950516
scScope,gene_number,0.4071308257928955,0.4255263157894736,0.018395489996578085
SCDRHA,gene_number,0.6064762149337747,0.5418736842105263,0.0646025307232484
scGAE,gene_number,0.3510799672265158,0.3621157894736843,0.01103582224716848
DREAM,gene_number,0.3159615557998821,0.3683999999999999,0.052438444200117784
DRA,gene_number,0.1268352225840869,0.2474210526315789,0.12058583004749202
UMAP,gene_number,0.7935960101449436,0.6827789473684212,0.11081706277652248
SIMLR,gene_number,0.8370057719138172,0.6897157894736842,0.14728998244013303
PHATE,gene_number,0.7841433984560197,0.7039368421052632,0.08020655635075646
EDGE,gene_number,0.7068173817801396,0.6272315789473684,0.07958580283277128
SPDR,gene_number,0.8189764504787866,0.6789157894736843,0.1400606610051024
IVIS,gene_number,0.5644777049135854,0.5573263157894738,0.007151389124111618
PaCMAP,gene_number,0.1267127735312762,0.2527578947368421,0.12604512120556594
t-SNE,gene_number,0.7953373267485098,0.6645052631578947,0.13083206359061506
TriMap,gene_number,0.8512334683184696,0.7201473684210526,0.13108609989741693
SQuaD-MDS,gene_number,0.4692071435395464,0.4758421052631579,0.006634961723611499
PCA,celltype_number,0.5218423417834868,0.4451052631578947,0.07673707862559204
GLMPCA,celltype_number,0.5026220326492223,0.4315473684210526,0.07107466422816971
pCMF,celltype_number,0.1593842630473728,0.1765368421052631,0.017152579057890305
ZIFA,celltype_number,0.4636743020996,0.4051684210526316,0.058505881046968355
scGBM,celltype_number,0.4844445283960202,0.4201578947368422,0.06428663365917803
SSNMDI,celltype_number,0.1804233749632076,0.2075157894736841,0.027092414510476504
tGPLVM,celltype_number,0.1870430349676848,0.2133263157894736,0.026283280821788796
VAE,celltype_number,0.7965530058421662,0.6010736842105263,0.19547932163163984
scvis,celltype_number,0.183199617653187,0.2390134502923976,0.05581383263921058
SAUCIE,celltype_number,0.1311059636806396,0.1832210526315789,0.0521150889509393
scScope,celltype_number,0.1863982237123593,0.2125684210526315,0.026170197340272178
SCDRHA,celltype_number,0.5249158704032002,0.4208631578947369,0.10405271250846332
scGAE,celltype_number,0.1539534034706363,0.1900105263157894,0.03605712284515311
DREAM,celltype_number,0.1828705394258632,0.2029684210526316,0.0200978816267684
DRA,celltype_number,0.1897027789285673,0.2108210526315789,0.021118273703011614
UMAP,celltype_number,0.6764701106838252,0.5146736842105264,0.16179642647329884
SIMLR,celltype_number,0.791543270573378,0.6083157894736841,0.1832274810996939
PHATE,celltype_number,0.7789163288038138,0.6297157894736843,0.14920053933012944
EDGE,celltype_number,0.4338243337702144,0.3651263157894737,0.06869801798074071
SPDR,celltype_number,0.8453809551740825,0.6329894736842105,0.21239148148987197
IVIS,celltype_number,0.2251230066970115,0.2398631578947368,0.014740151197725315
PaCMAP,celltype_number,0.1975444165601582,0.2305052631578947,0.032960846597736515
t-SNE,celltype_number,0.8419310280858696,0.6341894736842105,0.2077415544016591
TriMap,celltype_number,0.8600449010109694,0.6603894736842106,0.19965542732675878
SQuaD-MDS,celltype_number,0.4278702038080252,0.3924315789473684,0.0354386248606568
PCA,batch_number,0.6230615936038728,0.6194947368421053,0.0035668567617674896
GLMPCA,batch_number,0.5822375728962703,0.5859263157894736,0.0036887428932033117
pCMF,batch_number,0.0841578713968135,0.2003473684210526,0.11618949702423911
ZIFA,batch_number,0.6164117674080922,0.6165684210526315,0.0001566536445393174
scGBM,batch_number,0.5977214925743723,0.606536842105263,0.008815349530890693
SSNMDI,batch_number,0.1238912957608975,0.228778947368421,0.1048876516075235
tGPLVM,batch_number,0.6324226350305697,0.637263157894737,0.0048405228641672515
VAE,batch_number,0.6998787746973938,0.5544842105263157,0.1453945641710781
scvis,batch_number,0.1518117335397595,0.2832842105263157,0.1314724769865562
SAUCIE,batch_number,0.0967731072780321,0.2348315789473684,0.1380584716693363
scScope,batch_number,0.1211816426341798,0.231778947368421,0.1105973047342412
SCDRHA,batch_number,0.5684412422141812,0.5250842105263158,0.04335703168786542
scGAE,batch_number,0.1861098846400222,0.2854631578947368,0.0993532732547146
DREAM,batch_number,0.2346611056350288,0.3204210526315789,0.0857599469965501
DRA,batch_number,0.1228004943800916,0.2384947368421052,0.11569424246201361
UMAP,batch_number,0.7114589363686984,0.6442947368421053,0.06716419952659314
SIMLR,batch_number,0.734441897406966,0.6684842105263158,0.06595768688065018
PHATE,batch_number,0.7509444010430857,0.6852421052631579,0.06570229577992781
EDGE,batch_number,0.6047432946958767,0.5870315789473685,0.017711715748508272
SPDR,batch_number,0.828186730149157,0.6738947368421052,0.1542919933070518
IVIS,batch_number,0.4147993450872369,0.4669263157894737,0.05212697070223676
PaCMAP,batch_number,0.1612423976576456,0.2570421052631578,0.09579970760551221
t-SNE,batch_number,0.8127512213431818,0.6377473684210526,0.17500385292212917
TriMap,batch_number,0.831850874082982,0.6863578947368422,0.1454929793461398
SQuaD-MDS,batch_number,0.4389382649974664,0.4757473684210526,0.036809103423586176
PCA,batch_strength,0.6483941740179835,0.5787052631578948,0.06968891086008866
GLMPCA,batch_strength,0.4371419213369575,0.4659684210526316,0.02882649971567408
pCMF,batch_strength,0.2964166369268523,0.3787263157894737,0.08230967886262142
ZIFA,batch_strength,0.6223631470037259,0.5387263157894737,0.08363683121425214
scGBM,batch_strength,0.629440459246491,0.5648736842105263,0.06456677503596464
SSNMDI,batch_strength,0.1985116978210893,0.2836421052631578,0.08513040744206851
tGPLVM,batch_strength,0.4485986140413407,0.4699894736842105,0.021390859642869797
VAE,batch_strength,0.7382082870927953,0.5732,0.16500828709279525
scvis,batch_strength,0.518506847587674,0.4983894736842106,0.020117373903463354
SAUCIE,batch_strength,0.2534541835016986,0.3354736842105262,0.08201950070882758
scScope,batch_strength,0.3312594971256926,0.3926315789473684,0.061372081821675806
SCDRHA,batch_strength,0.5808443621510366,0.5257263157894736,0.05511804636156303
scGAE,batch_strength,0.2912802778722371,0.3559894736842105,0.06470919581197343
DREAM,batch_strength,0.3518784368393156,0.4146526315789474,0.0627741947396318
DRA,batch_strength,0.0821565199607506,0.2309578947368421,0.1488013747760915
UMAP,batch_strength,0.7606701177924915,0.6126315789473684,0.14803853884512308
SIMLR,batch_strength,0.8334878435537535,0.6401263157894738,0.19336152776427973
