method_id,cell_100,cell_500,cell_1k,cell_5k,cell_1w,cell_2w,cell_3w,cell_4w,cell_5w,gene_5k,gene_2w,gene_3w,gene_4w,gene_5w,celltype_7,celltype_9,celltype_11,celltype_13,celltype_15,batch_2,batch_4,batch_6,batch_8,batch_10,batch_0.2,batch_0.4,batch_0.6,batch_0.8,batch_1.0,dropout_-1,dropout_0,dropout_1,dropout_2,dropout_3,de_prob_0.05,de_prob_0.15,de_prob_0.2,de_prob_0.25,de_prob_0.3,de_0.2,de_0.4,de_0.6,de_0.8,de_1.0,out_0.1,out_0.2,out_0.3,out_0.4,out_0.5
PCA,0.5878947368421052,0.6597894736842104,0.6176842105263157,0.6397368421052633,0.6540526315789473,0.6245263157894737,0.6933333333333332,,,0.6158947368421054,0.6607368421052632,0.6675263157894737,0.5841052631578949,0.6841052631578949,0.5519473684210525,0.4440526315789473,0.4443157894736843,0.4135789473684211,0.3716315789473684,0.5305263157894737,0.5708947368421055,0.6558947368421052,0.6591052631578947,0.6810526315789472,0.5922105263157896,0.6032631578947368,0.5767894736842105,0.5633157894736843,0.5579473684210526,0.6662105263157894,0.6423684210526317,0.6243157894736842,0.5805263157894736,0.3866842105263157,0.5666315789473685,0.6422105263157895,0.7173684210526314,0.7341578947368422,0.7405263157894735,0.5122631578947368,0.7426842105263158,0.7822105263157896,0.7926315789473684,0.8103157894736844,0.6618421052631579,0.6749999999999998,0.6719473684210526,0.6777368421052631,0.692421052631579
GLMPCA,0.505263157894737,0.609157894736842,0.5874210526315788,0.6193684210526316,0.4969473684210527,0.5926315789473684,0.6605333333333333,,,0.632842105263158,0.5972631578947368,0.6592631578947368,0.6459999999999999,0.5407368421052632,0.507842105263158,0.4721052631578947,0.4197894736842105,0.3889999999999999,0.369,0.5128947368421052,0.5598947368421052,0.6255789473684211,0.5979999999999999,0.6332631578947368,0.5771578947368421,0.4003157894736842,0.4523684210526316,0.4444736842105263,0.4555263157894737,0.6313684210526316,0.6120000000000001,0.6444736842105263,0.5744210526315789,0.4741578947368421,0.4977368421052631,0.6935263157894735,0.6940526315789475,0.7379473684210526,0.7113684210526315,0.5054736842105264,0.7237894736842104,0.7355263157894737,0.7530526315789473,0.8120526315789476,0.6587368421052631,0.5806315789473684,0.6541052631578949,0.6888421052631578,0.6799473684210527
pCMF,0.2072105263157894,0.1918421052631579,0.2557368421052631,0.2007894736842105,0.2067368421052631,0.2022105263157895,0.1619999999999999,,,0.2137368421052631,0.2044736842105263,0.2014210526315789,0.2176842105263157,0.2576842105263158,0.2063157894736841,0.1558421052631578,0.1805263157894736,0.1647894736842105,0.1752105263157894,0.1941052631578947,0.2392105263157895,0.192157894736842,0.1965263157894736,0.1797368421052632,0.2501578947368421,0.3965263157894736,0.424157894736842,0.4172105263157895,0.405578947368421,0.2344210526315789,0.2197894736842104,0.2336842105263157,0.2076315789473684,0.3186315789473684,0.1989473684210526,0.2177368421052631,0.2112631578947368,0.213,0.1944736842105263,0.2139473684210527,0.2206315789473683,0.1973684210526315,0.5623157894736842,0.6391052631578947,0.1839473684210526,0.2303684210526315,0.2166315789473684,0.2172631578947368,0.2090526315789473
ZIFA,0.586,0.6587894736842105,0.608578947368421,0.622,0.6512631578947369,0.6217894736842107,0.6790526315789475,,,0.5980000000000001,0.6611052631578949,0.6655263157894736,0.5748421052631578,0.6702631578947369,0.4574736842105263,0.423421052631579,0.4103157894736842,0.3989473684210526,0.3356842105263158,0.5287368421052631,0.587578947368421,0.6507368421052632,0.6568421052631578,0.6589473684210527,0.5591052631578948,0.5567368421052631,0.517263157894737,0.5158421052631579,0.5446842105263159,0.6727894736842106,0.6756315789473684,0.6351578947368421,0.6157894736842104,0.585578947368421,0.5646842105263158,0.6513157894736842,0.711736842105263,0.7254736842105262,0.7440000000000001,0.5151052631578947,0.7296842105263157,0.7831578947368422,0.8005263157894736,0.807,0.6625789473684212,0.6652631578947368,0.6708421052631579,0.6860000000000002,0.6738421052631579
scGBM,0.4954736842105264,0.6042105263157895,0.6139473684210527,0.6043157894736841,0.6464736842105263,0.623421052631579,0.6502666666666667,,,0.6021052631578947,0.6101052631578948,0.6505263157894735,0.5604736842105263,0.6296842105263158,0.5363157894736843,0.4460526315789473,0.4016315789473684,0.3552105263157894,0.361578947368421,0.516578947368421,0.5864736842105263,0.6393157894736841,0.6267894736842106,0.6635263157894735,0.5795263157894737,0.5828947368421054,0.5558947368421054,0.5559999999999999,0.5500526315789473,0.6436842105263157,0.6331052631578947,0.6200526315789473,0.5818947368421054,0.4868947368421052,0.5007368421052633,0.6556842105263158,0.6949473684210526,0.7212631578947368,0.6891578947368423,0.5087368421052632,0.6931578947368421,0.7372105263157894,0.7746842105263158,0.8117894736842106,0.639,0.6104736842105264,0.650157894736842,0.6612631578947369,0.6750526315789473
SSNMDI,0.2442105263157895,0.2602105263157894,0.2454736842105263,0.2448421052631579,0.2258421052631578,0.1981578947368421,0.1746666666666666,,,0.2174210526315789,0.2345263157894736,0.2381578947368421,0.250578947368421,0.2488947368421052,0.2500526315789473,0.2039473684210526,0.1997368421052631,0.1912105263157894,0.1926315789473684,0.2296842105263158,0.2434736842105263,0.2163157894736841,0.2347894736842105,0.2196315789473683,0.2412631578947368,0.2642631578947368,0.3135263157894736,0.3143157894736841,0.2848421052631579,0.2182105263157894,0.2153684210526315,0.257578947368421,0.2253684210526315,0.2248421052631579,0.2485789473684211,0.2140526315789474,0.2174736842105263,0.2173157894736842,0.2281052631578947,0.2335263157894737,0.2083157894736842,0.2193684210526315,0.228578947368421,0.2156315789473684,0.2273684210526315,0.2151052631578947,0.2517894736842105,0.2238421052631579,0.2213684210526316
tGPLVM,0.2596315789473684,0.6198421052631579,0.5523684210526315,0.6438947368421054,0.6926842105263157,0.6440526315789475,0.6668666666666667,,,0.2549473684210526,0.7022105263157895,0.7347894736842107,0.7102631578947369,0.6867894736842105,0.2228421052631578,0.2116315789473683,0.2406842105263158,0.2013157894736842,0.1901578947368421,0.5457894736842106,0.6722105263157896,0.6388947368421054,0.6825789473684211,0.646842105263158,0.5152105263157895,0.4923684210526316,0.4500526315789472,0.4459999999999999,0.4463157894736842,0.6636842105263158,0.5629473684210528,0.2094210526315789,0.2503157894736842,0.2458947368421052,0.2236315789473684,0.711578947368421,0.755157894736842,0.7662105263157895,0.7222631578947368,0.2556842105263158,0.7107894736842105,0.754157894736842,0.7722105263157895,0.772578947368421,0.678,0.6967368421052631,0.7068947368421052,0.5733157894736842,0.7138947368421051
VAE,0.278,0.6636842105263159,0.6567368421052631,0.6140526315789474,0.6568947368421053,0.6618947368421051,0.6069333333333334,,,0.665842105263158,0.6524736842105264,0.6905789473684212,0.6516315789473683,0.6522631578947368,0.6343684210526316,0.6308421052631579,0.6097894736842103,0.5725789473684211,0.5577894736842106,0.6282105263157893,0.5328947368421054,0.510842105263158,0.5300526315789472,0.5704210526315788,0.595,0.5849473684210524,0.5767894736842106,0.5459473684210527,0.5633157894736843,0.619736842105263,0.6712105263157894,0.5681052631578948,0.5641052631578948,0.4132631578947368,0.5619473684210526,0.6952105263157895,0.672421052631579,0.7354736842105264,0.7057368421052632,0.5187894736842107,0.7441052631578948,0.7921578947368421,0.742421052631579,0.7857894736842105,0.6516315789473682,0.6470526315789474,0.6272105263157894,0.6699999999999999,0.714
scvis,0.3647894736842105,0.2894210526315788,0.2123157894736841,0.2682631578947369,0.2724210526315789,0.2277894736842105,0.3131333333333333,,,0.2648947368421052,0.301578947368421,0.2435789473684209,0.270578947368421,0.2948421052631578,0.2173684210526315,0.2046315789473683,0.2493684210526316,0.2734210526315789,0.2502777777777777,0.256315789473684,0.2772631578947369,0.276578947368421,0.2797368421052631,0.3265263157894737,0.3109473684210526,0.5793684210526316,0.4981052631578946,0.5127368421052632,0.5907894736842106,0.2738947368421052,0.3063157894736842,0.2485263157894736,0.2753157894736842,0.3031052631578947,0.2908947368421052,0.2483684210526315,0.1949473684210526,0.2901052631578947,0.2353157894736842,0.273157894736842,0.2274210526315789,0.3118947368421052,0.7503684210526317,0.7741052631578947,0.2707894736842105,0.189578947368421,0.2100526315789473,0.227578947368421,0.2290526315789474
VASC,0.3139999999999999,0.2310666666666666,0.2743333333333334,0.264,0.2132666666666666,0.2282666666666667,0.2446,,,0.2648,0.2453333333333333,0.2374666666666667,0.2542,0.2988666666666667,0.2081333333333333,0.2498666666666666,0.1912,0.1962,0.1980666666666666,0.2704666666666667,0.2902666666666667,0.262,0.2309333333333333,0.2648666666666667,0.2418,0.3556666666666667,0.4126000000000001,0.4095333333333333,0.4127333333333333,0.2512666666666667,0.2510666666666666,0.2387999999999999,0.2411333333333333,0.2245333333333333,0.2418,0.2126,0.2370666666666667,0.216,0.2455333333333333,0.2872666666666666,0.2650666666666667,0.2519333333333333,0.2278666666666667,0.2463333333333333,0.2478666666666666,0.2658666666666666,0.2254666666666666,0.2767333333333333,0.2418666666666666
