method_id,family_short,median,q25,q75,n
PCA,linear,0.6422105263157895,0.5738421052631579,0.6763684210526315,47
GLMPCA,linear,0.5979999999999999,0.5053684210526317,0.6589999999999999,47
pCMF,linear,0.2112631578947368,0.19694736842105254,0.2340526315789473,47
ZIFA,linear,0.6507368421052632,0.5618947368421052,0.6718157894736843,47
scGBM,linear,0.6139473684210527,0.5559473684210527,0.6503964912280701,47
SSNMDI,linear,0.2273684210526315,0.21681578947368416,0.24515789473684207,47
tGPLVM,linear,0.6438947368421054,0.35281578947368414,0.7045526315789474,47
VAE,deep,0.6308421052631579,0.5692631578947368,0.667921052631579,47
scvis,deep,0.2734210526315789,0.24597368421052618,0.30471052631578943,47
VASC,deep,0.2463333333333333,0.23099999999999993,0.26546666666666663,47
SAUCIE,deep,0.2391578947368421,0.21718421052631576,0.25763157894736843,47
scScope,deep,0.2762105263157894,0.23713157894736836,0.4436842105263157,47
SCDRHA,deep,0.5151842105263158,0.4209473684210526,0.5694736842105261,46
scGAE,deep,0.2853157894736842,0.24913157894736843,0.35184210526315784,47
DREAM,deep,0.3318421052631579,0.26876315789473676,0.43210526315789477,47
DRA,deep,0.2397368421052631,0.22202631578947368,0.25513157894736843,47
UMAP,graph,0.669,0.6091578947368421,0.7027894736842105,47
SIMLR,graph,0.6733684210526316,0.6271973684210526,0.6979342105263158,44
PHATE,graph,0.694578947368421,0.6535526315789475,0.7150263157894737,47
EDGE,graph,0.5982631578947368,0.5233157894736842,0.6772280701754385,47
SPDR,graph,0.6853157894736842,0.6303421052631579,0.7208947368421053,47
IVIS,metric,0.5186842105263159,0.32355263157894737,0.6453947368421054,47
PaCMAP,metric,0.2646842105263158,0.2509473684210526,0.2748947368421052,47
t-SNE,metric,0.6638947368421053,0.6301842105263159,0.688657894736842,47
TriMap,metric,0.7092105263157895,0.6531052631578947,0.7282631578947368,47
SQuaD-MDS,metric,0.4742631578947369,0.4473157894736842,0.5002368421052632,47
