method_id,family_short,dataset_id,perturbation_axis,score
DRA,deep,cell_100,cell_number,0.2667894736842104
DREAM,deep,cell_100,cell_number,0.389
EDGE,graph,cell_100,cell_number,0.3540526315789473
GLMPCA,linear,cell_100,cell_number,0.505263157894737
PCA,linear,cell_100,cell_number,0.5878947368421052
PHATE,graph,cell_100,cell_number,0.5088947368421053
PaCMAP,metric,cell_100,cell_number,0.2928947368421053
SAUCIE,deep,cell_100,cell_number,0.2947894736842105
SCDRHA,deep,cell_100,cell_number,0.3361052631578947
SIMLR,graph,cell_100,cell_number,0.5941052631578948
SPDR,graph,cell_100,cell_number,0.4428421052631578
SQuaD-MDS,metric,cell_100,cell_number,0.4798421052631578
SSNMDI,linear,cell_100,cell_number,0.2442105263157895
t-SNE,metric,cell_100,cell_number,0.5315263157894738
TriMap,metric,cell_100,cell_number,0.5228947368421054
UMAP,graph,cell_100,cell_number,0.3946315789473685
VAE,deep,cell_100,cell_number,0.278
ZIFA,linear,cell_100,cell_number,0.586
IVIS,metric,cell_100,cell_number,0.3135789473684211
pCMF,linear,cell_100,cell_number,0.2072105263157894
scGAE,deep,cell_100,cell_number,0.2862105263157894
scGBM,linear,cell_100,cell_number,0.4954736842105264
scScope,deep,cell_100,cell_number,0.3215263157894736
scvis,deep,cell_100,cell_number,0.3647894736842105
tGPLVM,linear,cell_100,cell_number,0.2596315789473684
DRA,deep,cell_500,cell_number,0.2408947368421052
DREAM,deep,cell_500,cell_number,0.2999473684210527
EDGE,graph,cell_500,cell_number,0.499421052631579
GLMPCA,linear,cell_500,cell_number,0.609157894736842
PCA,linear,cell_500,cell_number,0.6597894736842104
PHATE,graph,cell_500,cell_number,0.7003157894736841
PaCMAP,metric,cell_500,cell_number,0.2566315789473684
SAUCIE,deep,cell_500,cell_number,0.2594210526315789
SCDRHA,deep,cell_500,cell_number,0.5377894736842105
SIMLR,graph,cell_500,cell_number,0.639736842105263
SPDR,graph,cell_500,cell_number,0.7303157894736841
SQuaD-MDS,metric,cell_500,cell_number,0.4818421052631579
SSNMDI,linear,cell_500,cell_number,0.2602105263157894
t-SNE,metric,cell_500,cell_number,0.7186842105263157
TriMap,metric,cell_500,cell_number,0.7268947368421054
UMAP,graph,cell_500,cell_number,0.6534736842105264
VAE,deep,cell_500,cell_number,0.6636842105263159
ZIFA,linear,cell_500,cell_number,0.6587894736842105
IVIS,metric,cell_500,cell_number,0.289578947368421
pCMF,linear,cell_500,cell_number,0.1918421052631579
scGAE,deep,cell_500,cell_number,0.2713157894736842
scGBM,linear,cell_500,cell_number,0.6042105263157895
scScope,deep,cell_500,cell_number,0.2209473684210526
scvis,deep,cell_500,cell_number,0.2894210526315788
tGPLVM,linear,cell_500,cell_number,0.6198421052631579
DRA,deep,cell_1k,cell_number,0.2121578947368421
DREAM,deep,cell_1k,cell_number,0.3123684210526316
EDGE,graph,cell_1k,cell_number,0.5666315789473685
GLMPCA,linear,cell_1k,cell_number,0.5874210526315788
PCA,linear,cell_1k,cell_number,0.6176842105263157
PHATE,graph,cell_1k,cell_number,0.6823684210526316
PaCMAP,metric,cell_1k,cell_number,0.2918947368421053
SAUCIE,deep,cell_1k,cell_number,0.2333684210526315
SCDRHA,deep,cell_1k,cell_number,0.544
SIMLR,graph,cell_1k,cell_number,0.693578947368421
SPDR,graph,cell_1k,cell_number,0.7038421052631579
SQuaD-MDS,metric,cell_1k,cell_number,0.4639999999999999
SSNMDI,linear,cell_1k,cell_number,0.2454736842105263
t-SNE,metric,cell_1k,cell_number,0.7002631578947368
TriMap,metric,cell_1k,cell_number,0.7086315789473684
UMAP,graph,cell_1k,cell_number,0.6234210526315789
VAE,deep,cell_1k,cell_number,0.6567368421052631
ZIFA,linear,cell_1k,cell_number,0.608578947368421
IVIS,metric,cell_1k,cell_number,0.3027368421052632
pCMF,linear,cell_1k,cell_number,0.2557368421052631
scGAE,deep,cell_1k,cell_number,0.2642105263157894
scGBM,linear,cell_1k,cell_number,0.6139473684210527
scScope,deep,cell_1k,cell_number,0.2390526315789473
scvis,deep,cell_1k,cell_number,0.2123157894736841
tGPLVM,linear,cell_1k,cell_number,0.5523684210526315
DRA,deep,cell_5k,cell_number,0.2081578947368421
DREAM,deep,cell_5k,cell_number,0.3053157894736841
EDGE,graph,cell_5k,cell_number,0.6520526315789472
GLMPCA,linear,cell_5k,cell_number,0.6193684210526316
PCA,linear,cell_5k,cell_number,0.6397368421052633
PHATE,graph,cell_5k,cell_number,0.6985789473684211
PaCMAP,metric,cell_5k,cell_number,0.2600526315789473
SAUCIE,deep,cell_5k,cell_number,0.2331578947368421
SCDRHA,deep,cell_5k,cell_number,0.3544736842105263
SIMLR,graph,cell_5k,cell_number,0.6531578947368422
SPDR,graph,cell_5k,cell_number,0.6504736842105264
SQuaD-MDS,metric,cell_5k,cell_number,0.4637368421052631
SSNMDI,linear,cell_5k,cell_number,0.2448421052631579
t-SNE,metric,cell_5k,cell_number,0.6873157894736842
TriMap,metric,cell_5k,cell_number,0.6833684210526315
UMAP,graph,cell_5k,cell_number,0.6614736842105264
VAE,deep,cell_5k,cell_number,0.6140526315789474
ZIFA,linear,cell_5k,cell_number,0.622
IVIS,metric,cell_5k,cell_number,0.5608947368421052
pCMF,linear,cell_5k,cell_number,0.2007894736842105
scGAE,deep,cell_5k,cell_number,0.299421052631579
scGBM,linear,cell_5k,cell_number,0.6043157894736841
scScope,deep,cell_5k,cell_number,0.5402631578947369
scvis,deep,cell_5k,cell_number,0.2682631578947369
tGPLVM,linear,cell_5k,cell_number,0.6438947368421054
DRA,deep,cell_1w,cell_number,0.2147894736842105
DREAM,deep,cell_1w,cell_number,0.4973684210526316
EDGE,graph,cell_1w,cell_number,0.6618421052631579
GLMPCA,linear,cell_1w,cell_number,0.4969473684210527
PCA,linear,cell_1w,cell_number,0.6540526315789473
PHATE,graph,cell_1w,cell_number,0.6920526315789474
PaCMAP,metric,cell_1w,cell_number,0.2682105263157894
SAUCIE,deep,cell_1w,cell_number,0.2155789473684211
SCDRHA,deep,cell_1w,cell_number,0.4137368421052631
SPDR,graph,cell_1w,cell_number,0.7232631578947369
SQuaD-MDS,metric,cell_1w,cell_number,0.4811578947368422
SSNMDI,linear,cell_1w,cell_number,0.2258421052631578
t-SNE,metric,cell_1w,cell_number,0.663
TriMap,metric,cell_1w,cell_number,0.6925263157894737
UMAP,graph,cell_1w,cell_number,0.702421052631579
VAE,deep,cell_1w,cell_number,0.6568947368421053
ZIFA,linear,cell_1w,cell_number,0.6512631578947369
IVIS,metric,cell_1w,cell_number,0.7039473684210528
pCMF,linear,cell_1w,cell_number,0.2067368421052631
scGAE,deep,cell_1w,cell_number,0.2346315789473684
scGBM,linear,cell_1w,cell_number,0.6464736842105263
scScope,deep,cell_1w,cell_number,0.6419473684210526
scvis,deep,cell_1w,cell_number,0.2724210526315789
tGPLVM,linear,cell_1w,cell_number,0.6926842105263157
DRA,deep,cell_2w,cell_number,0.2338421052631579
