family_short,dataset_id,score,x,panel,trajectory_axis
deep,cell_100,0.3139999999999999,0,g,cell_number
deep,cell_500,0.2713157894736842,1,g,cell_number
deep,cell_1k,0.2642105263157894,2,g,cell_number
deep,cell_5k,0.299421052631579,3,g,cell_number
deep,cell_1w,0.2724210526315789,4,g,cell_number
deep,cell_2w,0.2352105263157894,5,g,cell_number
deep,cell_3w,0.28738245614035085,6,g,cell_number
graph,cell_100,0.4428421052631578,0,g,cell_number
graph,cell_500,0.6534736842105264,1,g,cell_number
graph,cell_1k,0.6823684210526316,2,g,cell_number
graph,cell_5k,0.6531578947368422,3,g,cell_number
graph,cell_1w,0.6972368421052632,4,g,cell_number
graph,cell_2w,0.6874736842105263,5,g,cell_number
graph,cell_3w,0.6900000000000001,6,g,cell_number
linear,cell_100,0.4954736842105264,0,g,cell_number
linear,cell_500,0.609157894736842,1,g,cell_number
linear,cell_1k,0.5874210526315788,2,g,cell_number
linear,cell_5k,0.6193684210526316,3,g,cell_number
linear,cell_1w,0.6464736842105263,4,g,cell_number
linear,cell_2w,0.6217894736842107,5,g,cell_number
linear,cell_3w,0.6605333333333333,6,g,cell_number
metric,cell_100,0.4798421052631578,0,g,cell_number
metric,cell_500,0.4818421052631579,1,g,cell_number
metric,cell_1k,0.4639999999999999,2,g,cell_number
metric,cell_5k,0.5608947368421052,3,g,cell_number
metric,cell_1w,0.663,4,g,cell_number
metric,cell_2w,0.6650526315789475,5,g,cell_number
metric,cell_3w,0.6716666666666666,6,g,cell_number
deep,gene_5k,0.2648,0,g,gene_number
deep,gene_2w,0.3407894736842105,1,g,gene_number
deep,gene_3w,0.3786842105263158,2,g,gene_number
deep,gene_4w,0.4074736842105262,3,g,gene_number
deep,gene_5w,0.3459473684210526,4,g,gene_number
graph,gene_5k,0.6366315789473685,0,g,gene_number
graph,gene_2w,0.6751578947368422,1,g,gene_number
graph,gene_3w,0.7103157894736845,2,g,gene_number
graph,gene_4w,0.6957894736842105,3,g,gene_number
graph,gene_5w,0.699,4,g,gene_number
linear,gene_5k,0.5980000000000001,0,g,gene_number
linear,gene_2w,0.6101052631578948,1,g,gene_number
linear,gene_3w,0.6592631578947368,2,g,gene_number
linear,gene_4w,0.5748421052631578,3,g,gene_number
linear,gene_5w,0.6296842105263158,4,g,gene_number
metric,gene_5k,0.4559473684210525,0,g,gene_number
metric,gene_2w,0.5453684210526317,1,g,gene_number
metric,gene_3w,0.6430000000000001,2,g,gene_number
metric,gene_4w,0.6443684210526316,3,g,gene_number
metric,gene_5w,0.6477894736842105,4,g,gene_number
deep,celltype_7,0.2173684210526315,0,g,celltype_number
deep,celltype_9,0.2023684210526315,1,g,celltype_number
deep,celltype_11,0.2080526315789473,2,g,celltype_number
deep,celltype_13,0.207578947368421,3,g,celltype_number
deep,celltype_15,0.2142105263157894,4,g,celltype_number
graph,celltype_7,0.6579473684210526,0,g,celltype_number
graph,celltype_9,0.6253684210526316,1,g,celltype_number
graph,celltype_11,0.6139473684210527,2,g,celltype_number
graph,celltype_13,0.5725263157894735,3,g,celltype_number
graph,celltype_15,0.5525263157894738,4,g,celltype_number
linear,celltype_7,0.4574736842105263,0,g,celltype_number
linear,celltype_9,0.423421052631579,1,g,celltype_number
linear,celltype_11,0.4016315789473684,2,g,celltype_number
linear,celltype_13,0.3552105263157894,3,g,celltype_number
linear,celltype_15,0.3356842105263158,4,g,celltype_number
metric,celltype_7,0.4376315789473683,0,g,celltype_number
metric,celltype_9,0.4116842105263157,1,g,celltype_number
metric,celltype_11,0.3875263157894736,2,g,celltype_number
metric,celltype_13,0.359,3,g,celltype_number
metric,celltype_15,0.3663157894736842,4,g,celltype_number
