family_short,dataset_id,score,x,panel,trajectory_axis
deep,batch_2,0.2704666666666667,0,h,batch_number
deep,batch_4,0.2854210526315789,1,h,batch_number
deep,batch_6,0.262,2,h,batch_number
deep,batch_8,0.2797368421052631,3,h,batch_number
deep,batch_10,0.2787368421052632,4,h,batch_number
graph,batch_2,0.6215263157894737,0,h,batch_number
graph,batch_4,0.6501578947368423,1,h,batch_number
graph,batch_6,0.6551052631578947,2,h,batch_number
graph,batch_8,0.6736315789473686,3,h,batch_number
graph,batch_10,0.6843684210526316,4,h,batch_number
linear,batch_2,0.516578947368421,0,h,batch_number
linear,batch_4,0.5708947368421055,1,h,batch_number
linear,batch_6,0.6388947368421054,2,h,batch_number
linear,batch_8,0.6267894736842106,3,h,batch_number
linear,batch_10,0.646842105263158,4,h,batch_number
metric,batch_2,0.4616315789473684,0,h,batch_number
metric,batch_4,0.5533157894736843,1,h,batch_number
metric,batch_6,0.4696315789473684,2,h,batch_number
metric,batch_8,0.5186842105263159,3,h,batch_number
metric,batch_10,0.5093684210526316,4,h,batch_number
deep,batch_0.2,0.3353157894736842,0,h,batch_strength
deep,batch_0.4,0.3741052631578948,1,h,batch_strength
deep,batch_0.6,0.4140526315789473,2,h,batch_strength
deep,batch_0.8,0.4378947368421051,3,h,batch_strength
deep,batch_1.0,0.4127333333333333,4,h,batch_strength
graph,batch_0.2,0.6205789473684209,0,h,batch_strength
graph,batch_0.4,0.629157894736842,1,h,batch_strength
graph,batch_0.6,0.6158947368421054,2,h,batch_strength
graph,batch_0.8,0.6192105263157895,3,h,batch_strength
graph,batch_1.0,0.6315263157894737,4,h,batch_strength
linear,batch_0.2,0.5591052631578948,0,h,batch_strength
linear,batch_0.4,0.4923684210526316,1,h,batch_strength
linear,batch_0.6,0.4523684210526316,2,h,batch_strength
linear,batch_0.8,0.4459999999999999,3,h,batch_strength
linear,batch_1.0,0.4555263157894737,4,h,batch_strength
metric,batch_0.2,0.5226315789473684,0,h,batch_strength
metric,batch_0.4,0.4651052631578948,1,h,batch_strength
metric,batch_0.6,0.4534736842105263,2,h,batch_strength
metric,batch_0.8,0.4511052631578946,3,h,batch_strength
metric,batch_1.0,0.4447368421052632,4,h,batch_strength
