family_short,dataset_id,score,x,panel,trajectory_axis
deep,dropout_-1,0.2722105263157894,0,i,dropout
deep,dropout_0,0.3063157894736842,1,i,dropout
deep,dropout_1,0.2762105263157894,2,i,dropout
deep,dropout_2,0.2740526315789473,3,i,dropout
deep,dropout_3,0.3031052631578947,4,i,dropout
graph,dropout_-1,0.6862631578947369,0,i,dropout
graph,dropout_0,0.6863684210526316,1,i,dropout
graph,dropout_1,0.669,2,i,dropout
graph,dropout_2,0.6231052631578947,3,i,dropout
graph,dropout_3,0.4481578947368421,4,i,dropout
linear,dropout_-1,0.6436842105263157,0,i,dropout
linear,dropout_0,0.6120000000000001,1,i,dropout
linear,dropout_1,0.6200526315789473,2,i,dropout
linear,dropout_2,0.5744210526315789,3,i,dropout
linear,dropout_3,0.3866842105263157,4,i,dropout
metric,dropout_-1,0.525,0,i,dropout
metric,dropout_0,0.5208947368421054,1,i,dropout
metric,dropout_1,0.6144736842105264,2,i,dropout
metric,dropout_2,0.4668947368421053,3,i,dropout
metric,dropout_3,0.4252105263157894,4,i,dropout
deep,out_0.1,0.2562631578947368,0,i,out
deep,out_0.2,0.2658666666666666,1,i,out
deep,out_0.3,0.2537894736842105,2,i,out
deep,out_0.4,0.2672105263157894,3,i,out
deep,out_0.5,0.2659473684210526,4,i,out
graph,out_0.1,0.6859473684210526,0,i,out
graph,out_0.2,0.6692105263157895,1,i,out
graph,out_0.3,0.6872631578947369,2,i,out
graph,out_0.4,0.6958947368421053,3,i,out
graph,out_0.5,0.7238947368421054,4,i,out
linear,out_0.1,0.6587368421052631,0,i,out
linear,out_0.2,0.6104736842105264,1,i,out
linear,out_0.3,0.6541052631578949,2,i,out
linear,out_0.4,0.6612631578947369,3,i,out
linear,out_0.5,0.6750526315789473,4,i,out
metric,out_0.1,0.499578947368421,0,i,out
metric,out_0.2,0.469,1,i,out
metric,out_0.3,0.5111052631578946,2,i,out
metric,out_0.4,0.5434736842105264,3,i,out
metric,out_0.5,0.6257368421052631,4,i,out
