family_short,dataset_id,score,x,panel,trajectory_axis
deep,de_prob_0.05,0.262157894736842,0,j,de_prob
deep,de_prob_0.15,0.2584210526315789,1,j,de_prob
deep,de_prob_0.2,0.3593684210526315,2,j,de_prob
deep,de_prob_0.25,0.4547368421052631,3,j,de_prob
deep,de_prob_0.3,0.5699473684210524,4,j,de_prob
graph,de_prob_0.05,0.4807368421052631,0,j,de_prob
graph,de_prob_0.15,0.6915789473684211,1,j,de_prob
graph,de_prob_0.2,0.7264736842105264,2,j,de_prob
graph,de_prob_0.25,0.7268947368421053,3,j,de_prob
graph,de_prob_0.3,0.7291052631578947,4,j,de_prob
linear,de_prob_0.05,0.4977368421052631,0,j,de_prob
linear,de_prob_0.15,0.6513157894736842,1,j,de_prob
linear,de_prob_0.2,0.6949473684210526,2,j,de_prob
linear,de_prob_0.25,0.7254736842105262,3,j,de_prob
linear,de_prob_0.3,0.7113684210526315,4,j,de_prob
metric,de_prob_0.05,0.4039473684210526,0,j,de_prob
metric,de_prob_0.15,0.6323684210526317,1,j,de_prob
metric,de_prob_0.2,0.7127368421052631,2,j,de_prob
metric,de_prob_0.25,0.7007368421052632,3,j,de_prob
metric,de_prob_0.3,0.7061052631578947,4,j,de_prob
deep,de_0.2,0.2721052631578947,0,j,de_strength
deep,de_0.4,0.3283684210526315,1,j,de_strength
deep,de_0.6,0.3118947368421052,2,j,de_strength
deep,de_0.8,0.742421052631579,3,j,de_strength
deep,de_1.0,0.75,4,j,de_strength
graph,de_0.2,0.3841052631578946,0,j,de_strength
graph,de_0.4,0.7413157894736842,1,j,de_strength
graph,de_0.6,0.7753157894736842,2,j,de_strength
graph,de_0.8,0.7705789473684211,3,j,de_strength
graph,de_1.0,0.773421052631579,4,j,de_strength
linear,de_0.2,0.5054736842105264,0,j,de_strength
linear,de_0.4,0.7107894736842105,1,j,de_strength
linear,de_0.6,0.7372105263157894,2,j,de_strength
linear,de_0.8,0.7722105263157895,3,j,de_strength
linear,de_1.0,0.807,4,j,de_strength
metric,de_0.2,0.4401052631578947,0,j,de_strength
metric,de_0.4,0.7136842105263157,1,j,de_strength
metric,de_0.6,0.7251578947368421,2,j,de_strength
metric,de_0.8,0.7355789473684211,3,j,de_strength
metric,de_1.0,0.7437368421052631,4,j,de_strength
