dataset_id,perturbation_axis,axis_order,required_files,files_present,complete_score_inputs,parameter_label
batch_0.2,batch_strength,1,8,8,True,0.2
batch_0.4,batch_strength,2,8,8,True,0.4
batch_0.6,batch_strength,3,8,8,True,0.6
batch_0.8,batch_strength,4,8,8,True,0.8
batch_1.0,batch_strength,5,8,8,True,1.0
batch_10,batch_number,5,8,8,True,10
batch_2,batch_number,1,8,8,True,2
batch_4,batch_number,2,8,8,True,4
batch_6,batch_number,3,8,8,True,6
batch_8,batch_number,4,8,8,True,8
cell_100,cell_number,1,8,8,True,100
cell_1k,cell_number,3,8,8,True,1k
cell_1w,cell_number,5,8,8,True,10k
cell_2w,cell_number,6,8,8,True,20k
cell_3w,cell_number,7,8,8,True,30k
cell_4w,cell_number,8,8,2,False,40k
cell_500,cell_number,2,8,8,True,500
cell_5k,cell_number,4,8,8,True,5k
cell_5w,cell_number,9,8,1,False,50k
celltype_11,celltype_number,3,8,8,True,11
celltype_13,celltype_number,4,8,8,True,13
celltype_15,celltype_number,5,8,8,True,15
celltype_7,celltype_number,1,8,8,True,7
celltype_9,celltype_number,2,8,8,True,9
de_0.2,de_strength,1,8,8,True,0.2
de_0.4,de_strength,2,8,8,True,0.4
de_0.6,de_strength,3,8,8,True,0.6
de_0.8,de_strength,4,8,8,True,0.8
de_1.0,de_strength,5,8,8,True,1.0
de_prob_0.05,de_prob,1,8,8,True,0.05
de_prob_0.15,de_prob,2,8,8,True,0.15
de_prob_0.2,de_prob,3,8,8,True,0.20
de_prob_0.25,de_prob,4,8,8,True,0.25
de_prob_0.3,de_prob,5,8,8,True,0.30
dropout_-1,dropout,1,8,8,True,-1
dropout_0,dropout,2,8,8,True,0
dropout_1,dropout,3,8,8,True,1
dropout_2,dropout,4,8,8,True,2
dropout_3,dropout,5,8,8,True,3
gene_2w,gene_number,2,8,8,True,20k
gene_3w,gene_number,3,8,8,True,30k
gene_4w,gene_number,4,8,8,True,40k
gene_5k,gene_number,1,8,8,True,5k
gene_5w,gene_number,5,8,8,True,50k
out_0.1,out,1,8,8,True,0.1
out_0.2,out,2,8,8,True,0.2
out_0.3,out,3,8,8,True,0.3
out_0.4,out,4,8,8,True,0.4
out_0.5,out,5,8,8,True,0.5
