dataset_id,method_raw,metric,metric_value,component_domain,perturbation_axis,axis_order,method_id,parent_method,parameter_label,method_family,method_order
cell_100,DRA,knn_30,0.26,local,cell_number,1,DRA,DRA,100,deep generative/autoencoder,16.0
cell_100,DRA,svm,0.24,local,cell_number,1,DRA,DRA,100,deep generative/autoencoder,16.0
cell_100,DRA,nkr_30,0.279,local,cell_number,1,DRA,DRA,100,deep generative/autoencoder,16.0
cell_100,DRA,aji_30,0.159,local,cell_number,1,DRA,DRA,100,deep generative/autoencoder,16.0
cell_100,DRA,random_triplet,0.476,global,cell_number,1,DRA,DRA,100,deep generative/autoencoder,16.0
cell_100,DRA,spearman,-0.05,global,cell_number,1,DRA,DRA,100,deep generative/autoencoder,16.0
cell_100,DRA,k-nearest,0.2,global,cell_number,1,DRA,DRA,100,deep generative/autoencoder,16.0
cell_100,DRA,centroid_distance,0.608,global,cell_number,1,DRA,DRA,100,deep generative/autoencoder,16.0
cell_100,DRA,T_30,0.532,local,cell_number,1,DRA,DRA,100,deep generative/autoencoder,16.0
cell_100,DRA,C_30,0.504,local,cell_number,1,DRA,DRA,100,deep generative/autoencoder,16.0
cell_100,DRA,Mrre_false_30,0.48,local,cell_number,1,DRA,DRA,100,deep generative/autoencoder,16.0
cell_100,DRA,Mrre_missing_30,0.518,local,cell_number,1,DRA,DRA,100,deep generative/autoencoder,16.0
cell_100,DRA,Pearson,0.096,global,cell_number,1,DRA,DRA,100,deep generative/autoencoder,16.0
cell_100,DRA,nh_30,0.207,local,cell_number,1,DRA,DRA,100,deep generative/autoencoder,16.0
cell_100,DRA,ARI,0.01,cluster,cell_number,1,DRA,DRA,100,deep generative/autoencoder,16.0
cell_100,DRA,NMI,0.06,cluster,cell_number,1,DRA,DRA,100,deep generative/autoencoder,16.0
cell_100,DRA,SIL,0.38,cluster,cell_number,1,DRA,DRA,100,deep generative/autoencoder,16.0
cell_100,DRA,COMP,0.06,cluster,cell_number,1,DRA,DRA,100,deep generative/autoencoder,16.0
cell_100,DRA,HOMO,0.05,cluster,cell_number,1,DRA,DRA,100,deep generative/autoencoder,16.0
cell_100,DREAM,knn_30,0.43,local,cell_number,1,DREAM,DREAM,100,deep generative/autoencoder,15.0
cell_100,DREAM,svm,0.36,local,cell_number,1,DREAM,DREAM,100,deep generative/autoencoder,15.0
cell_100,DREAM,nkr_30,0.435,local,cell_number,1,DREAM,DREAM,100,deep generative/autoencoder,15.0
cell_100,DREAM,aji_30,0.283,local,cell_number,1,DREAM,DREAM,100,deep generative/autoencoder,15.0
cell_100,DREAM,random_triplet,0.648,global,cell_number,1,DREAM,DREAM,100,deep generative/autoencoder,15.0
cell_100,DREAM,spearman,0.508,global,cell_number,1,DREAM,DREAM,100,deep generative/autoencoder,15.0
cell_100,DREAM,k-nearest,0.2,global,cell_number,1,DREAM,DREAM,100,deep generative/autoencoder,15.0
cell_100,DREAM,centroid_distance,0.265,global,cell_number,1,DREAM,DREAM,100,deep generative/autoencoder,15.0
cell_100,DREAM,T_30,0.709,local,cell_number,1,DREAM,DREAM,100,deep generative/autoencoder,15.0
cell_100,DREAM,C_30,0.75,local,cell_number,1,DREAM,DREAM,100,deep generative/autoencoder,15.0
cell_100,DREAM,Mrre_false_30,0.58,local,cell_number,1,DREAM,DREAM,100,deep generative/autoencoder,15.0
cell_100,DREAM,Mrre_missing_30,0.688,local,cell_number,1,DREAM,DREAM,100,deep generative/autoencoder,15.0
cell_100,DREAM,Pearson,0.384,global,cell_number,1,DREAM,DREAM,100,deep generative/autoencoder,15.0
cell_100,DREAM,nh_30,0.291,local,cell_number,1,DREAM,DREAM,100,deep generative/autoencoder,15.0
cell_100,DREAM,ARI,0.06,cluster,cell_number,1,DREAM,DREAM,100,deep generative/autoencoder,15.0
cell_100,DREAM,NMI,0.14,cluster,cell_number,1,DREAM,DREAM,100,deep generative/autoencoder,15.0
cell_100,DREAM,SIL,0.38,cluster,cell_number,1,DREAM,DREAM,100,deep generative/autoencoder,15.0
cell_100,DREAM,COMP,0.16,cluster,cell_number,1,DREAM,DREAM,100,deep generative/autoencoder,15.0
cell_100,DREAM,HOMO,0.12,cluster,cell_number,1,DREAM,DREAM,100,deep generative/autoencoder,15.0
cell_100,EDGE,knn_30,0.47,local,cell_number,1,EDGE,EDGE,100,graph/diffusion,20.0
cell_100,EDGE,svm,0.46,local,cell_number,1,EDGE,EDGE,100,graph/diffusion,20.0
cell_100,EDGE,nkr_30,0.342,local,cell_number,1,EDGE,EDGE,100,graph/diffusion,20.0
cell_100,EDGE,aji_30,0.207,local,cell_number,1,EDGE,EDGE,100,graph/diffusion,20.0
cell_100,EDGE,random_triplet,0.556,global,cell_number,1,EDGE,EDGE,100,graph/diffusion,20.0
cell_100,EDGE,spearman,0.144,global,cell_number,1,EDGE,EDGE,100,graph/diffusion,20.0
cell_100,EDGE,k-nearest,0.4,global,cell_number,1,EDGE,EDGE,100,graph/diffusion,20.0
cell_100,EDGE,centroid_distance,0.533,global,cell_number,1,EDGE,EDGE,100,graph/diffusion,20.0
cell_100,EDGE,T_30,0.606,local,cell_number,1,EDGE,EDGE,100,graph/diffusion,20.0
cell_100,EDGE,C_30,0.601,local,cell_number,1,EDGE,EDGE,100,graph/diffusion,20.0
cell_100,EDGE,Mrre_false_30,0.538,local,cell_number,1,EDGE,EDGE,100,graph/diffusion,20.0
cell_100,EDGE,Mrre_missing_30,0.564,local,cell_number,1,EDGE,EDGE,100,graph/diffusion,20.0
cell_100,EDGE,Pearson,0.24,global,cell_number,1,EDGE,EDGE,100,graph/diffusion,20.0
