method_raw,dataset_id,score,local_score,global_score,cluster_score,n_score_metrics,complete_score_inputs,source_layer,method_id,parent_method,perturbation_axis,perturbation_axis_label,axis_order,parameter_label,method_family,method_order,param_group,param_value,cells,genes,sparsity_pct,n_batches,n_groups,size_mb,score_available
DRA,cell_100,0.26678947368421047,0.35322222222222227,0.266,0.11200000000000002,19,True,standard_metric_files,DRA,DRA,cell_number,cell number,1,100,deep generative/autoencoder,16.0,cell,100,100.0,3000.0,43.0,1.0,5.0,4.0,True
DREAM,cell_100,0.38900000000000007,0.5028888888888888,0.40099999999999997,0.17200000000000001,19,True,standard_metric_files,DREAM,DREAM,cell_number,cell number,1,100,deep generative/autoencoder,15.0,cell,100,100.0,3000.0,43.0,1.0,5.0,4.0,True
EDGE,cell_100,0.35405263157894734,0.45155555555555554,0.3746,0.158,19,True,standard_metric_files,EDGE,EDGE,cell_number,cell number,1,100,graph/diffusion,20.0,cell,100,100.0,3000.0,43.0,1.0,5.0,4.0,True
GLMPCA,cell_100,0.505263157894737,0.6055555555555556,0.33199999999999996,0.49800000000000005,19,True,standard_metric_files,GLMPCA,GLMPCA,cell_number,cell number,1,100,linear/probabilistic,2.0,cell,100,100.0,3000.0,43.0,1.0,5.0,4.0,True
PCA,cell_100,0.5878947368421052,0.636888888888889,0.26959999999999995,0.818,19,True,standard_metric_files,PCA,PCA,cell_number,cell number,1,100,linear/probabilistic,1.0,cell,100,100.0,3000.0,43.0,1.0,5.0,4.0,True
PHATE,cell_100,0.5088947368421053,0.5651111111111111,0.36660000000000004,0.55,19,True,standard_metric_files,PHATE,PHATE,cell_number,cell number,1,100,graph/diffusion,19.0,cell,100,100.0,3000.0,43.0,1.0,5.0,4.0,True
PaCMAP,cell_100,0.2928947368421053,0.3736666666666666,0.32239999999999996,0.11800000000000002,19,True,standard_metric_files,PaCMAP,PaCMAP,cell_number,cell number,1,100,metric/structure-aware,23.0,cell,100,100.0,3000.0,43.0,1.0,5.0,4.0,True
ParametricUMAP200,cell_100,0.5179473684210526,0.5764444444444444,0.2506,0.6799999999999999,19,True,standard_metric_files,Parametric UMAP 200,UMAP,cell_number,cell number,1,100,graph/diffusion,17.2,cell,100,100.0,3000.0,43.0,1.0,5.0,4.0,True
ParametricUMAP50,cell_100,0.4956315789473684,0.5764444444444444,0.2578,0.588,19,True,standard_metric_files,Parametric UMAP 50,UMAP,cell_number,cell number,1,100,graph/diffusion,17.1,cell,100,100.0,3000.0,43.0,1.0,5.0,4.0,True
SAUCIE,cell_100,0.2947894736842105,0.33944444444444444,0.4072,0.10200000000000001,19,True,standard_metric_files,SAUCIE,SAUCIE,cell_number,cell number,1,100,deep generative/autoencoder,11.0,cell,100,100.0,3000.0,43.0,1.0,5.0,4.0,True
