method_raw,method_id,parent_method,perturbation_axis,score,parameter_levels,method_family,method_order
DRA,DRA,DRA,batch_number,0.23849473684210526,5,deep generative/autoencoder,16.0
DRA,DRA,DRA,batch_strength,0.2309578947368421,5,deep generative/autoencoder,16.0
DRA,DRA,DRA,cell_number,0.2340375939849624,7,deep generative/autoencoder,16.0
DRA,DRA,DRA,celltype_number,0.21082105263157894,5,deep generative/autoencoder,16.0
DRA,DRA,DRA,de_prob,0.25117894736842106,5,deep generative/autoencoder,16.0
DRA,DRA,DRA,de_strength,0.23994736842105263,5,deep generative/autoencoder,16.0
DRA,DRA,DRA,dropout,0.25020000000000003,5,deep generative/autoencoder,16.0
DRA,DRA,DRA,gene_number,0.24742105263157893,5,deep generative/autoencoder,16.0
DRA,DRA,DRA,out,0.24609473684210528,5,deep generative/autoencoder,16.0
DREAM,DREAM,DREAM,batch_number,0.32042105263157894,5,deep generative/autoencoder,15.0
DREAM,DREAM,DREAM,batch_strength,0.41465263157894744,5,deep generative/autoencoder,15.0
DREAM,DREAM,DREAM,cell_number,0.41180902255639096,7,deep generative/autoencoder,15.0
DREAM,DREAM,DREAM,celltype_number,0.2029684210526316,5,deep generative/autoencoder,15.0
DREAM,DREAM,DREAM,de_prob,0.5039052631578947,5,deep generative/autoencoder,15.0
DREAM,DREAM,DREAM,de_strength,0.6130210526315789,5,deep generative/autoencoder,15.0
DREAM,DREAM,DREAM,dropout,0.28511578947368416,5,deep generative/autoencoder,15.0
DREAM,DREAM,DREAM,gene_number,0.36839999999999995,5,deep generative/autoencoder,15.0
DREAM,DREAM,DREAM,out,0.29167368421052625,5,deep generative/autoencoder,15.0
EDGE,EDGE,EDGE,batch_number,0.5870315789473685,5,graph/diffusion,20.0
EDGE,EDGE,EDGE,batch_strength,0.550021052631579,5,graph/diffusion,20.0
EDGE,EDGE,EDGE,cell_number,0.5840651629072681,7,graph/diffusion,20.0
EDGE,EDGE,EDGE,celltype_number,0.3651263157894737,5,graph/diffusion,20.0
EDGE,EDGE,EDGE,de_prob,0.6526315789473685,5,graph/diffusion,20.0
EDGE,EDGE,EDGE,de_strength,0.6490526315789473,5,graph/diffusion,20.0
EDGE,EDGE,EDGE,dropout,0.5174631578947368,5,graph/diffusion,20.0
EDGE,EDGE,EDGE,gene_number,0.6272315789473684,5,graph/diffusion,20.0
EDGE,EDGE,EDGE,out,0.6867789473684212,5,graph/diffusion,20.0
GLMPCA,GLMPCA,GLMPCA,batch_number,0.5859263157894736,5,linear/probabilistic,2.0
GLMPCA,GLMPCA,GLMPCA,batch_strength,0.4659684210526316,5,linear/probabilistic,2.0
GLMPCA,GLMPCA,GLMPCA,cell_number,0.5816175438596491,7,linear/probabilistic,2.0
GLMPCA,GLMPCA,GLMPCA,celltype_number,0.4315473684210526,5,linear/probabilistic,2.0
GLMPCA,GLMPCA,GLMPCA,de_prob,0.6669263157894736,5,linear/probabilistic,2.0
GLMPCA,GLMPCA,GLMPCA,de_strength,0.705978947368421,5,linear/probabilistic,2.0
GLMPCA,GLMPCA,GLMPCA,dropout,0.5872842105263159,5,linear/probabilistic,2.0
GLMPCA,GLMPCA,GLMPCA,gene_number,0.6152210526315789,5,linear/probabilistic,2.0
GLMPCA,GLMPCA,GLMPCA,out,0.6524526315789474,5,linear/probabilistic,2.0
PCA,PCA,PCA,batch_number,0.6194947368421053,5,linear/probabilistic,1.0
PCA,PCA,PCA,batch_strength,0.5787052631578948,5,linear/probabilistic,1.0
PCA,PCA,PCA,cell_number,0.6395739348370927,7,linear/probabilistic,1.0
PCA,PCA,PCA,celltype_number,0.4451052631578947,5,linear/probabilistic,1.0
PCA,PCA,PCA,de_prob,0.680178947368421,5,linear/probabilistic,1.0
PCA,PCA,PCA,de_strength,0.7280210526315789,5,linear/probabilistic,1.0
PCA,PCA,PCA,dropout,0.5800210526315789,5,linear/probabilistic,1.0
