method_raw,published_axis_score,method_id,recomputed_axis_score,perturbation_axis,abs_diff
DRA,0.1228004943800916,DRA,0.23849473684210526,batch_number,0.11569424246201367
DREAM,0.2346611056350288,DREAM,0.32042105263157894,batch_number,0.08575994699655015
EDGE,0.6047432946958767,EDGE,0.5870315789473685,batch_number,0.017711715748508272
GLMPCA,0.5822375728962703,GLMPCA,0.5859263157894736,batch_number,0.0036887428932033117
ivis,0.4147993450872369,IVIS,0.46692631578947374,batch_number,0.05212697070223682
PCA,0.6230615936038728,PCA,0.6194947368421053,batch_number,0.0035668567617674896
PHATE,0.7509444010430857,PHATE,0.6852421052631579,batch_number,0.06570229577992781
PaCMAP,0.1612423976576456,PaCMAP,0.25704210526315785,batch_number,0.09579970760551226
ParametricUMAP200,0.7318519296756356,Parametric UMAP 200,0.6668105263157895,batch_number,0.0650414033598461
ParametricUMAP50,0.7226460330751955,Parametric UMAP 50,0.6678736842105263,batch_number,0.054772348864669196
SAUCIE,0.0967731072780321,SAUCIE,0.23483157894736842,batch_number,0.13805847166933632
SCDRHA,0.5684412422141812,SCDRHA,0.5250842105263158,batch_number,0.04335703168786542
SIMLR,0.734441897406966,SIMLR,0.6684842105263158,batch_number,0.06595768688065018
SPDR,0.828186730149157,SPDR,0.6738947368421052,batch_number,0.1542919933070518
SQuaD_MDS,0.4389382649974664,SQuaD-MDS,0.4757473684210526,batch_number,0.036809103423586176
SQuaD_MDS_hybrid,0.6307819992621655,SQuaD-MDS hybrid,0.5754526315789474,batch_number,0.055329367683218056
SSNMDI,0.1238912957608975,SSNMDI,0.22877894736842103,batch_number,0.10488765160752353
TriMap,0.831850874082982,TriMap,0.6863578947368422,batch_number,0.1454929793461398
UMAP,0.7114589363686984,UMAP,0.6442947368421053,batch_number,0.06716419952659314
VAE,0.6998787746973938,VAE,0.5544842105263157,batch_number,0.1453945641710781
,,VASC,0.2637066666666667,batch_number,
ZIFA,0.6164117674080922,ZIFA,0.6165684210526315,batch_number,0.0001566536445393174
pCMF,0.0841578713968135,pCMF,0.20034736842105266,batch_number,0.11618949702423917
scGAE,0.1861098846400222,scGAE,0.28546315789473686,batch_number,0.09935327325471466
scGBM,0.5977214925743723,scGBM,0.606536842105263,batch_number,0.008815349530890693
scScope,0.1211816426341798,scScope,0.23177894736842103,batch_number,0.11059730473424123
scvis,0.1518117335397595,scvis,0.28328421052631575,batch_number,0.13147247698655626
TSNE,0.8127512213431818,t-SNE,0.6377473684210526,batch_number,0.17500385292212917
tGPLVM,0.6324226350305697,tGPLVM,0.637263157894737,batch_number,0.0048405228641672515
DRA,0.0821565199607506,DRA,0.2309578947368421,batch_strength,0.1488013747760915
DREAM,0.3518784368393156,DREAM,0.41465263157894744,batch_strength,0.06277419473963186
EDGE,0.6340310914466445,EDGE,0.550021052631579,batch_strength,0.08401003881506552
GLMPCA,0.4371419213369575,GLMPCA,0.4659684210526316,batch_strength,0.02882649971567408
ivis,0.4213747112021974,IVIS,0.45772631578947365,batch_strength,0.036351604587276265
PCA,0.6483941740179835,PCA,0.5787052631578948,batch_strength,0.06968891086008866
PHATE,0.7758320285952033,PHATE,0.6374421052631579,batch_strength,0.13838992333204536
PaCMAP,0.2073143894984769,PaCMAP,0.30566315789473686,batch_strength,0.09834876839625997
ParametricUMAP200,0.7823971672712663,Parametric UMAP 200,0.6316421052631579,batch_strength,0.1507550620081084
ParametricUMAP50,0.7796487722495822,Parametric UMAP 50,0.6325368421052631,batch_strength,0.14711193014431911
SAUCIE,0.2534541835016986,SAUCIE,0.33547368421052626,batch_strength,0.08201950070882763
SCDRHA,0.5808443621510366,SCDRHA,0.5257263157894736,batch_strength,0.05511804636156303
SIMLR,0.8334878435537535,SIMLR,0.6401263157894738,batch_strength,0.19336152776427973
SPDR,0.8264667231283578,SPDR,0.6193578947368421,batch_strength,0.20710882839151568
SQuaD_MDS,0.458813918004395,SQuaD-MDS,0.4554842105263158,batch_strength,0.0033297074780792024
SQuaD_MDS_hybrid,0.7068702956246898,SQuaD-MDS hybrid,0.5613263157894737,batch_strength,0.14554397983521616
SSNMDI,0.1985116978210893,SSNMDI,0.28364210526315786,batch_strength,0.08513040744206857
TriMap,0.8094769321154288,TriMap,0.6274736842105263,batch_strength,0.18200324790490252
UMAP,0.7606701177924915,UMAP,0.6126315789473684,batch_strength,0.14803853884512308
VAE,0.7382082870927953,VAE,0.5732,batch_strength,0.16500828709279525
,,VASC,0.36646666666666666,batch_strength,
ZIFA,0.6223631470037259,ZIFA,0.5387263157894737,batch_strength,0.08363683121425214
pCMF,0.2964166369268523,pCMF,0.3787263157894737,batch_strength,0.08230967886262142
scGAE,0.2912802778722371,scGAE,0.3559894736842105,batch_strength,0.06470919581197343
scGBM,0.629440459246491,scGBM,0.5648736842105263,batch_strength,0.06456677503596464
scScope,0.3312594971256926,scScope,0.3926315789473684,batch_strength,0.061372081821675806
scvis,0.518506847587674,scvis,0.4983894736842106,batch_strength,0.020117373903463354
TSNE,0.7848551977001316,t-SNE,0.6042421052631579,batch_strength,0.18061309243697365
tGPLVM,0.4485986140413407,tGPLVM,0.4699894736842105,batch_strength,0.021390859642869797
DRA,0.1535383598699765,DRA,0.2340375939849624,cell_number,0.08049923411498591
DREAM,0.3664763951258211,DREAM,0.41180902255639096,cell_number,0.04533262743056987
EDGE,0.5464203446354687,EDGE,0.5840651629072681,cell_number,0.03764481827179933
GLMPCA,0.5604109288696338,GLMPCA,0.5816175438596491,cell_number,0.021206614990015304
ivis,0.4502708049824035,IVIS,0.5070756892230577,cell_number,0.05680488424065416
PCA,0.6038211197703784,PCA,0.6395739348370927,cell_number,0.03575281506671424
PHATE,0.6312243922472263,PHATE,0.6674972431077695,cell_number,0.036272850860543215
PaCMAP,0.1795242350833878,PaCMAP,0.26543809523809525,cell_number,0.08591386015470745
ParametricUMAP200,0.6181363627113978,Parametric UMAP 200,0.6569784461152882,cell_number,0.03884208340389039
ParametricUMAP50,0.6162672987838309,Parametric UMAP 50,0.6552771929824562,cell_number,0.03900989419862533
SAUCIE,0.1439438252657219,SAUCIE,0.23974586466165412,cell_number,0.09580203939593224
SCDRHA,0.4028404218904555,SCDRHA,0.42902631578947364,cell_number,0.026185893899018153
SIMLR,0.6367869190209426,SIMLR,0.6451447368421053,cell_number,0.008357817821162628
SPDR,0.6460355725123851,SPDR,0.6540892230576442,cell_number,0.008053650545259083
SQuaD_MDS,0.4490900524738895,SQuaD-MDS,0.47205563909774434,cell_number,0.02296558662385484
SQuaD_MDS_hybrid,0.5723336199439802,SQuaD-MDS hybrid,0.5910155388471178,cell_number,0.01868191890313753
SSNMDI,0.1525368911175403,SSNMDI,0.22762907268170426,cell_number,0.07509218156416397
TriMap,0.6716729903583395,TriMap,0.6802501253132832,cell_number,0.008577134954943721
UMAP,0.5956482605983382,UMAP,0.6329493734335839,cell_number,0.03730111283524573
VAE,0.5558215913720532,VAE,0.5911709273182958,cell_number,0.035349335946242566
,,VASC,0.2527904761904762,cell_number,
ZIFA,0.5968468533563878,ZIFA,0.6324962406015038,cell_number,0.035649387245116015
pCMF,0.1411782380973407,pCMF,0.20378947368421052,cell_number,0.06261123558686982
scGAE,0.1974263772119363,scGAE,0.25667619047619045,cell_number,0.05924981326425416
scGBM,0.5769744201453216,scGBM,0.6054441102756892,cell_number,0.028469690130367598
scScope,0.3961535432226534,scScope,0.44720802005012533,cell_number,0.05105447682747194
scvis,0.1850854847117535,scvis,0.2783047619047619,cell_number,0.09321927719300838
TSNE,0.6450669752590636,t-SNE,0.662501253132832,cell_number,0.01743427787376839
tGPLVM,0.530008274882307,tGPLVM,0.5827629072681705,cell_number,0.05275463238586353
DRA,0.1897027789285673,DRA,0.21082105263157894,celltype_number,0.021118273703011642
DREAM,0.1828705394258632,DREAM,0.2029684210526316,celltype_number,0.0200978816267684
EDGE,0.4338243337702144,EDGE,0.3651263157894737,celltype_number,0.06869801798074071
GLMPCA,0.5026220326492223,GLMPCA,0.4315473684210526,celltype_number,0.07107466422816971
ivis,0.2251230066970115,IVIS,0.23986315789473686,celltype_number,0.01474015119772537
PCA,0.5218423417834868,PCA,0.4451052631578947,celltype_number,0.07673707862559204
