method_id,100,500,1000,2000,5000,10000,20000,30000,50000,73233,completed_levels,missing_levels,largest_completed_cells,missing_cell_levels
PCA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,
GLMPCA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,
pCMF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,
ZIFA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,
scGBM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,
SSNMDI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8,2,30000,50k;73k
tGPLVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,
VAE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,
scvis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,
VASC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,
SAUCIE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,
scScope,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,
SCDRHA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8,2,30000,50k;73k
scGAE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8,2,30000,50k;73k
DREAM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8,2,30000,50k;73k
DRA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,
UMAP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,
SIMLR,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5,5,5000,10k;20k;30k;50k;73k
PHATE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,
EDGE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,
SPDR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,
IVIS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,
PaCMAP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,
t-SNE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,
TriMap,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,
SQuaD-MDS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,
