method_raw,method_id,parent_method,n_cells,peak_memory_gb,runtime_seconds,source,method,language,role,install_channel,package_or_repo,environment,status,notes,commit,family_short,method_order
SAUCIE,SAUCIE,SAUCIE,100,0.289,1.2138,efficiency,,,,,,,,,,deep,11
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,100,0.26,2.6305,efficiency,,,,,,,,,,metric,26
UMAP,UMAP,UMAP,100,0.722,7.3263,efficiency,,,,,,,,,,graph,17
SCDRHA,SCDRHA,SCDRHA,100,0.626,13.4948,efficiency,,,,,,,,,,deep,13
scGAE,scGAE,scGAE,100,0.514,3.3701,efficiency,,,,,,,,,,deep,14
VASC,VASC,VASC,100,0.276,50.1786,efficiency,,,,,,,,,,deep,10
PHATE,PHATE,PHATE,100,0.156,0.1692,efficiency,,,,,,,,,,graph,19
DRA,DRA,DRA,100,0.359,19.8257,efficiency,,,,,,,,,,deep,16
VAE,VAE,VAE,100,0.549,11.9334,efficiency,,,,,,,,,,deep,8
ivis,IVIS,IVIS,100,0.577,1.7547,efficiency,,,,,,,,,,metric,22
ZIFA,ZIFA,ZIFA,100,0.151,20.487,efficiency,,,,,,,,,,linear,4
scScope,scScope,scScope,100,0.544,2.8799,efficiency,,,,,,,,,,deep,12
TriMap,TriMap,TriMap,100,0.276,1.043,efficiency,,,,,,,,,,metric,25
SPDR,SPDR,SPDR,100,0.323,7.3422,efficiency,,,,,,,,,,graph,21
PaCMAP,PaCMAP,PaCMAP,100,0.241,1.0578,efficiency,,,,,,,,,,metric,23
DREAM,DREAM,DREAM,100,1.112,21.2281,efficiency,,,,,,,,,,deep,15
scvis,scvis,scvis,100,0.243,211.6284,efficiency,,,,,,,,,,deep,9
PCA,PCA,PCA,100,0.074,0.14,efficiency,,,,,,,,,,linear,1
t-SNE,t-SNE,t-SNE,100,0.08,0.172,efficiency,,,,,,,,,,metric,24
GLMPCA,GLMPCA,GLMPCA,100,0.126,0.312,efficiency,,,,,,,,,,linear,2
scGBM,scGBM,scGBM,100,0.246,1.032,efficiency,,,,,,,,,,linear,5
SIMLR,SIMLR,SIMLR,100,0.544,6.709,efficiency,,,,,,,,,,graph,18
EDGE,EDGE,EDGE,100,2.851,1.67,efficiency,,,,,,,,,,graph,20
tGPLVM,tGPLVM,tGPLVM,100,0.534,98.5127,efficiency,,,,,,,,,,linear,7
pCMF,pCMF,pCMF,100,0.123,70.587,efficiency,,,,,,,,,,linear,3
SSNMDI,SSNMDI,SSNMDI,100,1.361,2.9841,efficiency,,,,,,,,,,linear,6
SAUCIE,SAUCIE,SAUCIE,1000,0.317,2.1576,efficiency,,,,,,,,,,deep,11
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,1000,0.281,8.8595,efficiency,,,,,,,,,,metric,26
UMAP,UMAP,UMAP,1000,0.741,8.8949,efficiency,,,,,,,,,,graph,17
SCDRHA,SCDRHA,SCDRHA,1000,0.829,23.9838,efficiency,,,,,,,,,,deep,13
scGAE,scGAE,scGAE,1000,0.702,11.2597,efficiency,,,,,,,,,,deep,14
VASC,VASC,VASC,1000,0.35,293.7521,efficiency,,,,,,,,,,deep,10
PHATE,PHATE,PHATE,1000,0.23,2.8714,efficiency,,,,,,,,,,graph,19
DRA,DRA,DRA,1000,0.411,90.3003,efficiency,,,,,,,,,,deep,16
VAE,VAE,VAE,1000,0.584,34.6997,efficiency,,,,,,,,,,deep,8
ivis,IVIS,IVIS,1000,0.657,3.6939,efficiency,,,,,,,,,,metric,22
ZIFA,ZIFA,ZIFA,1000,0.266,137.2846,efficiency,,,,,,,,,,linear,4
scScope,scScope,scScope,1000,0.585,25.4367,efficiency,,,,,,,,,,deep,12
TriMap,TriMap,TriMap,1000,0.291,1.3973,efficiency,,,,,,,,,,metric,25
SPDR,SPDR,SPDR,1000,0.39,17.2563,efficiency,,,,,,,,,,graph,21
PaCMAP,PaCMAP,PaCMAP,1000,0.264,3.8256,efficiency,,,,,,,,,,metric,23
DREAM,DREAM,DREAM,1000,1.12,78.4985,efficiency,,,,,,,,,,deep,15
scvis,scvis,scvis,1000,0.276,1918.5078,efficiency,,,,,,,,,,deep,9
PCA,PCA,PCA,1000,0.135,0.494,efficiency,,,,,,,,,,linear,1
t-SNE,t-SNE,t-SNE,1000,0.146,2.728,efficiency,,,,,,,,,,metric,24
GLMPCA,GLMPCA,GLMPCA,1000,0.171,15.954,efficiency,,,,,,,,,,linear,2
scGBM,scGBM,scGBM,1000,0.329,6.733,efficiency,,,,,,,,,,linear,5
SIMLR,SIMLR,SIMLR,1000,2.069,333.832,efficiency,,,,,,,,,,graph,18
EDGE,EDGE,EDGE,1000,2.876,7.205,efficiency,,,,,,,,,,graph,20
tGPLVM,tGPLVM,tGPLVM,1000,0.591,175.731,efficiency,,,,,,,,,,linear,7
pCMF,pCMF,pCMF,1000,0.187,344.814,efficiency,,,,,,,,,,linear,3
SSNMDI,SSNMDI,SSNMDI,1000,1.452,31.4526,efficiency,,,,,,,,,,linear,6
SAUCIE,SAUCIE,SAUCIE,10000,0.396,2.1906,efficiency,,,,,,,,,,deep,11
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,10000,0.438,101.1721,efficiency,,,,,,,,,,metric,26
