method_id,family_short,n_cells,runtime_seconds
PCA,linear,100,0.14
PCA,linear,500,0.218
PCA,linear,1000,0.494
PCA,linear,2000,0.672
PCA,linear,5000,2.03
PCA,linear,10000,2.47
PCA,linear,20000,4.75
PCA,linear,30000,5.245
PCA,linear,50000,9.198
PCA,linear,73233,13.89
GLMPCA,linear,100,0.312
GLMPCA,linear,500,1.656
GLMPCA,linear,1000,15.954
GLMPCA,linear,2000,15.841
GLMPCA,linear,5000,18.088
GLMPCA,linear,10000,102.51
GLMPCA,linear,20000,149.407
GLMPCA,linear,30000,335.915
GLMPCA,linear,50000,433.37
GLMPCA,linear,73233,821.787
pCMF,linear,100,70.587
pCMF,linear,500,196.407
pCMF,linear,1000,344.814
pCMF,linear,2000,655.566
pCMF,linear,5000,1397.16
pCMF,linear,10000,2730.309
pCMF,linear,20000,5459.49
pCMF,linear,30000,8074.227
pCMF,linear,50000,12988.65
pCMF,linear,73233,18998.695
ZIFA,linear,100,20.487
ZIFA,linear,500,74.6027
ZIFA,linear,1000,137.2846
ZIFA,linear,2000,250.878
ZIFA,linear,5000,624.1608
ZIFA,linear,10000,1251.757
ZIFA,linear,20000,2473.4325
ZIFA,linear,30000,3793.4307
ZIFA,linear,50000,8466.2815
ZIFA,linear,73233,9119.3146
scGBM,linear,100,1.032
scGBM,linear,500,2.591
scGBM,linear,1000,6.733
scGBM,linear,2000,11.398
scGBM,linear,5000,37.756
scGBM,linear,10000,76.37
scGBM,linear,20000,149.652
scGBM,linear,30000,169.623
scGBM,linear,50000,343.0
scGBM,linear,73233,573.543
SSNMDI,linear,100,2.9841
SSNMDI,linear,500,13.0543
SSNMDI,linear,1000,31.4526
SSNMDI,linear,2000,78.2039
SSNMDI,linear,5000,359.1581
SSNMDI,linear,10000,1329.4604
SSNMDI,linear,20000,4781.3973
SSNMDI,linear,30000,12040.6073
tGPLVM,linear,100,98.5127
tGPLVM,linear,500,173.8073
tGPLVM,linear,1000,175.731
tGPLVM,linear,2000,185.2611
tGPLVM,linear,5000,180.6193
tGPLVM,linear,10000,180.091
tGPLVM,linear,20000,189.0852
tGPLVM,linear,30000,190.8559
tGPLVM,linear,50000,198.8041
tGPLVM,linear,73233,207.9224
VAE,deep,100,11.9334
VAE,deep,500,22.022
VAE,deep,1000,34.6997
VAE,deep,2000,56.8094
VAE,deep,5000,138.3776
VAE,deep,10000,276.0708
VAE,deep,20000,556.369
VAE,deep,30000,806.0257
VAE,deep,50000,1377.7144
VAE,deep,73233,1994.1385
scvis,deep,100,211.6284
scvis,deep,500,1832.4837
scvis,deep,1000,1918.5078
scvis,deep,2000,1911.1657
scvis,deep,5000,2052.3041
scvis,deep,10000,2013.3169
scvis,deep,20000,2614.9503
scvis,deep,30000,4009.07
scvis,deep,50000,6552.7855
scvis,deep,73233,9444.5761
VASC,deep,100,50.1786
VASC,deep,500,236.1364
VASC,deep,1000,293.7521
VASC,deep,2000,616.4961
VASC,deep,5000,1612.6928
VASC,deep,10000,3279.3251
VASC,deep,20000,6868.5756
VASC,deep,30000,10333.3334
VASC,deep,50000,17233.7631
VASC,deep,73233,25268.5643
SAUCIE,deep,100,1.2138
SAUCIE,deep,500,1.8917
SAUCIE,deep,1000,2.1576
SAUCIE,deep,2000,2.1064
SAUCIE,deep,5000,2.1008
SAUCIE,deep,10000,2.1906
SAUCIE,deep,20000,2.4304
SAUCIE,deep,30000,2.5824
SAUCIE,deep,50000,2.9545
SAUCIE,deep,73233,3.5225
scScope,deep,100,2.8799
scScope,deep,500,12.233
scScope,deep,1000,25.4367
scScope,deep,2000,54.3729
scScope,deep,5000,131.6594
scScope,deep,10000,265.2333
scScope,deep,20000,547.2283
scScope,deep,30000,831.0314
scScope,deep,50000,1465.8099
scScope,deep,73233,2165.0811
SCDRHA,deep,100,13.4948
SCDRHA,deep,500,19.1957
SCDRHA,deep,1000,23.9838
SCDRHA,deep,2000,34.2379
SCDRHA,deep,5000,114.9631
SCDRHA,deep,10000,403.0337
SCDRHA,deep,20000,1523.0705
SCDRHA,deep,30000,3607.1984
scGAE,deep,100,3.3701
scGAE,deep,500,8.325
scGAE,deep,1000,11.2597
scGAE,deep,2000,21.4132
scGAE,deep,5000,109.2785
scGAE,deep,10000,385.0757
scGAE,deep,20000,1454.8681
scGAE,deep,30000,3407.1552
DREAM,deep,100,21.2281
DREAM,deep,500,60.585
DREAM,deep,1000,78.4985
DREAM,deep,2000,119.4392
DREAM,deep,5000,242.9155
DREAM,deep,10000,403.4404
DREAM,deep,20000,1276.4306
DREAM,deep,30000,3291.2063
DRA,deep,100,19.8257
DRA,deep,500,41.7908
DRA,deep,1000,90.3003
DRA,deep,2000,191.9577
DRA,deep,5000,490.9225
DRA,deep,10000,977.6974
DRA,deep,20000,1953.9418
DRA,deep,30000,2958.1166
DRA,deep,50000,4911.1828
DRA,deep,73233,7192.8711
UMAP,graph,100,7.3263
UMAP,graph,500,7.8606
UMAP,graph,1000,8.8949
UMAP,graph,2000,10.9978
UMAP,graph,5000,18.2254
UMAP,graph,10000,20.5021
UMAP,graph,20000,21.0645
UMAP,graph,30000,24.7539
UMAP,graph,50000,33.1832
UMAP,graph,73233,44.8445
SIMLR,graph,100,6.709
SIMLR,graph,500,63.242
SIMLR,graph,1000,333.832
SIMLR,graph,2000,859.031
SIMLR,graph,5000,6701.459
PHATE,graph,100,0.1692
PHATE,graph,500,1.1761
PHATE,graph,1000,2.8714
PHATE,graph,2000,11.9533
PHATE,graph,5000,18.7085
PHATE,graph,10000,25.2539
PHATE,graph,20000,50.7408
PHATE,graph,30000,101.7064
PHATE,graph,50000,247.3897
PHATE,graph,73233,549.2445
EDGE,graph,100,1.67
EDGE,graph,500,3.77
EDGE,graph,1000,7.205
EDGE,graph,2000,20.817
EDGE,graph,5000,88.257
EDGE,graph,10000,292.73
EDGE,graph,20000,1044.28
EDGE,graph,30000,2286.593
EDGE,graph,50000,6291.383
EDGE,graph,73233,13138.446
SPDR,graph,100,7.3422
SPDR,graph,500,11.9595
SPDR,graph,1000,17.2563
SPDR,graph,2000,33.7356
SPDR,graph,5000,111.9396
SPDR,graph,10000,349.379
SPDR,graph,20000,1317.4856
SPDR,graph,30000,2783.2725
SPDR,graph,50000,8019.0221
SPDR,graph,73233,20562.4158
IVIS,metric,100,1.7547
IVIS,metric,500,6.0299
IVIS,metric,1000,3.6939
IVIS,metric,2000,6.929
IVIS,metric,5000,17.9125
IVIS,metric,10000,30.0125
IVIS,metric,20000,55.6686
IVIS,metric,30000,86.5241
IVIS,metric,50000,277.5137
IVIS,metric,73233,197.2723
PaCMAP,metric,100,1.0578
PaCMAP,metric,500,2.7955
PaCMAP,metric,1000,3.8256
PaCMAP,metric,2000,4.0356
PaCMAP,metric,5000,12.0148
PaCMAP,metric,10000,20.8543
PaCMAP,metric,20000,37.8158
PaCMAP,metric,30000,61.5718
PaCMAP,metric,50000,103.9398
PaCMAP,metric,73233,156.4359
t-SNE,metric,100,0.172
t-SNE,metric,500,1.127
t-SNE,metric,1000,2.728
t-SNE,metric,2000,5.787
t-SNE,metric,5000,13.933
t-SNE,metric,10000,33.049
t-SNE,metric,20000,81.9
t-SNE,metric,30000,128.055
t-SNE,metric,50000,264.369
t-SNE,metric,73233,443.098
TriMap,metric,100,1.043
TriMap,metric,500,1.7598
TriMap,metric,1000,1.3973
TriMap,metric,2000,3.2175
TriMap,metric,5000,5.2514
TriMap,metric,10000,8.8213
TriMap,metric,20000,16.5012
TriMap,metric,30000,24.6515
TriMap,metric,50000,41.2584
TriMap,metric,73233,64.3344
SQuaD-MDS,metric,100,2.6305
SQuaD-MDS,metric,500,5.2896
SQuaD-MDS,metric,1000,8.8595
SQuaD-MDS,metric,2000,18.0011
SQuaD-MDS,metric,5000,49.1924
SQuaD-MDS,metric,10000,101.1721
SQuaD-MDS,metric,20000,219.9959
SQuaD-MDS,metric,30000,341.1186
SQuaD-MDS,metric,50000,617.2955
SQuaD-MDS,metric,73233,996.3987
