method_id,family_short,n_cells,peak_memory_gb
PCA,linear,100,0.074
PCA,linear,500,0.122
PCA,linear,1000,0.135
PCA,linear,2000,0.151
PCA,linear,5000,0.261
PCA,linear,10000,0.492
PCA,linear,20000,0.805
PCA,linear,30000,1.09
PCA,linear,50000,2.195
PCA,linear,73233,2.75
GLMPCA,linear,100,0.126
GLMPCA,linear,500,0.133
GLMPCA,linear,1000,0.171
GLMPCA,linear,2000,0.236
GLMPCA,linear,5000,0.443
GLMPCA,linear,10000,0.628
GLMPCA,linear,20000,1.364
GLMPCA,linear,30000,2.098
GLMPCA,linear,50000,3.676
GLMPCA,linear,73233,5.027
pCMF,linear,100,0.123
pCMF,linear,500,0.154
pCMF,linear,1000,0.187
pCMF,linear,2000,0.241
pCMF,linear,5000,0.454
pCMF,linear,10000,0.783
pCMF,linear,20000,1.403
pCMF,linear,30000,2.001
pCMF,linear,50000,3.465
pCMF,linear,73233,4.882
ZIFA,linear,100,0.151
ZIFA,linear,500,0.193
ZIFA,linear,1000,0.266
ZIFA,linear,2000,0.412
ZIFA,linear,5000,0.824
ZIFA,linear,10000,1.542
ZIFA,linear,20000,2.898
ZIFA,linear,30000,4.266
ZIFA,linear,50000,7.032
ZIFA,linear,73233,10.25
scGBM,linear,100,0.246
scGBM,linear,500,0.284
scGBM,linear,1000,0.329
scGBM,linear,2000,0.382
scGBM,linear,5000,0.591
scGBM,linear,10000,0.894
scGBM,linear,20000,1.58
scGBM,linear,30000,2.258
scGBM,linear,50000,3.369
scGBM,linear,73233,5.252
SSNMDI,linear,100,1.361
SSNMDI,linear,500,1.405
SSNMDI,linear,1000,1.452
SSNMDI,linear,2000,1.623
SSNMDI,linear,5000,2.122
SSNMDI,linear,10000,3.108
SSNMDI,linear,20000,6.096
SSNMDI,linear,30000,10.657
tGPLVM,linear,100,0.534
tGPLVM,linear,500,0.586
tGPLVM,linear,1000,0.591
tGPLVM,linear,2000,0.599
tGPLVM,linear,5000,0.623
tGPLVM,linear,10000,0.666
tGPLVM,linear,20000,0.747
tGPLVM,linear,30000,0.953
tGPLVM,linear,50000,1.442
tGPLVM,linear,73233,2.01
VAE,deep,100,0.549
VAE,deep,500,0.569
VAE,deep,1000,0.584
VAE,deep,2000,0.625
VAE,deep,5000,0.732
VAE,deep,10000,0.906
VAE,deep,20000,1.24
VAE,deep,30000,1.643
VAE,deep,50000,2.357
VAE,deep,73233,3.161
scvis,deep,100,0.243
scvis,deep,500,0.274
scvis,deep,1000,0.276
scvis,deep,2000,0.308
scvis,deep,5000,0.404
scvis,deep,10000,0.596
scvis,deep,20000,0.792
scvis,deep,30000,1.095
scvis,deep,50000,1.701
scvis,deep,73233,2.085
VASC,deep,100,0.276
VASC,deep,500,0.301
VASC,deep,1000,0.35
VASC,deep,2000,0.41
VASC,deep,5000,0.587
VASC,deep,10000,0.884
VASC,deep,20000,1.353
VASC,deep,30000,1.886
VASC,deep,50000,2.952
VASC,deep,73233,4.152
SAUCIE,deep,100,0.289
SAUCIE,deep,500,0.317
SAUCIE,deep,1000,0.317
SAUCIE,deep,2000,0.32
SAUCIE,deep,5000,0.338
SAUCIE,deep,10000,0.396
SAUCIE,deep,20000,0.503
SAUCIE,deep,30000,0.61
SAUCIE,deep,50000,0.838
SAUCIE,deep,73233,1.189
scScope,deep,100,0.544
scScope,deep,500,0.562
scScope,deep,1000,0.585
scScope,deep,2000,0.647
scScope,deep,5000,0.992
scScope,deep,10000,2.122
scScope,deep,20000,2.395
scScope,deep,30000,2.555
scScope,deep,50000,2.87
scScope,deep,73233,3.253
SCDRHA,deep,100,0.626
SCDRHA,deep,500,0.681
SCDRHA,deep,1000,0.829
SCDRHA,deep,2000,1.355
SCDRHA,deep,5000,4.447
SCDRHA,deep,10000,14.139
SCDRHA,deep,20000,51.777
SCDRHA,deep,30000,112.055
scGAE,deep,100,0.514
scGAE,deep,500,0.566
scGAE,deep,1000,0.702
scGAE,deep,2000,1.319
scGAE,deep,5000,2.841
scGAE,deep,10000,9.077
scGAE,deep,20000,32.544
scGAE,deep,30000,71.689
DREAM,deep,100,1.112
DREAM,deep,500,1.113
DREAM,deep,1000,1.12
DREAM,deep,2000,1.132
DREAM,deep,5000,1.149
DREAM,deep,10000,2.193
DREAM,deep,20000,6.924
DREAM,deep,30000,14.564
DRA,deep,100,0.359
DRA,deep,500,0.38
DRA,deep,1000,0.411
DRA,deep,2000,0.439
DRA,deep,5000,0.527
DRA,deep,10000,0.678
DRA,deep,20000,0.787
DRA,deep,30000,0.933
DRA,deep,50000,1.317
DRA,deep,73233,1.768
UMAP,graph,100,0.722
UMAP,graph,500,0.729
UMAP,graph,1000,0.741
UMAP,graph,2000,0.776
UMAP,graph,5000,0.902
UMAP,graph,10000,1.053
UMAP,graph,20000,1.339
UMAP,graph,30000,1.621
UMAP,graph,50000,2.286
UMAP,graph,73233,3.183
SIMLR,graph,100,0.544
SIMLR,graph,500,0.909
SIMLR,graph,1000,2.069
SIMLR,graph,2000,6.936
SIMLR,graph,5000,36.338
PHATE,graph,100,0.156
PHATE,graph,500,0.179
PHATE,graph,1000,0.23
PHATE,graph,2000,0.401
PHATE,graph,5000,0.504
PHATE,graph,10000,0.577
PHATE,graph,20000,0.831
PHATE,graph,30000,1.077
PHATE,graph,50000,1.563
PHATE,graph,73233,2.195
EDGE,graph,100,2.851
EDGE,graph,500,2.859
EDGE,graph,1000,2.876
EDGE,graph,2000,2.927
EDGE,graph,5000,3.212
EDGE,graph,10000,4.131
EDGE,graph,20000,7.646
EDGE,graph,30000,13.393
EDGE,graph,50000,31.582
EDGE,graph,73233,63.961
SPDR,graph,100,0.323
SPDR,graph,500,0.351
SPDR,graph,1000,0.39
SPDR,graph,2000,0.464
SPDR,graph,5000,0.698
SPDR,graph,10000,1.153
SPDR,graph,20000,1.935
SPDR,graph,30000,2.725
SPDR,graph,50000,4.257
SPDR,graph,73233,6.022
IVIS,metric,100,0.577
IVIS,metric,500,0.613
IVIS,metric,1000,0.657
IVIS,metric,2000,0.675
IVIS,metric,5000,0.727
IVIS,metric,10000,0.76
IVIS,metric,20000,0.904
IVIS,metric,30000,1.08
IVIS,metric,50000,1.369
IVIS,metric,73233,1.673
PaCMAP,metric,100,0.241
PaCMAP,metric,500,0.25
PaCMAP,metric,1000,0.264
PaCMAP,metric,2000,0.287
PaCMAP,metric,5000,0.36
PaCMAP,metric,10000,0.491
PaCMAP,metric,20000,0.769
PaCMAP,metric,30000,1.004
PaCMAP,metric,50000,1.515
PaCMAP,metric,73233,2.05
t-SNE,metric,100,0.08
t-SNE,metric,500,0.128
t-SNE,metric,1000,0.146
t-SNE,metric,2000,0.168
t-SNE,metric,5000,0.266
t-SNE,metric,10000,0.506
t-SNE,metric,20000,0.752
t-SNE,metric,30000,1.09
t-SNE,metric,50000,1.912
t-SNE,metric,73233,2.76
TriMap,metric,100,0.276
TriMap,metric,500,0.281
TriMap,metric,1000,0.291
TriMap,metric,2000,0.305
TriMap,metric,5000,0.345
TriMap,metric,10000,0.414
TriMap,metric,20000,0.62
TriMap,metric,30000,0.804
TriMap,metric,50000,1.158
TriMap,metric,73233,1.569
SQuaD-MDS,metric,100,0.26
SQuaD-MDS,metric,500,0.271
SQuaD-MDS,metric,1000,0.281
SQuaD-MDS,metric,2000,0.296
SQuaD-MDS,metric,5000,0.361
SQuaD-MDS,metric,10000,0.438
SQuaD-MDS,metric,20000,0.666
SQuaD-MDS,metric,30000,0.845
SQuaD-MDS,metric,50000,1.384
SQuaD-MDS,metric,73233,1.849
