method_id,family_short,n_cells,runtime_seconds,peak_memory_gb
SIMLR,graph,5000,6701.459,36.338
SSNMDI,linear,30000,12040.6073,10.657
DREAM,deep,30000,3291.2063,14.564
SCDRHA,deep,30000,3607.1984,112.055
scGAE,deep,30000,3407.1552,71.689
SAUCIE,deep,73233,3.5225,1.189
SQuaD-MDS,metric,73233,996.3987,1.849
UMAP,graph,73233,44.8445,3.183
PHATE,graph,73233,549.2445,2.195
IVIS,metric,73233,197.2723,1.673
DRA,deep,73233,7192.8711,1.768
TriMap,metric,73233,64.3344,1.569
PaCMAP,metric,73233,156.4359,2.05
PCA,linear,73233,13.89,2.75
t-SNE,metric,73233,443.098,2.76
VAE,deep,73233,1994.1385,3.161
GLMPCA,linear,73233,821.787,5.027
scGBM,linear,73233,573.543,5.252
VASC,deep,73233,25268.5643,4.152
tGPLVM,linear,73233,207.9224,2.01
pCMF,linear,73233,18998.695,4.882
scScope,deep,73233,2165.0811,3.253
SPDR,graph,73233,20562.4158,6.022
EDGE,graph,73233,13138.446,63.961
scvis,deep,73233,9444.5761,2.085
ZIFA,linear,73233,9119.3146,10.25
