method_id,family_short,metric,scaling_exponent
PCA,linear,runtime,0.7251189501277866
PCA,linear,memory,0.5688260510937555
GLMPCA,linear,runtime,1.1517384520979401
GLMPCA,linear,memory,0.6105310319928845
pCMF,linear,runtime,0.8720499307899605
pCMF,linear,memory,0.5982348931563817
ZIFA,linear,runtime,0.9570241323602666
ZIFA,linear,memory,0.6932865336897454
scGBM,linear,runtime,0.9869648120024945
scGBM,linear,memory,0.4823952251320093
SSNMDI,linear,runtime,1.4856662158179914
SSNMDI,linear,memory,0.34115687004978007
tGPLVM,linear,runtime,0.07694635551660377
tGPLVM,linear,memory,0.16541771146145723
VAE,deep,runtime,0.826799358610115
VAE,deep,memory,0.26383810777121014
scvis,deep,runtime,0.4175832672838964
scvis,deep,memory,0.3417664428437088
VASC,deep,runtime,0.955491494327233
VASC,deep,memory,0.42963625917595666
SAUCIE,deep,runtime,0.1211763645368974
SAUCIE,deep,memory,0.19131120902153026
scScope,deep,runtime,1.013008750257656
scScope,deep,memory,0.33084299129401235
SCDRHA,deep,runtime,1.0159194846150421
SCDRHA,deep,memory,0.9687275327215111
scGAE,deep,runtime,1.2625293043293697
scGAE,deep,memory,0.9046856417926405
DREAM,deep,runtime,0.8236622289383116
DREAM,deep,memory,0.40146365096399766
DRA,deep,runtime,0.9471428360711738
DRA,deep,memory,0.23505027030249998
UMAP,graph,runtime,0.2789079303291005
UMAP,graph,memory,0.21389952437944007
SIMLR,graph,runtime,1.759381570723418
SIMLR,graph,memory,1.069157864655885
PHATE,graph,runtime,1.1353073227469908
PHATE,graph,memory,0.4065417261616704
EDGE,graph,runtime,1.4570013223901392
EDGE,graph,memory,0.4302838901494903
SPDR,graph,runtime,1.2718159485896592
SPDR,graph,memory,0.47459528589224814
IVIS,metric,runtime,0.7704946571243103
IVIS,metric,memory,0.1481705466992446
PaCMAP,metric,runtime,0.7695408376393594
PaCMAP,metric,memory,0.3357414388253333
t-SNE,metric,runtime,1.1738236592339284
t-SNE,metric,memory,0.5445283730205722
TriMap,metric,runtime,0.6540710835392529
TriMap,metric,memory,0.26091266339180236
SQuaD-MDS,metric,runtime,0.9535547074383485
SQuaD-MDS,metric,memory,0.2958963272286104
