method_id,family_short,completion_adjusted_score,completed_levels,mean_runtime_score,mean_memory_score,missing_levels
PCA,linear,0.9956197104165023,10,0.9998583033883606,0.9913811174446439,0
t-SNE,metric,0.9920806155752387,10,0.9929750473195487,0.9911861838309288,0
SAUCIE,deep,0.9875135784202925,10,0.9992380469391016,0.9757891099014835,0
TriMap,metric,0.9873750998655186,10,0.998206875584548,0.9765433241464893,0
PHATE,graph,0.9869825514802221,10,0.9931611324102574,0.980803970550187,0
PaCMAP,metric,0.9866737982131409,10,0.9961603460946474,0.9771872503316347,0
GLMPCA,linear,0.9794500862630425,10,0.9842930200372317,0.9746071524888533,0
SQuaD-MDS,metric,0.978228815005251,10,0.9800019541209342,0.9764556758895679,0
scGBM,linear,0.9712930689874236,10,0.9880037803139914,0.9545823576608559,0
IVIS,metric,0.9615220779660654,10,0.993505958886628,0.9295381970455026,0
UMAP,graph,0.9498988125478449,10,0.9936113792499617,0.9061862458457284,0
VAE,deep,0.9376267236093938,10,0.9475200089450319,0.9277334382737559,0
scScope,deep,0.9327338421484853,10,0.9521141154368374,0.9133535688601334,0
tGPLVM,linear,0.9235550503242363,10,0.9108908860129841,0.9362192146354886,0
DRA,deep,0.8933161380378746,10,0.8267488989935681,0.9598833770821813,0
SPDR,graph,0.8747438660426985,10,0.81096771308662,0.9385200189987769,0
ZIFA,linear,0.8497862792046638,10,0.7659980816521857,0.933574476757142,0
pCMF,linear,0.7378323262331025,10,0.5026042069385395,0.9730604455276654,0
VASC,deep,0.6808761719844842,10,0.40608112152006753,0.955671222448901,0
DREAM,deep,0.6750881893633136,8,0.8934219566326963,0.7942985167755877,2
scvis,deep,0.6675670216042118,10,0.36131624001268337,0.97381780319574,0
scGAE,deep,0.6335546385547299,8,0.9170793208350828,0.6668072755517421,2
EDGE,graph,0.631611287114304,10,0.8648948226156898,0.3983277516129183,0
SSNMDI,linear,0.5845346104564062,8,0.7210609722103707,0.7402755539306447,2
SCDRHA,deep,0.564345813236675,8,0.9045752832262788,0.5062892498654087,2
SIMLR,graph,0.2574546113451742,5,0.6622925247969618,0.36752592058373523,5
