method_id,family_short,runtime_seconds,common_cell
PCA,linear,9.198,50000
GLMPCA,linear,433.37,50000
pCMF,linear,12988.65,50000
ZIFA,linear,8466.2815,50000
scGBM,linear,343.0,50000
SSNMDI,,,50000
tGPLVM,linear,198.8041,50000
VAE,deep,1377.7144,50000
scvis,deep,6552.7855,50000
VASC,deep,17233.7631,50000
SAUCIE,deep,2.9545,50000
scScope,deep,1465.8099,50000
SCDRHA,,,50000
scGAE,,,50000
DREAM,,,50000
DRA,deep,4911.1828,50000
UMAP,graph,33.1832,50000
SIMLR,,,50000
PHATE,graph,247.3897,50000
EDGE,graph,6291.383,50000
SPDR,graph,8019.0221,50000
IVIS,metric,277.5137,50000
PaCMAP,metric,103.9398,50000
t-SNE,metric,264.369,50000
TriMap,metric,41.2584,50000
SQuaD-MDS,metric,617.2955,50000
