method_id,family_short,peak_memory_gb,common_cell
PCA,linear,2.195,50000
GLMPCA,linear,3.676,50000
pCMF,linear,3.465,50000
ZIFA,linear,7.032,50000
scGBM,linear,3.369,50000
SSNMDI,,,50000
tGPLVM,linear,1.442,50000
VAE,deep,2.357,50000
scvis,deep,1.701,50000
VASC,deep,2.952,50000
SAUCIE,deep,0.838,50000
scScope,deep,2.87,50000
SCDRHA,,,50000
scGAE,,,50000
DREAM,,,50000
DRA,deep,1.317,50000
UMAP,graph,2.286,50000
SIMLR,,,50000
PHATE,graph,1.563,50000
EDGE,graph,31.582,50000
SPDR,graph,4.257,50000
IVIS,metric,1.369,50000
PaCMAP,metric,1.515,50000
t-SNE,metric,1.912,50000
TriMap,metric,1.158,50000
SQuaD-MDS,metric,1.384,50000
