method_id,family_short,completed_levels,completion_fraction,largest_completed_cells
PCA,linear,10,1.0,73233
GLMPCA,linear,10,1.0,73233
pCMF,linear,10,1.0,73233
ZIFA,linear,10,1.0,73233
scGBM,linear,10,1.0,73233
SSNMDI,linear,8,0.8,30000
tGPLVM,linear,10,1.0,73233
VAE,deep,10,1.0,73233
scvis,deep,10,1.0,73233
VASC,deep,10,1.0,73233
SAUCIE,deep,10,1.0,73233
scScope,deep,10,1.0,73233
SCDRHA,deep,8,0.8,30000
scGAE,deep,8,0.8,30000
DREAM,deep,8,0.8,30000
DRA,deep,10,1.0,73233
UMAP,graph,10,1.0,73233
SIMLR,graph,5,0.5,5000
PHATE,graph,10,1.0,73233
EDGE,graph,10,1.0,73233
SPDR,graph,10,1.0,73233
IVIS,metric,10,1.0,73233
PaCMAP,metric,10,1.0,73233
t-SNE,metric,10,1.0,73233
TriMap,metric,10,1.0,73233
SQuaD-MDS,metric,10,1.0,73233
