method_id,family_short,n_cells,runtime_seconds,peak_memory_gb,pareto_efficient
SAUCIE,deep,50000,2.9545,0.838,True
PCA,linear,50000,9.198,2.195,False
UMAP,graph,50000,33.1832,2.286,False
TriMap,metric,50000,41.2584,1.158,False
PaCMAP,metric,50000,103.9398,1.515,False
tGPLVM,linear,50000,198.8041,1.442,False
PHATE,graph,50000,247.3897,1.563,False
t-SNE,metric,50000,264.369,1.912,False
IVIS,metric,50000,277.5137,1.369,False
scGBM,linear,50000,343.0,3.369,False
GLMPCA,linear,50000,433.37,3.676,False
SQuaD-MDS,metric,50000,617.2955,1.384,False
VAE,deep,50000,1377.7144,2.357,False
scScope,deep,50000,1465.8099,2.87,False
DRA,deep,50000,4911.1828,1.317,False
EDGE,graph,50000,6291.383,31.582,False
scvis,deep,50000,6552.7855,1.701,False
SPDR,graph,50000,8019.0221,4.257,False
ZIFA,linear,50000,8466.2815,7.032,False
pCMF,linear,50000,12988.65,3.465,False
VASC,deep,50000,17233.7631,2.952,False
