objective,method_id,row_index,family_short,local,local_symbol,local_class,global,global_symbol,global_class,kmeans,kmeans_symbol,kmeans_class,runtime_5000,runtime_5000_label,runtime_5000_class,memory_5000,memory_5000_label,memory_5000_class,runtime_20000,runtime_20000_label,runtime_20000_class,memory_20000,memory_20000_label,memory_20000_class,runtime_50000,runtime_50000_label,runtime_50000_class,memory_50000,memory_50000_label,memory_50000_class,dropout,dropout_symbol,dropout_class,batch,batch_symbol,batch_class
Rare types,TriMap,0,metric,0.6032353265399039,±,medium,0.6994661169262986,±,medium,0.6135668201808979,±,medium,5.2514,5s,good,0.345,353M,good,16.5012,17s,good,0.62,635M,good,41.2584,41s,good,1.158,1.2G,medium,0.8094005723587481,+,good,0.8191835918517567,+,good
Rare types,SQuaD-MDS,1,metric,0.5398925997396424,±,medium,0.7864235049042944,+,good,0.4533303667745416,-,poor,49.1924,49s,good,0.361,370M,good,219.9959,4m,medium,0.666,682M,good,617.2955,10m,medium,1.384,1.4G,medium,0.4605976736673461,-,poor,0.4488760915009307,-,poor
Rare types,UMAP,2,graph,0.5957865069885228,±,medium,0.6314566903197647,±,medium,0.5787030536884906,±,medium,18.2254,18s,good,0.902,924M,good,21.0645,21s,good,1.339,1.3G,medium,33.1832,33s,good,2.286,2.3G,medium,0.7363175599173759,+,good,0.7406210252556327,+,good
Rare types,SPDR,3,graph,0.6091308881853755,±,medium,0.6376890721367113,±,medium,0.6051493963156584,±,medium,111.9396,2m,medium,0.698,715M,good,1317.4856,22m,medium,1.935,1.9G,medium,8019.0221,>2h,poor,4.257,4.3G,medium,0.7894464974567726,+,good,0.8250916654117788,+,good
Trajectory,TriMap,4,metric,0.6032353265399039,±,medium,0.6994661169262986,±,medium,0.6135668201808979,±,medium,5.2514,5s,good,0.345,353M,good,16.5012,17s,good,0.62,635M,good,41.2584,41s,good,1.158,1.2G,medium,0.8094005723587481,+,good,0.8191835918517567,+,good
Trajectory,PCA,5,linear,0.5074567132662589,±,medium,0.7027580770175762,+,good,0.5496896108206788,±,medium,2.03,2s,good,0.261,267M,good,4.75,5s,good,0.805,824M,good,9.198,9s,good,2.195,2.2G,medium,0.6179425051771087,±,medium,0.6401869366319992,±,medium
Trajectory,SQuaD-MDS,6,metric,0.5398925997396424,±,medium,0.7864235049042944,+,good,0.4533303667745416,-,poor,49.1924,49s,good,0.361,370M,good,219.9959,4m,medium,0.666,682M,good,617.2955,10m,medium,1.384,1.4G,medium,0.4605976736673461,-,poor,0.4488760915009307,-,poor
Trajectory,PHATE,7,graph,0.5686017316082013,±,medium,0.6554083269367512,±,medium,0.6026995685005394,±,medium,18.7085,19s,good,0.504,516M,good,50.7408,51s,good,0.831,851M,good,247.3897,4m,medium,1.563,1.6G,medium,0.6941392720671452,±,medium,0.7635522731182207,+,good
Trajectory,scGBM,8,linear,0.5416193573455529,±,medium,0.6719312442573321,±,medium,0.619152124305037,±,medium,37.756,38s,good,0.591,605M,good,149.652,2m,medium,1.58,1.6G,medium,343.0,6m,medium,3.369,3.4G,medium,0.631828944810057,±,medium,0.6187665185637615,±,medium
Clustering,TriMap,9,metric,0.6032353265399039,±,medium,0.6994661169262986,±,medium,0.6135668201808979,±,medium,5.2514,5s,good,0.345,353M,good,16.5012,17s,good,0.62,635M,good,41.2584,41s,good,1.158,1.2G,medium,0.8094005723587481,+,good,0.8191835918517567,+,good
Clustering,t-SNE,10,metric,0.5814595153513493,±,medium,0.5970260528389916,±,medium,0.6069200273836196,±,medium,13.933,14s,good,0.266,272M,good,81.9,1m,medium,0.752,770M,good,264.369,4m,medium,1.912,1.9G,medium,0.718298695448338,+,good,0.7988032095216566,+,good
Clustering,GLMPCA,11,linear,0.531259778612163,±,medium,0.651949832821111,±,medium,0.6089174964733217,±,medium,18.088,18s,good,0.443,454M,good,149.407,2m,medium,1.364,1.4G,medium,433.37,7m,medium,3.676,3.7G,medium,0.6283380253013339,±,medium,0.5220904643611852,±,medium
Large scale,PCA,12,linear,0.5074567132662589,±,medium,0.7027580770175762,+,good,0.5496896108206788,±,medium,2.03,2s,good,0.261,267M,good,4.75,5s,good,0.805,824M,good,9.198,9s,good,2.195,2.2G,medium,0.6179425051771087,±,medium,0.6401869366319992,±,medium
Large scale,TriMap,13,metric,0.6032353265399039,±,medium,0.6994661169262986,±,medium,0.6135668201808979,±,medium,5.2514,5s,good,0.345,353M,good,16.5012,17s,good,0.62,635M,good,41.2584,41s,good,1.158,1.2G,medium,0.8094005723587481,+,good,0.8191835918517567,+,good
Large scale,UMAP,14,graph,0.5957865069885228,±,medium,0.6314566903197647,±,medium,0.5787030536884906,±,medium,18.2254,18s,good,0.902,924M,good,21.0645,21s,good,1.339,1.3G,medium,33.1832,33s,good,2.286,2.3G,medium,0.7363175599173759,+,good,0.7406210252556327,+,good
