method_id,family_short,stability_median,kmeans,overall_mean
PCA,linear,0.6433135268166096,0.5496896108206788,0.6657548517014871
GLMPCA,linear,0.6283380253013339,0.6089174964733217,0.6494584276874026
pCMF,linear,0.1561589731092854,0.3176635045736471,0.3048144314445394
ZIFA,linear,0.673999358565281,0.5488192473653639,0.6401960460227428
scGBM,linear,0.631828944810057,0.619152124305037,0.6612292952743584
SSNMDI,linear,0.1283489757314842,0.266730758858186,0.2588247155943185
tGPLVM,linear,0.6462262035048215,0.3393132312671147,0.5392288988298692
VAE,deep,0.7531423067743244,0.4604032134262717,0.6687609749941713
scvis,deep,0.1837238407264874,0.5839409281387437,0.4027456162164333
VASC,deep,0.2392720919935177,0.5964052983154925,0.4118874769800309
SAUCIE,deep,0.1284953173528071,0.3560838415899095,0.3389765317041786
scScope,deep,0.3237324923136432,0.3655855426935524,0.4188993806582431
SCDRHA,deep,0.5822961329173291,0.5188718778524604,0.5706008716857678
scGAE,deep,0.2673444803659,0.4827543461123558,0.4210726284247049
DREAM,deep,0.3235436553975042,0.4625721309434902,0.4426571028170286
DRA,deep,0.1419303280015415,0.1628000892042154,0.2533899982627054
UMAP,graph,0.7220519657722203,0.5787030536884906,0.7020324184648239
SIMLR,graph,0.779467033975275,0.6118213617765522,0.6763450593541998
PHATE,graph,0.7599223856597612,0.6026995685005394,0.7234169814967952
EDGE,graph,0.6387207073474909,0.4864847730478798,0.5835930721157682
SPDR,graph,0.8100189879941458,0.6051493963156584,0.7400553279056139
IVIS,metric,0.4683533702780085,0.5485191477885653,0.5626180617269411
PaCMAP,metric,0.1581152240832739,0.3068713903410505,0.3155577092786158
t-SNE,metric,0.780537852726464,0.6069200273836196,0.7411426175706313
TriMap,metric,0.8205474864344582,0.6135668201808979,0.7681472501279613
SQuaD-MDS,metric,0.4752298654418079,0.4533303667745416,0.5622242072080099
