method_id,family_short,n_cells,runtime_seconds,peak_memory_gb
PCA,linear,50000,9.198,2.195
GLMPCA,linear,50000,433.37,3.676
pCMF,linear,50000,12988.65,3.465
ZIFA,linear,50000,8466.2815,7.032
scGBM,linear,50000,343.0,3.369
tGPLVM,linear,50000,198.8041,1.442
VAE,deep,50000,1377.7144,2.357
scvis,deep,50000,6552.7855,1.701
VASC,deep,50000,17233.7631,2.952
SAUCIE,deep,50000,2.9545,0.838
scScope,deep,50000,1465.8099,2.87
DRA,deep,50000,4911.1828,1.317
UMAP,graph,50000,33.1832,2.286
PHATE,graph,50000,247.3897,1.563
EDGE,graph,50000,6291.383,31.582
SPDR,graph,50000,8019.0221,4.257
IVIS,metric,50000,277.5137,1.369
PaCMAP,metric,50000,103.9398,1.515
t-SNE,metric,50000,264.369,1.912
TriMap,metric,50000,41.2584,1.158
SQuaD-MDS,metric,50000,617.2955,1.384
