method_id,family_short,dropout,batch,mean_score
PCA,linear,0.6179425051771087,0.6401869366319992,0.6290647209045539
GLMPCA,linear,0.6283380253013339,0.5220904643611852,0.5752142448312596
pCMF,linear,0.1561589731092854,0.2116221168570321,0.18389054498315877
ZIFA,linear,0.673999358565281,0.6222746880540116,0.6481370233096464
scGBM,linear,0.631828944810057,0.6187665185637615,0.6252977316869093
SSNMDI,linear,0.1283489757314842,0.17997451154617974,0.15416174363883198
tGPLVM,linear,0.3417613703557104,0.5527211468552431,0.44724125860547675
VAE,deep,0.6514191590973684,0.7222647650378332,0.6868419620676007
scvis,deep,0.1879875301954028,0.3475463574047831,0.26776694380009297
VASC,deep,0.1977258983773877,0.3506265337962561,0.27417621608682186
SAUCIE,deep,0.1425288163931026,0.19485684792948255,0.16869283216129258
scScope,deep,0.2167338648898084,0.2471384546024956,0.231936159746152
SCDRHA,deep,0.4334723283056567,0.5816183249819687,0.5075453266438127
scGAE,deep,0.2673444803659,0.2565976814588194,0.26197108091235966
DREAM,deep,0.2134687825421119,0.3133303478040385,0.2633995651730752
DRA,deep,0.151570266462682,0.12436920384647496,0.1379697351545785
UMAP,graph,0.7363175599173759,0.7406210252556327,0.7384692925865043
SIMLR,graph,0.7406136202267539,0.7833245193714589,0.7619690697991064
PHATE,graph,0.6941392720671452,0.7635522731182207,0.7288457725926829
EDGE,graph,0.5626324737591465,0.6288856542109917,0.5957590639850692
SPDR,graph,0.7894464974567726,0.8250916654117788,0.8072690814342758
IVIS,metric,0.5059534193078405,0.41808702814471715,0.4620202237262788
PaCMAP,metric,0.1581152240832739,0.20041597098768194,0.1792655975354779
t-SNE,metric,0.718298695448338,0.7988032095216566,0.7585509524849974
TriMap,metric,0.8094005723587481,0.8191835918517567,0.8142920821052524
SQuaD-MDS,metric,0.4605976736673461,0.4488760915009307,0.4547368825841384
