table,rows,columns,path
canonical_method_manifest.csv,30,13,Publication\paper\revision_figures\canonical_source_tables\canonical_method_manifest.csv
canonical_real_dataset_atlas_from_supplementary_table_s2.csv,50,15,Publication\paper\revision_figures\canonical_source_tables\canonical_real_dataset_atlas_from_supplementary_table_s2.csv
canonical_simulated_dataset_atlas_from_excel.csv,50,11,Publication\paper\revision_figures\canonical_source_tables\canonical_simulated_dataset_atlas_from_excel.csv
excel_real_dataset_detail_rows.csv,49,10,Publication\paper\revision_figures\canonical_source_tables\excel_real_dataset_detail_rows.csv
original_clustering_raw_long.csv,40830,9,Publication\paper\revision_figures\canonical_source_tables\original_clustering_raw_long.csv
original_efficiency_scaling_long.csv,247,7,Publication\paper\revision_figures\canonical_source_tables\original_efficiency_scaling_long.csv
original_score_long.csv,225,6,Publication\paper\revision_figures\canonical_source_tables\original_score_long.csv
original_score_matrix.csv,29,10,Publication\paper\revision_figures\canonical_source_tables\original_score_matrix.csv
original_stability_score_long.csv,252,6,Publication\paper\revision_figures\canonical_source_tables\original_stability_score_long.csv
original_topology_raw_long.csv,92996,9,Publication\paper\revision_figures\canonical_source_tables\original_topology_raw_long.csv
repository_dataset_availability.csv,197,5,Publication\paper\revision_figures\canonical_source_tables\repository_dataset_availability.csv
revision_control_dataset_manifest.csv,60,11,Publication\paper\revision_figures\canonical_source_tables\revision_control_dataset_manifest.csv
revision_dimension_sensitivity.csv,640,41,Publication\paper\revision_figures\canonical_source_tables\revision_dimension_sensitivity.csv
revision_input_gene_sensitivity.csv,576,37,Publication\paper\revision_figures\canonical_source_tables\revision_input_gene_sensitivity.csv
revision_scvi_control.csv,215,28,Publication\paper\revision_figures\canonical_source_tables\revision_scvi_control.csv
revision_visualization_workflow.csv,192,30,Publication\paper\revision_figures\canonical_source_tables\revision_visualization_workflow.csv
