method_raw,value,method_id,parent_method,dataset_category,dataset_id,clustering_algorithm,metric,source_file
ivis,0.37,IVIS,IVIS,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
scGAE,0.28,scGAE,scGAE,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
VASC,0.81,VASC,VASC,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
scGBM,0.33,scGBM,scGBM,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
SPDR,0.44,SPDR,SPDR,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
pCMF,0.22,pCMF,pCMF,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
SQuaD_MDS_hybrid,0.35,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
SCDRHA,0.37,SCDRHA,SCDRHA,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
TSNE,0.34,t-SNE,t-SNE,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
UMAP,0.37,UMAP,UMAP,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
VAE,0.35,VAE,VAE,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
DREAM,0.2,DREAM,DREAM,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
ZIFA,0.26,ZIFA,ZIFA,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
SSNMDI,0.0,SSNMDI,SSNMDI,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
tGPLVM,0.14,tGPLVM,tGPLVM,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
SQuaD_MDS,0.32,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
GLMPCA,0.33,GLMPCA,GLMPCA,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
PaCMAP,0.0,PaCMAP,PaCMAP,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
ParametricUMAP200,0.38,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
scScope,0.34,scScope,scScope,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
scvis,0.46,scvis,scvis,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
EDGE,0.19,EDGE,EDGE,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
TriMap,0.42,TriMap,TriMap,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
ParametricUMAP50,0.38,Parametric UMAP 50,UMAP,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
DRA,0.0,DRA,DRA,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
SIMLR,0.47,SIMLR,SIMLR,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
SAUCIE,0.11,SAUCIE,SAUCIE,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
PCA,0.52,PCA,PCA,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
PHATE,0.49,PHATE,PHATE,benchmarker,Baron_mouse,kmeans,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_ARI.csv
ivis,0.58,IVIS,IVIS,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
scGAE,0.51,scGAE,scGAE,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
VASC,0.72,VASC,VASC,benchmarker,Baron_mouse,kmeans,COMP,metric\cluster\benchmarker\Baron_mouse\indicators\kmeans_COMP.csv
