method_raw,method_id,parent_method,n_cells,peak_memory_gb,runtime_seconds,source_file
SAUCIE,SAUCIE,SAUCIE,100,0.289,1.2138,metric\efficiency\cell_100.csv
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,100,0.26,2.6305,metric\efficiency\cell_100.csv
UMAP,UMAP,UMAP,100,0.722,7.3263,metric\efficiency\cell_100.csv
SCDRHA,SCDRHA,SCDRHA,100,0.626,13.4948,metric\efficiency\cell_100.csv
scGAE,scGAE,scGAE,100,0.514,3.3701,metric\efficiency\cell_100.csv
VASC,VASC,VASC,100,0.276,50.1786,metric\efficiency\cell_100.csv
PHATE,PHATE,PHATE,100,0.156,0.1692,metric\efficiency\cell_100.csv
DRA,DRA,DRA,100,0.359,19.8257,metric\efficiency\cell_100.csv
VAE,VAE,VAE,100,0.549,11.9334,metric\efficiency\cell_100.csv
ivis,IVIS,IVIS,100,0.577,1.7547,metric\efficiency\cell_100.csv
ZIFA,ZIFA,ZIFA,100,0.151,20.487,metric\efficiency\cell_100.csv
scScope,scScope,scScope,100,0.544,2.8799,metric\efficiency\cell_100.csv
TriMap,TriMap,TriMap,100,0.276,1.043,metric\efficiency\cell_100.csv
SPDR,SPDR,SPDR,100,0.323,7.3422,metric\efficiency\cell_100.csv
PaCMAP,PaCMAP,PaCMAP,100,0.241,1.0578,metric\efficiency\cell_100.csv
DREAM,DREAM,DREAM,100,1.112,21.2281,metric\efficiency\cell_100.csv
scvis,scvis,scvis,100,0.243,211.6284,metric\efficiency\cell_100.csv
PCA,PCA,PCA,100,0.074,0.14,metric\efficiency\cell_100.csv
t-SNE,t-SNE,t-SNE,100,0.08,0.172,metric\efficiency\cell_100.csv
GLMPCA,GLMPCA,GLMPCA,100,0.126,0.312,metric\efficiency\cell_100.csv
scGBM,scGBM,scGBM,100,0.246,1.032,metric\efficiency\cell_100.csv
SIMLR,SIMLR,SIMLR,100,0.544,6.709,metric\efficiency\cell_100.csv
EDGE,EDGE,EDGE,100,2.851,1.67,metric\efficiency\cell_100.csv
tGPLVM,tGPLVM,tGPLVM,100,0.534,98.5127,metric\efficiency\cell_100.csv
pCMF,pCMF,pCMF,100,0.123,70.587,metric\efficiency\cell_100.csv
SSNMDI,SSNMDI,SSNMDI,100,1.361,2.9841,metric\efficiency\cell_100.csv
SAUCIE,SAUCIE,SAUCIE,1000,0.317,2.1576,metric\efficiency\cell_1000.csv
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,1000,0.281,8.8595,metric\efficiency\cell_1000.csv
UMAP,UMAP,UMAP,1000,0.741,8.8949,metric\efficiency\cell_1000.csv
SCDRHA,SCDRHA,SCDRHA,1000,0.829,23.9838,metric\efficiency\cell_1000.csv
scGAE,scGAE,scGAE,1000,0.702,11.2597,metric\efficiency\cell_1000.csv
VASC,VASC,VASC,1000,0.35,293.7521,metric\efficiency\cell_1000.csv
PHATE,PHATE,PHATE,1000,0.23,2.8714,metric\efficiency\cell_1000.csv
DRA,DRA,DRA,1000,0.411,90.3003,metric\efficiency\cell_1000.csv
VAE,VAE,VAE,1000,0.584,34.6997,metric\efficiency\cell_1000.csv
ivis,IVIS,IVIS,1000,0.657,3.6939,metric\efficiency\cell_1000.csv
ZIFA,ZIFA,ZIFA,1000,0.266,137.2846,metric\efficiency\cell_1000.csv
scScope,scScope,scScope,1000,0.585,25.4367,metric\efficiency\cell_1000.csv
TriMap,TriMap,TriMap,1000,0.291,1.3973,metric\efficiency\cell_1000.csv
SPDR,SPDR,SPDR,1000,0.39,17.2563,metric\efficiency\cell_1000.csv
PaCMAP,PaCMAP,PaCMAP,1000,0.264,3.8256,metric\efficiency\cell_1000.csv
DREAM,DREAM,DREAM,1000,1.12,78.4985,metric\efficiency\cell_1000.csv
scvis,scvis,scvis,1000,0.276,1918.5078,metric\efficiency\cell_1000.csv
PCA,PCA,PCA,1000,0.135,0.494,metric\efficiency\cell_1000.csv
t-SNE,t-SNE,t-SNE,1000,0.146,2.728,metric\efficiency\cell_1000.csv
GLMPCA,GLMPCA,GLMPCA,1000,0.171,15.954,metric\efficiency\cell_1000.csv
scGBM,scGBM,scGBM,1000,0.329,6.733,metric\efficiency\cell_1000.csv
SIMLR,SIMLR,SIMLR,1000,2.069,333.832,metric\efficiency\cell_1000.csv
EDGE,EDGE,EDGE,1000,2.876,7.205,metric\efficiency\cell_1000.csv
tGPLVM,tGPLVM,tGPLVM,1000,0.591,175.731,metric\efficiency\cell_1000.csv
pCMF,pCMF,pCMF,1000,0.187,344.814,metric\efficiency\cell_1000.csv
SSNMDI,SSNMDI,SSNMDI,1000,1.452,31.4526,metric\efficiency\cell_1000.csv
SAUCIE,SAUCIE,SAUCIE,10000,0.396,2.1906,metric\efficiency\cell_10000.csv
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,10000,0.438,101.1721,metric\efficiency\cell_10000.csv
UMAP,UMAP,UMAP,10000,1.053,20.5021,metric\efficiency\cell_10000.csv
SCDRHA,SCDRHA,SCDRHA,10000,14.139,403.0337,metric\efficiency\cell_10000.csv
scGAE,scGAE,scGAE,10000,9.077,385.0757,metric\efficiency\cell_10000.csv
VASC,VASC,VASC,10000,0.884,3279.3251,metric\efficiency\cell_10000.csv
PHATE,PHATE,PHATE,10000,0.577,25.2539,metric\efficiency\cell_10000.csv
DRA,DRA,DRA,10000,0.678,977.6974,metric\efficiency\cell_10000.csv
VAE,VAE,VAE,10000,0.906,276.0708,metric\efficiency\cell_10000.csv
ivis,IVIS,IVIS,10000,0.76,30.0125,metric\efficiency\cell_10000.csv
ZIFA,ZIFA,ZIFA,10000,1.542,1251.757,metric\efficiency\cell_10000.csv
scScope,scScope,scScope,10000,2.122,265.2333,metric\efficiency\cell_10000.csv
TriMap,TriMap,TriMap,10000,0.414,8.8213,metric\efficiency\cell_10000.csv
SPDR,SPDR,SPDR,10000,1.153,349.379,metric\efficiency\cell_10000.csv
PaCMAP,PaCMAP,PaCMAP,10000,0.491,20.8543,metric\efficiency\cell_10000.csv
DREAM,DREAM,DREAM,10000,2.193,403.4404,metric\efficiency\cell_10000.csv
scvis,scvis,scvis,10000,0.596,2013.3169,metric\efficiency\cell_10000.csv
PCA,PCA,PCA,10000,0.492,2.47,metric\efficiency\cell_10000.csv
t-SNE,t-SNE,t-SNE,10000,0.506,33.049,metric\efficiency\cell_10000.csv
GLMPCA,GLMPCA,GLMPCA,10000,0.628,102.51,metric\efficiency\cell_10000.csv
scGBM,scGBM,scGBM,10000,0.894,76.37,metric\efficiency\cell_10000.csv
EDGE,EDGE,EDGE,10000,4.131,292.73,metric\efficiency\cell_10000.csv
tGPLVM,tGPLVM,tGPLVM,10000,0.666,180.091,metric\efficiency\cell_10000.csv
pCMF,pCMF,pCMF,10000,0.783,2730.309,metric\efficiency\cell_10000.csv
SSNMDI,SSNMDI,SSNMDI,10000,3.108,1329.4604,metric\efficiency\cell_10000.csv
SAUCIE,SAUCIE,SAUCIE,2000,0.32,2.1064,metric\efficiency\cell_2000.csv
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,2000,0.296,18.0011,metric\efficiency\cell_2000.csv
UMAP,UMAP,UMAP,2000,0.776,10.9978,metric\efficiency\cell_2000.csv
SCDRHA,SCDRHA,SCDRHA,2000,1.355,34.2379,metric\efficiency\cell_2000.csv
scGAE,scGAE,scGAE,2000,1.319,21.4132,metric\efficiency\cell_2000.csv
VASC,VASC,VASC,2000,0.41,616.4961,metric\efficiency\cell_2000.csv
PHATE,PHATE,PHATE,2000,0.401,11.9533,metric\efficiency\cell_2000.csv
DRA,DRA,DRA,2000,0.439,191.9577,metric\efficiency\cell_2000.csv
VAE,VAE,VAE,2000,0.625,56.8094,metric\efficiency\cell_2000.csv
ivis,IVIS,IVIS,2000,0.675,6.929,metric\efficiency\cell_2000.csv
ZIFA,ZIFA,ZIFA,2000,0.412,250.878,metric\efficiency\cell_2000.csv
scScope,scScope,scScope,2000,0.647,54.3729,metric\efficiency\cell_2000.csv
TriMap,TriMap,TriMap,2000,0.305,3.2175,metric\efficiency\cell_2000.csv
SPDR,SPDR,SPDR,2000,0.464,33.7356,metric\efficiency\cell_2000.csv
PaCMAP,PaCMAP,PaCMAP,2000,0.287,4.0356,metric\efficiency\cell_2000.csv
DREAM,DREAM,DREAM,2000,1.132,119.4392,metric\efficiency\cell_2000.csv
scvis,scvis,scvis,2000,0.308,1911.1657,metric\efficiency\cell_2000.csv
PCA,PCA,PCA,2000,0.151,0.672,metric\efficiency\cell_2000.csv
t-SNE,t-SNE,t-SNE,2000,0.168,5.787,metric\efficiency\cell_2000.csv
GLMPCA,GLMPCA,GLMPCA,2000,0.236,15.841,metric\efficiency\cell_2000.csv
scGBM,scGBM,scGBM,2000,0.382,11.398,metric\efficiency\cell_2000.csv
SIMLR,SIMLR,SIMLR,2000,6.936,859.031,metric\efficiency\cell_2000.csv
