method_raw,method_id,parent_method,perturbation_axis,score,source_file
DRA,DRA,DRA,batch_number,0.1228004943800916,metric\score\stability\batch_number.csv
DREAM,DREAM,DREAM,batch_number,0.2346611056350288,metric\score\stability\batch_number.csv
EDGE,EDGE,EDGE,batch_number,0.6047432946958767,metric\score\stability\batch_number.csv
GLMPCA,GLMPCA,GLMPCA,batch_number,0.5822375728962703,metric\score\stability\batch_number.csv
PCA,PCA,PCA,batch_number,0.6230615936038728,metric\score\stability\batch_number.csv
PHATE,PHATE,PHATE,batch_number,0.7509444010430857,metric\score\stability\batch_number.csv
PaCMAP,PaCMAP,PaCMAP,batch_number,0.1612423976576456,metric\score\stability\batch_number.csv
ParametricUMAP200,Parametric UMAP 200,UMAP,batch_number,0.7318519296756356,metric\score\stability\batch_number.csv
ParametricUMAP50,Parametric UMAP 50,UMAP,batch_number,0.7226460330751955,metric\score\stability\batch_number.csv
SAUCIE,SAUCIE,SAUCIE,batch_number,0.0967731072780321,metric\score\stability\batch_number.csv
SCDRHA,SCDRHA,SCDRHA,batch_number,0.5684412422141812,metric\score\stability\batch_number.csv
SIMLR,SIMLR,SIMLR,batch_number,0.734441897406966,metric\score\stability\batch_number.csv
SPDR,SPDR,SPDR,batch_number,0.828186730149157,metric\score\stability\batch_number.csv
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,batch_number,0.4389382649974664,metric\score\stability\batch_number.csv
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,batch_number,0.6307819992621655,metric\score\stability\batch_number.csv
SSNMDI,SSNMDI,SSNMDI,batch_number,0.1238912957608975,metric\score\stability\batch_number.csv
TSNE,t-SNE,t-SNE,batch_number,0.8127512213431818,metric\score\stability\batch_number.csv
TriMap,TriMap,TriMap,batch_number,0.831850874082982,metric\score\stability\batch_number.csv
UMAP,UMAP,UMAP,batch_number,0.7114589363686984,metric\score\stability\batch_number.csv
VAE,VAE,VAE,batch_number,0.6998787746973938,metric\score\stability\batch_number.csv
ZIFA,ZIFA,ZIFA,batch_number,0.6164117674080922,metric\score\stability\batch_number.csv
ivis,IVIS,IVIS,batch_number,0.4147993450872369,metric\score\stability\batch_number.csv
pCMF,pCMF,pCMF,batch_number,0.0841578713968135,metric\score\stability\batch_number.csv
scGAE,scGAE,scGAE,batch_number,0.1861098846400222,metric\score\stability\batch_number.csv
scGBM,scGBM,scGBM,batch_number,0.5977214925743723,metric\score\stability\batch_number.csv
scScope,scScope,scScope,batch_number,0.1211816426341798,metric\score\stability\batch_number.csv
scvis,scvis,scvis,batch_number,0.1518117335397595,metric\score\stability\batch_number.csv
tGPLVM,tGPLVM,tGPLVM,batch_number,0.6324226350305697,metric\score\stability\batch_number.csv
DRA,DRA,DRA,batch_strength,0.0821565199607506,metric\score\stability\batch_strength.csv
DREAM,DREAM,DREAM,batch_strength,0.3518784368393156,metric\score\stability\batch_strength.csv
EDGE,EDGE,EDGE,batch_strength,0.6340310914466445,metric\score\stability\batch_strength.csv
GLMPCA,GLMPCA,GLMPCA,batch_strength,0.4371419213369575,metric\score\stability\batch_strength.csv
PCA,PCA,PCA,batch_strength,0.6483941740179835,metric\score\stability\batch_strength.csv
PHATE,PHATE,PHATE,batch_strength,0.7758320285952033,metric\score\stability\batch_strength.csv
PaCMAP,PaCMAP,PaCMAP,batch_strength,0.2073143894984769,metric\score\stability\batch_strength.csv
ParametricUMAP200,Parametric UMAP 200,UMAP,batch_strength,0.7823971672712663,metric\score\stability\batch_strength.csv
ParametricUMAP50,Parametric UMAP 50,UMAP,batch_strength,0.7796487722495822,metric\score\stability\batch_strength.csv
SAUCIE,SAUCIE,SAUCIE,batch_strength,0.2534541835016986,metric\score\stability\batch_strength.csv
SCDRHA,SCDRHA,SCDRHA,batch_strength,0.5808443621510366,metric\score\stability\batch_strength.csv
SIMLR,SIMLR,SIMLR,batch_strength,0.8334878435537535,metric\score\stability\batch_strength.csv
SPDR,SPDR,SPDR,batch_strength,0.8264667231283578,metric\score\stability\batch_strength.csv
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,batch_strength,0.458813918004395,metric\score\stability\batch_strength.csv
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,batch_strength,0.7068702956246898,metric\score\stability\batch_strength.csv
SSNMDI,SSNMDI,SSNMDI,batch_strength,0.1985116978210893,metric\score\stability\batch_strength.csv
TSNE,t-SNE,t-SNE,batch_strength,0.7848551977001316,metric\score\stability\batch_strength.csv
TriMap,TriMap,TriMap,batch_strength,0.8094769321154288,metric\score\stability\batch_strength.csv
UMAP,UMAP,UMAP,batch_strength,0.7606701177924915,metric\score\stability\batch_strength.csv
