availability_source,dataset_id,has_cell_metadata,has_counts_matrix,relative_path
results_real,benchmarker/Baron_mouse,True,True,scRNA-DRComparison-main\results\data\real\benchmarker\Baron_mouse
results_real,benchmarker/Darmanis,True,True,scRNA-DRComparison-main\results\data\real\benchmarker\Darmanis
results_real,benchmarker/Pancreatic,True,True,scRNA-DRComparison-main\results\data\real\benchmarker\Pancreatic
results_real,benchmarker/Silver,True,True,scRNA-DRComparison-main\results\data\real\benchmarker\Silver
results_real,benchmarker/Zhengmix4eq,True,True,scRNA-DRComparison-main\results\data\real\benchmarker\Zhengmix4eq
results_real,scDesign3/data/1.0/ACINAR,True,True,scRNA-DRComparison-main\results\data\real\scDesign3\data\1.0\ACINAR
results_real,scDesign3/data/1.0/ATAC,True,True,scRNA-DRComparison-main\results\data\real\scDesign3\data\1.0\ATAC
results_real,scDesign3/data/1.0/BATCH,True,True,scRNA-DRComparison-main\results\data\real\scDesign3\data\1.0\BATCH
results_real,scDesign3/data/1.0/CITE,True,True,scRNA-DRComparison-main\results\data\real\scDesign3\data\1.0\CITE
results_real,scDesign3/data/1.0/EMBYRO,True,True,scRNA-DRComparison-main\results\data\real\scDesign3\data\1.0\EMBYRO
results_real,scDesign3/data/1.0/IFNB,True,True,scRNA-DRComparison-main\results\data\real\scDesign3\data\1.0\IFNB
results_real,scDesign3/data/1.0/MARROW,True,True,scRNA-DRComparison-main\results\data\real\scDesign3\data\1.0\MARROW
results_real,scDesign3/data/1.0/MOBSC,True,True,scRNA-DRComparison-main\results\data\real\scDesign3\data\1.0\MOBSC
results_real,scDesign3/data/1.0/MOBSP,True,True,scRNA-DRComparison-main\results\data\real\scDesign3\data\1.0\MOBSP
results_real,scDesign3/data/1.0/OVARIAN,True,True,scRNA-DRComparison-main\results\data\real\scDesign3\data\1.0\OVARIAN
results_real,scDesign3/data/1.0/PANCREAS,True,True,scRNA-DRComparison-main\results\data\real\scDesign3\data\1.0\PANCREAS
results_real,scDesign3/data/1.0/SCGEMMETH,True,True,scRNA-DRComparison-main\results\data\real\scDesign3\data\1.0\SCGEMMETH
results_real,scDesign3/data/1.0/SCGEMRNA,True,True,scRNA-DRComparison-main\results\data\real\scDesign3\data\1.0\SCGEMRNA
results_real,scDesign3/data/1.0/SCIATAC,True,True,scRNA-DRComparison-main\results\data\real\scDesign3\data\1.0\SCIATAC
results_real,scDesign3/data/1.0/SLIDE,True,True,scRNA-DRComparison-main\results\data\real\scDesign3\data\1.0\SLIDE
results_real,scDesign3/data/1.0/VISIUM,True,True,scRNA-DRComparison-main\results\data\real\scDesign3\data\1.0\VISIUM
results_real,SIMLR/Pollen,True,True,scRNA-DRComparison-main\results\data\real\SIMLR\Pollen
