dataset_group,dataset_id,matrix_path_or_source,label_or_metadata_path,n_cells,n_genes,label_status,availability,planned_use,atlas_layer,dataset_type
downsampling,cell_100,datasets/downsampling/cell_100.csv,datasets/downsampling/label/cell_100.csv,100,720,10 observed classes,locally_available,"scalability,scVI smoke,workflow sanity",targeted_revision_control_subset,downsampling
downsampling,cell_500,datasets/downsampling/cell_500.csv,datasets/downsampling/label/cell_500.csv,500,720,10 observed classes,locally_available,"scalability,scVI smoke,workflow sanity",targeted_revision_control_subset,downsampling
downsampling,cell_1000,datasets/downsampling/cell_1000.csv,datasets/downsampling/label/cell_1000.csv,1000,720,10 observed classes,locally_available,"scalability,scVI smoke,workflow sanity",targeted_revision_control_subset,downsampling
downsampling,cell_2000,datasets/downsampling/cell_2000.csv,datasets/downsampling/label/cell_2000.csv,2000,720,10 observed classes,locally_available,"scalability,scVI smoke,workflow sanity",targeted_revision_control_subset,downsampling
downsampling,cell_5000,datasets/downsampling/cell_5000.csv,datasets/downsampling/label/cell_5000.csv,5000,720,10 observed classes,locally_available,"scalability,scVI smoke,workflow sanity",targeted_revision_control_subset,downsampling
downsampling,cell_10000,datasets/downsampling/cell_10000.csv,datasets/downsampling/label/cell_10000.csv,10000,720,10 observed classes,locally_available,"scalability,scVI smoke,workflow sanity",targeted_revision_control_subset,downsampling
downsampling,cell_20000,datasets/downsampling/cell_20000.csv,datasets/downsampling/label/cell_20000.csv,20000,720,10 observed classes,locally_available,"scalability,scVI smoke,workflow sanity",targeted_revision_control_subset,downsampling
downsampling,cell_30000,datasets/downsampling/cell_30000.csv,datasets/downsampling/label/cell_30000.csv,30000,720,10 observed classes,locally_available,"scalability,scVI smoke,workflow sanity",targeted_revision_control_subset,downsampling
downsampling,cell_50000,datasets/downsampling/cell_50000.csv,datasets/downsampling/label/cell_50000.csv,50000,720,10 observed classes,locally_available,"scalability,scVI smoke,workflow sanity",targeted_revision_control_subset,downsampling
downsampling,cell_73233,datasets/downsampling/cell_73233.csv,datasets/downsampling/label/cell_73233.csv,73233,720,10 observed classes,locally_available,"scalability,scVI smoke,workflow sanity",targeted_revision_control_subset,downsampling
synthetic,default,datasets/simulate/default/counts_matrix.csv,datasets/simulate/default/cell_metadata.csv,2000,3000,simulation labels and batch metadata,locally_available,"dimension sensitivity,variability,circularity-safe label evaluation",targeted_revision_control_subset,simulated
synthetic,cell_100,datasets/simulate/cell_100/counts_matrix.csv,datasets/simulate/cell_100/cell_metadata.csv,100,3000,simulation labels and batch metadata,locally_available,"dimension sensitivity,variability,circularity-safe label evaluation",targeted_revision_control_subset,simulated
synthetic,cell_500,datasets/simulate/cell_500/counts_matrix.csv,datasets/simulate/cell_500/cell_metadata.csv,500,3000,simulation labels and batch metadata,locally_available,"dimension sensitivity,variability,circularity-safe label evaluation",targeted_revision_control_subset,simulated
synthetic,cell_1k,datasets/simulate/cell_1k/counts_matrix.csv,datasets/simulate/cell_1k/cell_metadata.csv,1000,3000,simulation labels and batch metadata,locally_available,"dimension sensitivity,variability,circularity-safe label evaluation",targeted_revision_control_subset,simulated
synthetic,cell_5k,datasets/simulate/cell_5k/counts_matrix.csv,datasets/simulate/cell_5k/cell_metadata.csv,5000,3000,simulation labels and batch metadata,locally_available,"dimension sensitivity,variability,circularity-safe label evaluation",targeted_revision_control_subset,simulated
synthetic,cell_1w,datasets/simulate/cell_1w/counts_matrix.csv,datasets/simulate/cell_1w/cell_metadata.csv,10000,3000,simulation labels and batch metadata,locally_available,"dimension sensitivity,variability,circularity-safe label evaluation",targeted_revision_control_subset,simulated
synthetic,cell_2w,datasets/simulate/cell_2w/counts_matrix.csv,datasets/simulate/cell_2w/cell_metadata.csv,20000,3000,simulation labels and batch metadata,locally_available,"dimension sensitivity,variability,circularity-safe label evaluation",targeted_revision_control_subset,simulated
synthetic,cell_3w,datasets/simulate/cell_3w/counts_matrix.csv,datasets/simulate/cell_3w/cell_metadata.csv,30000,3000,simulation labels and batch metadata,locally_available,"dimension sensitivity,variability,circularity-safe label evaluation",targeted_revision_control_subset,simulated
synthetic,cell_4w,datasets/simulate/cell_4w/counts_matrix.csv,datasets/simulate/cell_4w/cell_metadata.csv,40000,3000,simulation labels and batch metadata,locally_available,"dimension sensitivity,variability,circularity-safe label evaluation",targeted_revision_control_subset,simulated
synthetic,cell_5w,datasets/simulate/cell_5w/counts_matrix.csv,datasets/simulate/cell_5w/cell_metadata.csv,50000,3000,simulation labels and batch metadata,locally_available,"dimension sensitivity,variability,circularity-safe label evaluation",targeted_revision_control_subset,simulated
synthetic,celltype_7,datasets/simulate/celltype_7/counts_matrix.csv,datasets/simulate/celltype_7/cell_metadata.csv,2000,3000,simulation labels and batch metadata,locally_available,"dimension sensitivity,variability,circularity-safe label evaluation",targeted_revision_control_subset,simulated
synthetic,celltype_9,datasets/simulate/celltype_9/counts_matrix.csv,datasets/simulate/celltype_9/cell_metadata.csv,2000,3000,simulation labels and batch metadata,locally_available,"dimension sensitivity,variability,circularity-safe label evaluation",targeted_revision_control_subset,simulated
synthetic,celltype_11,datasets/simulate/celltype_11/counts_matrix.csv,datasets/simulate/celltype_11/cell_metadata.csv,2000,3000,simulation labels and batch metadata,locally_available,"dimension sensitivity,variability,circularity-safe label evaluation",targeted_revision_control_subset,simulated
synthetic,celltype_13,datasets/simulate/celltype_13/counts_matrix.csv,datasets/simulate/celltype_13/cell_metadata.csv,2000,3000,simulation labels and batch metadata,locally_available,"dimension sensitivity,variability,circularity-safe label evaluation",targeted_revision_control_subset,simulated
synthetic,celltype_15,datasets/simulate/celltype_15/counts_matrix.csv,datasets/simulate/celltype_15/cell_metadata.csv,2000,3000,simulation labels and batch metadata,locally_available,"dimension sensitivity,variability,circularity-safe label evaluation",targeted_revision_control_subset,simulated
synthetic,dropout_-1,datasets/simulate/dropout_-1/counts_matrix.csv,datasets/simulate/dropout_-1/cell_metadata.csv,2000,3000,simulation labels and batch metadata,locally_available,"dimension sensitivity,variability,circularity-safe label evaluation",targeted_revision_control_subset,simulated
synthetic,dropout_0,datasets/simulate/dropout_0/counts_matrix.csv,datasets/simulate/dropout_0/cell_metadata.csv,2000,3000,simulation labels and batch metadata,locally_available,"dimension sensitivity,variability,circularity-safe label evaluation",targeted_revision_control_subset,simulated
synthetic,dropout_1,datasets/simulate/dropout_1/counts_matrix.csv,datasets/simulate/dropout_1/cell_metadata.csv,2000,3000,simulation labels and batch metadata,locally_available,"dimension sensitivity,variability,circularity-safe label evaluation",targeted_revision_control_subset,simulated
synthetic,dropout_2,datasets/simulate/dropout_2/counts_matrix.csv,datasets/simulate/dropout_2/cell_metadata.csv,2000,3000,simulation labels and batch metadata,locally_available,"dimension sensitivity,variability,circularity-safe label evaluation",targeted_revision_control_subset,simulated
synthetic,dropout_3,datasets/simulate/dropout_3/counts_matrix.csv,datasets/simulate/dropout_3/cell_metadata.csv,2000,3000,simulation labels and batch metadata,locally_available,"dimension sensitivity,variability,circularity-safe label evaluation",targeted_revision_control_subset,simulated
