Method,score,perturbation_axis
DRA,0.18192140756381064,cell_number
DREAM,0.38687099649410356,cell_number
EDGE,0.5604993384057282,cell_number
GLMPCA,0.573507819771753,cell_number
PCA,0.616455363476588,cell_number
PHATE,0.6429055983048865,cell_number
PaCMAP,0.20716733564441836,cell_number
ParametricUMAP200,0.6303658965654847,cell_number
ParametricUMAP50,0.6283996262676835,cell_number
SAUCIE,0.17108629442177975,cell_number
SCDRHA,0.41690026332038693,cell_number
SIMLR,0.6463512875046347,cell_number
SPDR,0.6548306863329899,cell_number
SQuaD_MDS,0.4671226861085856,cell_number
SQuaD_MDS_hybrid,0.5859103199246436,cell_number
SSNMDI,0.18103315080339952,cell_number
TSNE,0.6542926573754787,cell_number
TriMap,0.6792621235375167,cell_number
UMAP,0.6089159144944561,cell_number
VAE,0.5682655393870434,cell_number
VASC,0.2236982651178752,cell_number
ZIFA,0.6097001344232774,cell_number
ivis,0.46835337027800855,cell_number
pCMF,0.16923663777801776,cell_number
scGAE,0.2211997949101027,cell_number
scGBM,0.5899547568751836,cell_number
scScope,0.41454710450142856,cell_number
scvis,0.2117396279888581,cell_number
tGPLVM,0.5456419161647857,cell_number
DRA,0.1373449176630851,gene_number
DREAM,0.32354365539750424,gene_number
EDGE,0.7081746564497402,gene_number
GLMPCA,0.6860977816362185,gene_number
PCA,0.701153535610611,gene_number
PHATE,0.7826248320961792,gene_number
PaCMAP,0.13346851203555413,gene_number
ParametricUMAP200,0.7985198591680097,gene_number
ParametricUMAP50,0.7893697997555895,gene_number
SAUCIE,0.12149123537701847,gene_number
SCDRHA,0.6076885877464806,gene_number
SIMLR,0.8339158577271562,gene_number
SPDR,0.8167994271478541,gene_number
SQuaD_MDS,0.47546509032920614,gene_number
SQuaD_MDS_hybrid,0.748958522340797,gene_number
SSNMDI,0.12449866194647397,gene_number
TSNE,0.7935450983057611,gene_number
TriMap,0.8492088931577124,gene_number
UMAP,0.792892252378319,gene_number
VAE,0.7811840722340656,gene_number
VASC,0.25569608156061274,gene_number
ZIFA,0.6921109775991681,gene_number
ivis,0.5682257415122134,gene_number
pCMF,0.1088272467791159,gene_number
scGAE,0.35651502566120746,gene_number
scGBM,0.6689837489050527,gene_number
scScope,0.4129631334843422,gene_number
scvis,0.1524726425462599,gene_number
tGPLVM,0.6642416244269096,gene_number
DRA,0.1875914892994396,celltype_number
DREAM,0.18110349991318148,celltype_number
EDGE,0.4188429835647847,celltype_number
GLMPCA,0.4885715914178216,celltype_number
PCA,0.5061927877835251,celltype_number
PHATE,0.749372778976643,celltype_number
PaCMAP,0.19480143473012945,celltype_number
ParametricUMAP200,0.6889981054014409,celltype_number
ParametricUMAP50,0.6711739473124514,celltype_number
SAUCIE,0.12849531735280711,celltype_number
SCDRHA,0.5049396402344675,celltype_number
SIMLR,0.750278846631177,celltype_number
SPDR,0.8100189879941458,celltype_number
SQuaD_MDS,0.42260270267531574,celltype_number
SQuaD_MDS_hybrid,0.5445099283314345,celltype_number
SSNMDI,0.1777065006922351,celltype_number
TSNE,0.8056197974930152,celltype_number
TriMap,0.8252921848601374,celltype_number
UMAP,0.6422903630249431,celltype_number
VAE,0.761322953186834,celltype_number
VASC,0.37511999142285457,celltype_number
ZIFA,0.45042179521533726,celltype_number
ivis,0.22181234781823309,celltype_number
pCMF,0.15721238140260074,celltype_number
scGAE,0.1515441051291794,celltype_number
scGBM,0.4703381460364417,celltype_number
scScope,0.18433281553317615,celltype_number
scvis,0.18372384072648745,celltype_number
tGPLVM,0.18441439879532004,celltype_number
DRA,0.15157026646268204,dropout
DREAM,0.2134687825421119,dropout
EDGE,0.5626324737591465,dropout
GLMPCA,0.6283380253013339,dropout
PCA,0.6179425051771087,dropout
PHATE,0.6941392720671452,dropout
PaCMAP,0.15811522408327397,dropout
ParametricUMAP200,0.7544444382933462,dropout
ParametricUMAP50,0.7268938881124171,dropout
SAUCIE,0.1425288163931026,dropout
SCDRHA,0.4334723283056567,dropout
SIMLR,0.7406136202267539,dropout
SPDR,0.7894464974567726,dropout
SQuaD_MDS,0.47522986544180795,dropout
SQuaD_MDS_hybrid,0.6926905434634683,dropout
SSNMDI,0.12834897573148427,dropout
TSNE,0.7235148382366041,dropout
TriMap,0.8094005723587481,dropout
UMAP,0.7363175599173759,dropout
VAE,0.6514191590973684,dropout
VASC,0.19772589837738774,dropout
ZIFA,0.673999358565281,dropout
ivis,0.5182357373670781,dropout
pCMF,0.15615897310928542,dropout
scGAE,0.2673444803659,dropout
scGBM,0.631828944810057,dropout
scScope,0.21673386488980845,dropout
scvis,0.18798753019540282,dropout
tGPLVM,0.3417613703557104,dropout
DRA,0.147953049652695,batch_number
DREAM,0.257775928128298,batch_number
EDGE,0.6190506010744925,batch_number
GLMPCA,0.5976497439306158,batch_number
PCA,0.6370603464473887,batch_number
PHATE,0.7599223856597612,batch_number
PaCMAP,0.18342081116611753,batch_number
ParametricUMAP200,0.7416583278510961,batch_number
ParametricUMAP50,0.7330460013240457,batch_number
SAUCIE,0.12116654272533492,batch_number
SCDRHA,0.5809405170466084,batch_number
SIMLR,0.7423980902247473,batch_number
SPDR,0.8324435837852139,batch_number
SQuaD_MDS,0.45941854237980084,batch_number
SQuaD_MDS_hybrid,0.6438542896333982,batch_number
SSNMDI,0.14752810678542222,batch_number
TSNE,0.8165936552708422,batch_number
TriMap,0.8365248105593526,batch_number
UMAP,0.7220519657722203,batch_number
VAE,0.7068323376386827,batch_number
VASC,0.24094011462369572,batch_number
ZIFA,0.6306609855427232,batch_number
ivis,0.43414914980206837,batch_number
pCMF,0.10994831884637044,batch_number
scGAE,0.20814699631111172,batch_number
scGBM,0.6129803794053647,batch_number
scScope,0.14588706352384234,batch_number
scvis,0.17519261007841963,batch_number
tGPLVM,0.6462262035048215,batch_number
DRA,0.10078535804025493,batch_strength
DREAM,0.368884767479779,batch_strength
EDGE,0.6387207073474909,batch_strength
GLMPCA,0.44653118479175485,batch_strength
PCA,0.6433135268166096,batch_strength
PHATE,0.7671821605766802,batch_strength
PaCMAP,0.21741113080924648,batch_strength
ParametricUMAP200,0.7777005639449414,batch_strength
ParametricUMAP50,0.7749758923737213,batch_strength
SAUCIE,0.2685471531336302,batch_strength
SCDRHA,0.5822961329173291,batch_strength
SIMLR,0.8242509485181703,batch_strength
SPDR,0.8177397470383436,batch_strength
SQuaD_MDS,0.46973625799816876,batch_strength
SQuaD_MDS_hybrid,0.710928808185965,batch_strength
SSNMDI,0.21242091630693732,batch_strength
TSNE,0.780537852726464,batch_strength
TriMap,0.801842373144161,batch_strength
UMAP,0.759190084739045,batch_strength
VAE,0.7376971924369837,batch_strength
VASC,0.46031295296881647,batch_strength
ZIFA,0.6138883905653001,batch_strength
ivis,0.4331397983287862,batch_strength
pCMF,0.31329591486769387,batch_strength
scGAE,0.3050483666065271,batch_strength
scGBM,0.6245526577221584,batch_strength
scScope,0.3483898456811489,batch_strength
scvis,0.5199001047311467,batch_strength
tGPLVM,0.4592160902056647,batch_strength
DRA,0.14193032800154154,de_prob
DREAM,0.4949174840828475,de_prob
EDGE,0.6944008778792343,de_prob
GLMPCA,0.7020876304536972,de_prob
PCA,0.7168465228064798,de_prob
PHATE,0.7579157810107363,de_prob
PaCMAP,0.15195403328335283,de_prob
ParametricUMAP200,0.756296372650777,de_prob
ParametricUMAP50,0.7603356369454606,de_prob
SAUCIE,0.12805013548788097,de_prob
SCDRHA,0.6181902576222604,de_prob
SIMLR,0.779467033975275,de_prob
SPDR,0.7926978560829233,de_prob
SQuaD_MDS,0.49572672673903445,de_prob
