method_raw,value,method_id,parent_method,dataset_category,dataset_id,clustering_algorithm,metric
ivis,0.37,IVIS,IVIS,benchmarker,Baron_mouse,kmeans,ARI
scGAE,0.28,scGAE,scGAE,benchmarker,Baron_mouse,kmeans,ARI
VASC,0.81,VASC,VASC,benchmarker,Baron_mouse,kmeans,ARI
scGBM,0.33,scGBM,scGBM,benchmarker,Baron_mouse,kmeans,ARI
SPDR,0.44,SPDR,SPDR,benchmarker,Baron_mouse,kmeans,ARI
pCMF,0.22,pCMF,pCMF,benchmarker,Baron_mouse,kmeans,ARI
SQuaD_MDS_hybrid,0.35,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,ARI
SCDRHA,0.37,SCDRHA,SCDRHA,benchmarker,Baron_mouse,kmeans,ARI
TSNE,0.34,t-SNE,t-SNE,benchmarker,Baron_mouse,kmeans,ARI
UMAP,0.37,UMAP,UMAP,benchmarker,Baron_mouse,kmeans,ARI
VAE,0.35,VAE,VAE,benchmarker,Baron_mouse,kmeans,ARI
DREAM,0.2,DREAM,DREAM,benchmarker,Baron_mouse,kmeans,ARI
ZIFA,0.26,ZIFA,ZIFA,benchmarker,Baron_mouse,kmeans,ARI
SSNMDI,0.0,SSNMDI,SSNMDI,benchmarker,Baron_mouse,kmeans,ARI
tGPLVM,0.14,tGPLVM,tGPLVM,benchmarker,Baron_mouse,kmeans,ARI
SQuaD_MDS,0.32,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,ARI
GLMPCA,0.33,GLMPCA,GLMPCA,benchmarker,Baron_mouse,kmeans,ARI
PaCMAP,0.0,PaCMAP,PaCMAP,benchmarker,Baron_mouse,kmeans,ARI
ParametricUMAP200,0.38,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,kmeans,ARI
scScope,0.34,scScope,scScope,benchmarker,Baron_mouse,kmeans,ARI
scvis,0.46,scvis,scvis,benchmarker,Baron_mouse,kmeans,ARI
EDGE,0.19,EDGE,EDGE,benchmarker,Baron_mouse,kmeans,ARI
TriMap,0.42,TriMap,TriMap,benchmarker,Baron_mouse,kmeans,ARI
ParametricUMAP50,0.38,Parametric UMAP 50,UMAP,benchmarker,Baron_mouse,kmeans,ARI
DRA,0.0,DRA,DRA,benchmarker,Baron_mouse,kmeans,ARI
SIMLR,0.47,SIMLR,SIMLR,benchmarker,Baron_mouse,kmeans,ARI
SAUCIE,0.11,SAUCIE,SAUCIE,benchmarker,Baron_mouse,kmeans,ARI
PCA,0.52,PCA,PCA,benchmarker,Baron_mouse,kmeans,ARI
PHATE,0.49,PHATE,PHATE,benchmarker,Baron_mouse,kmeans,ARI
ivis,0.58,IVIS,IVIS,benchmarker,Baron_mouse,kmeans,COMP
scGAE,0.51,scGAE,scGAE,benchmarker,Baron_mouse,kmeans,COMP
VASC,0.72,VASC,VASC,benchmarker,Baron_mouse,kmeans,COMP
scGBM,0.53,scGBM,scGBM,benchmarker,Baron_mouse,kmeans,COMP
SPDR,0.65,SPDR,SPDR,benchmarker,Baron_mouse,kmeans,COMP
pCMF,0.27,pCMF,pCMF,benchmarker,Baron_mouse,kmeans,COMP
SQuaD_MDS_hybrid,0.56,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,COMP
SCDRHA,0.61,SCDRHA,SCDRHA,benchmarker,Baron_mouse,kmeans,COMP
TSNE,0.59,t-SNE,t-SNE,benchmarker,Baron_mouse,kmeans,COMP
UMAP,0.58,UMAP,UMAP,benchmarker,Baron_mouse,kmeans,COMP
VAE,0.6,VAE,VAE,benchmarker,Baron_mouse,kmeans,COMP
DREAM,0.38,DREAM,DREAM,benchmarker,Baron_mouse,kmeans,COMP
ZIFA,0.44,ZIFA,ZIFA,benchmarker,Baron_mouse,kmeans,COMP
SSNMDI,0.03,SSNMDI,SSNMDI,benchmarker,Baron_mouse,kmeans,COMP
tGPLVM,0.28,tGPLVM,tGPLVM,benchmarker,Baron_mouse,kmeans,COMP
SQuaD_MDS,0.49,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,COMP
GLMPCA,0.54,GLMPCA,GLMPCA,benchmarker,Baron_mouse,kmeans,COMP
PaCMAP,0.03,PaCMAP,PaCMAP,benchmarker,Baron_mouse,kmeans,COMP
ParametricUMAP200,0.58,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,kmeans,COMP
scScope,0.57,scScope,scScope,benchmarker,Baron_mouse,kmeans,COMP
scvis,0.61,scvis,scvis,benchmarker,Baron_mouse,kmeans,COMP
EDGE,0.35,EDGE,EDGE,benchmarker,Baron_mouse,kmeans,COMP
TriMap,0.62,TriMap,TriMap,benchmarker,Baron_mouse,kmeans,COMP
ParametricUMAP50,0.59,Parametric UMAP 50,UMAP,benchmarker,Baron_mouse,kmeans,COMP
DRA,0.02,DRA,DRA,benchmarker,Baron_mouse,kmeans,COMP
SIMLR,0.64,SIMLR,SIMLR,benchmarker,Baron_mouse,kmeans,COMP
SAUCIE,0.26,SAUCIE,SAUCIE,benchmarker,Baron_mouse,kmeans,COMP
PCA,0.59,PCA,PCA,benchmarker,Baron_mouse,kmeans,COMP
PHATE,0.63,PHATE,PHATE,benchmarker,Baron_mouse,kmeans,COMP
ivis,0.86,IVIS,IVIS,benchmarker,Baron_mouse,kmeans,HOMO
scGAE,0.76,scGAE,scGAE,benchmarker,Baron_mouse,kmeans,HOMO
VASC,0.81,VASC,VASC,benchmarker,Baron_mouse,kmeans,HOMO
