n_labels,ari,nmi,homogeneity,completeness,silhouette_label,trustworthiness_k30,work_package,dataset_id,method,environment,dimension,seed,max_epochs,n_cells,n_genes,runtime_seconds,max_rss_mb,metric_sample_size,metric_sample_size_requested,method_raw,method_id,parent_method,control_layer,source,standardized,explained_variance_ratio_sum,analysis_inclusion,method_class,max_iter,min_iter,iter_max,iter_min,pseudocount,zero_inflation,sparsity,training_steps,layers,workflow,pca_components,hvg_requested,hvg_actual,n_genes_total,n_genes_input,model_input
10,0.0210826970167977,0.2322162465409195,0.2262126421564736,0.2385472059328583,-0.1929966807365417,0.6047339449541285,scVI reference analysis,cell_100,scVI,Python modern,2,0,1.0,100,720.0,2.6395528316497803,586.62890625,,,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
5,0.2571614528908081,0.2870067845461473,0.2935428340780397,0.2807554597704219,0.0511652790009975,0.5597943463801484,scVI reference analysis,default,scVI,Python modern,2,0,5.0,2000,3000.0,5.510314226150513,779.64453125,,,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
5,0.3473321060519008,0.346976478457588,0.3541221891912104,0.3401134453817327,0.0822157263755798,0.5843316108126546,scVI reference analysis,default,scVI,Python modern,5,0,5.0,2000,3000.0,5.43792986869812,780.203125,,,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
10,-0.0008231191089099,0.0177652546624583,0.0175471463015413,0.0179888533751495,-0.0788549482822418,0.706342448053082,scVI reference analysis,cell_1000,scVI,Python modern,2,0,5.0,1000,720.0,2.947410345077514,623.1015625,,,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
10,-0.0011920352980561,0.0194127071870898,0.0189197102696119,0.0199320838453276,-0.0866292268037796,0.7827709097258599,scVI reference analysis,cell_1000,scVI,Python modern,5,0,5.0,1000,720.0,2.9543707370758057,623.33984375,,,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
5,0.2668037992318133,0.2783223742898773,0.283892177592483,0.2729669183688087,0.0895898714661598,0.5631675961456468,scVI reference analysis,default,scVI,Python modern,2,0,20.0,2000,3000.0,11.776190996170044,790.74609375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
5,0.2916573405962032,0.3499704848997518,0.3521157251986482,0.3478512257638297,0.0258470643311738,0.5621066513174725,scVI reference analysis,default,scVI,Python modern,2,1,20.0,2000,3000.0,11.348794221878052,794.24609375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
5,0.1994740178881533,0.2154432167563114,0.2175315007225325,0.2133946462424075,0.0136831980198621,0.5459645348341434,scVI reference analysis,default,scVI,Python modern,2,2,20.0,2000,3000.0,11.080135583877563,792.0625,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
5,0.5903216097348729,0.5365741285808228,0.5393080110955322,0.5338678236895124,0.2333566099405288,0.6313240044342117,scVI reference analysis,default,scVI,Python modern,5,0,20.0,2000,3000.0,11.495447874069214,796.984375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
5,0.7142995563770914,0.6350960503868315,0.6395789856371646,0.6306755212741908,0.2654597163200378,0.6235758335465166,scVI reference analysis,default,scVI,Python modern,5,1,20.0,2000,3000.0,11.162031888961792,794.109375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
5,0.5778495353339731,0.5573166689011959,0.5568873373884384,0.5577466629097604,0.2422599196434021,0.6126663511554532,scVI reference analysis,default,scVI,Python modern,5,2,20.0,2000,3000.0,11.042961597442629,795.375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
5,0.787915344888505,0.8222218162577285,0.8271988026040815,0.8173043615474086,0.3754907250404358,0.6642649356186578,scVI reference analysis,default,scVI,Python modern,10,0,20.0,2000,3000.0,11.22153377532959,810.02734375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
5,0.9101324230597002,0.8553065147751536,0.8533643584814816,0.8572575314698332,0.3617574572563171,0.6625429095250277,scVI reference analysis,default,scVI,Python modern,10,1,20.0,2000,3000.0,11.18135380744934,795.6171875,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
5,0.9273624249759262,0.8747276491207828,0.8731790479699407,0.8762817529833147,0.4257475733757019,0.6628856826127739,scVI reference analysis,default,scVI,Python modern,10,2,20.0,2000,3000.0,11.704265356063845,796.3828125,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
5,0.9687974340634952,0.93912182006228,0.9397365333441045,0.9385079104640158,0.4620646238327026,0.6771730962735567,scVI reference analysis,default,scVI,Python modern,20,0,20.0,2000,3000.0,11.351761817932127,792.70703125,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
5,0.9825537077885996,0.9638873274428612,0.9637772788498776,0.9639974011704396,0.4087841808795929,0.6914317643045962,scVI reference analysis,default,scVI,Python modern,20,1,20.0,2000,3000.0,11.173397302627563,799.83984375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
5,0.9419920261959818,0.9029434335343774,0.9011654403515766,0.9047284565234494,0.4239408671855926,0.6765220943122708,scVI reference analysis,default,scVI,Python modern,20,2,20.0,2000,3000.0,11.237035036087036,804.5,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
5,0.9889347000843912,0.9764835914490324,0.9764615254219776,0.9765056584734036,0.3950360417366028,0.7041842329666581,scVI reference analysis,default,scVI,Python modern,50,0,20.0,2000,3000.0,11.29883623123169,798.09765625,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
5,0.988731680113994,0.9762015592817578,0.976622524867871,0.9757809564472036,0.3997319936752319,0.7060803786134562,scVI reference analysis,default,scVI,Python modern,50,1,20.0,2000,3000.0,11.687365055084229,806.6640625,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
5,0.9662399759628316,0.937876637442021,0.9356523496664886,0.940111525833306,0.4170249104499817,0.7108028822375714,scVI reference analysis,default,scVI,Python modern,50,2,20.0,2000,3000.0,11.633833408355711,795.26953125,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
7,0.0334630061289514,0.0570293035414113,0.0571633396648562,0.0568958945211151,-0.11126509308815,0.5189370427219238,scVI reference analysis,celltype_7,scVI,Python modern,2,0,20.0,2000,3000.0,11.360024213790894,790.4296875,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
7,0.0689294553893571,0.1039966638565546,0.1039556883866626,0.1040376716411993,-0.1163878738880157,0.5193991472669908,scVI reference analysis,celltype_7,scVI,Python modern,2,1,20.0,2000,3000.0,11.4533953666687,790.82421875,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
7,0.0429763347600244,0.069578204117082,0.069548748231337,0.0696076849642206,-0.1142452880740165,0.5218809414172423,scVI reference analysis,celltype_7,scVI,Python modern,2,2,20.0,2000,3000.0,11.278473377227783,791.00390625,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
7,0.2149856284256607,0.2539251405816602,0.2531503257998799,0.2547047128610571,0.0209825932979583,0.5708297518546943,scVI reference analysis,celltype_7,scVI,Python modern,5,0,20.0,2000,3000.0,11.234334468841553,790.80859375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
7,0.2115074639433309,0.2595205392328369,0.2595688235322924,0.2594722728934733,0.0243339352309703,0.5723729257269549,scVI reference analysis,celltype_7,scVI,Python modern,5,1,20.0,2000,3000.0,11.153053998947144,802.46875,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
7,0.1530257177099902,0.202527816790437,0.202524428001997,0.2025312056922864,-0.0115353809669613,0.5582329325488189,scVI reference analysis,celltype_7,scVI,Python modern,5,2,20.0,2000,3000.0,10.941205263137816,796.67578125,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
7,0.562998167693665,0.5668762007218449,0.5674171025549991,0.5663363291577981,0.1263503134250641,0.6285024047070862,scVI reference analysis,celltype_7,scVI,Python modern,10,0,20.0,2000,3000.0,11.266916036605837,790.4375,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
7,0.4288463512986132,0.446347019201574,0.4465846320655145,0.4461096590550116,0.1032657772302627,0.6146610897927859,scVI reference analysis,celltype_7,scVI,Python modern,10,1,20.0,2000,3000.0,10.894822359085085,792.44140625,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
7,0.6286510028383195,0.6160458838942707,0.6159946850978949,0.616097091202196,0.1523146331310272,0.6325766436428755,scVI reference analysis,celltype_7,scVI,Python modern,10,2,20.0,2000,3000.0,11.010151863098145,795.07421875,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
7,0.6869114171702442,0.6879176998680112,0.6891658901454949,0.6866740227631668,0.1410319209098816,0.6372616867058924,scVI reference analysis,celltype_7,scVI,Python modern,20,0,20.0,2000,3000.0,11.068583726882936,798.21875,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
7,0.5958831596981773,0.6005029839641836,0.6013853728047395,0.5996231807179946,0.130693644285202,0.659814308859896,scVI reference analysis,celltype_7,scVI,Python modern,20,1,20.0,2000,3000.0,10.757355451583862,794.31640625,2000.0,5000.0,scVI,scVI,scVI,scVI_reference_analysis,scvi,,,,,,,,,,,,,,,,,,,,
